ablation_condition,geometry,workload,seed,realization_hash,mean_delay,std_delay,mean_energy,std_energy,completion_ratio,collab_ratio,N_generated,N_completed,N_failed,disabled_code_path,invariants_passed
Full CoTOP,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.3316,0.1143,0.1404,0.0637,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.3316,0.1143,0.1404,0.0637,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.3326,0.129,0.1404,0.0637,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.3316,0.1143,0.1404,0.0637,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.3325,0.1126,0.1411,0.0674,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.3325,0.1126,0.1411,0.0674,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.3252,0.1302,0.1411,0.0674,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.3325,0.1126,0.1411,0.0674,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.3114,0.1093,0.1422,0.0635,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.3114,0.1093,0.1422,0.0635,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.3135,0.1221,0.1422,0.0635,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.3114,0.1093,0.1422,0.0635,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2849,0.1127,0.1363,0.0672,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2849,0.1127,0.1363,0.0672,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2854,0.1245,0.1363,0.0672,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2849,0.1127,0.1363,0.0672,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.3367,0.1199,0.138,0.0641,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.3367,0.1199,0.138,0.0641,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.339,0.1308,0.138,0.0641,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.3367,0.1199,0.138,0.0641,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.3026,0.0993,2.0999,0.6619,1.0,0.96,300,300,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.7239,0.2534,4.0606,1.318,1.0,0.96,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.313,0.1016,2.0999,0.6619,1.0,0.96,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.3705,0.1244,0.1392,0.0643,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.3793,0.1224,0.141,0.0667,1.0,0.0,300,300,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.3793,0.1224,0.141,0.0667,1.0,0.0,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.372,0.1428,0.141,0.0667,1.0,0.0,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.3793,0.1224,0.141,0.0667,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.2997,0.0965,2.0166,0.6794,1.0,0.9467,300,300,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.7103,0.2514,3.8929,1.3602,1.0,0.9467,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.3104,0.1016,2.0166,0.6794,1.0,0.9467,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.3548,0.1143,0.1403,0.0634,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.324,0.1067,1.9641,0.8562,1.0,0.87,300,300,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.6963,0.2605,3.7892,1.7124,1.0,0.87,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.3199,0.1166,1.9641,0.8562,1.0,0.87,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.3372,0.1232,0.139,0.0681,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.3145,0.0985,2.0468,0.6013,1.0,0.9667,300,300,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.7275,0.2687,3.9548,1.2042,1.0,0.9667,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.3137,0.0977,2.0468,0.6013,1.0,0.9667,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.3763,0.1291,0.1388,0.064,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
