realization_id,geometry,workload,seed,eval_seed,total_tasks,total_vehicles,filename,filepath,realization_hash,created_at
realization_corridor_2400m_w20_seed0,corridor_2400m,20,0,30000,200,10,corridor_2400m_w20_seed0_realization.json,data/evaluation_realizations\corridor_2400m_w20_seed0_realization.json,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,2026-08-29T09:11:02Z
realization_corridor_2400m_w20_seed1,corridor_2400m,20,1,30001,200,10,corridor_2400m_w20_seed1_realization.json,data/evaluation_realizations\corridor_2400m_w20_seed1_realization.json,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,2026-08-29T09:11:03Z
realization_corridor_2400m_w20_seed2,corridor_2400m,20,2,30002,200,10,corridor_2400m_w20_seed2_realization.json,data/evaluation_realizations\corridor_2400m_w20_seed2_realization.json,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,2026-08-29T09:11:03Z
realization_corridor_2400m_w20_seed3,corridor_2400m,20,3,30003,200,10,corridor_2400m_w20_seed3_realization.json,data/evaluation_realizations\corridor_2400m_w20_seed3_realization.json,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,2026-08-29T09:11:03Z
realization_corridor_2400m_w20_seed4,corridor_2400m,20,4,30004,200,10,corridor_2400m_w20_seed4_realization.json,data/evaluation_realizations\corridor_2400m_w20_seed4_realization.json,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,2026-08-29T09:11:03Z
realization_corridor_2400m_w30_seed0,corridor_2400m,30,0,30000,300,10,corridor_2400m_w30_seed0_realization.json,data/evaluation_realizations\corridor_2400m_w30_seed0_realization.json,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,2026-08-29T09:11:03Z
realization_corridor_2400m_w30_seed1,corridor_2400m,30,1,30001,300,10,corridor_2400m_w30_seed1_realization.json,data/evaluation_realizations\corridor_2400m_w30_seed1_realization.json,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,2026-08-29T09:11:03Z
realization_corridor_2400m_w30_seed2,corridor_2400m,30,2,30002,300,10,corridor_2400m_w30_seed2_realization.json,data/evaluation_realizations\corridor_2400m_w30_seed2_realization.json,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,2026-08-29T09:11:03Z
realization_corridor_2400m_w30_seed3,corridor_2400m,30,3,30003,300,10,corridor_2400m_w30_seed3_realization.json,data/evaluation_realizations\corridor_2400m_w30_seed3_realization.json,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,2026-08-29T09:11:03Z
realization_corridor_2400m_w30_seed4,corridor_2400m,30,4,30004,300,10,corridor_2400m_w30_seed4_realization.json,data/evaluation_realizations\corridor_2400m_w30_seed4_realization.json,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,2026-08-29T09:11:03Z
