condition,scenario,workload,metric,cotop_mean,ddqn_mean,diff_cotop_minus_ddqn,relative_improvement_pct,t_statistic,raw_p_value,wilcoxon_p_value,cohens_dz,cohens_dz_ci95_low,cohens_dz_ci95_high,cles,holm_p_adjusted,fdr_q_adjusted,significant_fdr
corridor_2400m_w20_delay,corridor_2400m,w20,delay,2.001780882330201,1.9879196776691685,0.013861204661032911,-0.6972718675074788,1.9176238965631762,0.08738844128359852,0.125,0.6064059208706771,-0.17194186480878193,1.384753706550136,0.65,1.0,0.6389672713503102,False
corridor_2400m_w20_energy,corridor_2400m,w20,energy,5.88788957091149,4.268861642456416,1.6190279284550726,-37.92645590461072,1.532587344745914,0.15974181783757754,0.1875,0.4846466722546779,-0.2715506126381578,1.2408439571475136,0.65,1.0,0.6389672713503102,False
corridor_2400m_w30_delay,corridor_2400m,w30,delay,2.014802209515775,2.014802209515775,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
corridor_2400m_w30_energy,corridor_2400m,w30,energy,5.014729749155497,5.014729749155497,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
corridor_2400m_w40_delay,corridor_2400m,w40,delay,2.040490130829701,2.040490130829701,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
corridor_2400m_w40_energy,corridor_2400m,w40,energy,5.476931923004033,5.476931923004033,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w20_delay,grid_200m,w20,delay,0.6457168806659428,0.6459659767202288,-0.00024909605428604655,0.03856179168301756,-0.2707738912096951,0.7926724468498707,0.8125,-0.0856262227129282,-0.8022931515561529,0.6310407061302965,0.45,1.0,1.0,False
grid_200m_w20_energy,grid_200m,w20,energy,2.604303942954262,2.010590256527238,0.593713686427024,-29.52932276974757,1.5911416927823248,0.146041304238395,0.1875,0.5031631829248044,-0.2561222426102887,1.2624486084598976,0.65,1.0,0.6389672713503102,False
grid_200m_w30_delay,grid_200m,w30,delay,0.6584090751552198,0.6584090751552198,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w30_energy,grid_200m,w30,energy,2.2212636772984977,2.2212636772984977,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w40_delay,grid_200m,w40,delay,0.6742434628360725,0.6742434628360725,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w40_energy,grid_200m,w40,energy,2.5060895612264136,2.5060895612264136,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
