episode,worker_id,reward,loss,actor_loss,critic_loss,entropy,mean_delay_s,mean_energy_j,completion_ratio_pct,steps,realization
1,0,-1034.9858,295749.5914,-0.111,591499.4047,-0.001,2.0681,3.8464,97.5,200,realization_corridor_2400m_w20_seed101.json
2,0,-830.317,1135271.1031,-0.0162,2270542.2313,-0.0001,2.0149,4.4288,99.0,200,realization_corridor_2400m_w20_seed102.json
3,0,-873.9,758273.0227,-1.262,1516548.5688,-0.0017,2.3652,2.8168,98.0,200,realization_corridor_2400m_w30_seed101.json
4,0,-1181.6979,145340.9318,-1.038,290683.9402,-0.0021,2.5846,3.9055,97.0,200,realization_corridor_2400m_w30_seed102.json
5,0,-1082.4655,130341.4158,0.0,260682.8316,-0.0,2.4746,2.0165,96.5,200,realization_corridor_2400m_w40_seed101.json
6,0,-235.8857,239270.2789,0.0001,478540.5578,-0.0,0.6432,1.7156,100.0,200,realization_grid_200m_w20_seed101.json
7,0,-327.8763,332832.1328,-1.7599,665667.7781,-0.0049,0.6658,2.613,100.0,200,realization_grid_200m_w20_seed102.json
8,0,-185.386,89113.3707,-5.9271,178238.5945,-0.0197,0.6934,1.1605,100.0,200,realization_grid_200m_w30_seed101.json
9,0,-181.5226,78436.6771,-0.2709,156873.8965,-0.0019,0.7056,1.1096,100.0,200,realization_grid_200m_w30_seed102.json
10,0,-152.0004,132555.8368,-0.127,265111.9267,-0.0006,0.7179,0.8021,100.0,200,realization_grid_200m_w40_seed101.json
11,0,-1054.9816,1064767.1969,-2.0587,2129538.5063,-0.0023,2.0704,4.044,97.5,200,realization_corridor_2400m_w20_seed101.json
12,0,-995.6979,1872671.2812,-6.2451,3745355.0625,-0.0032,2.0296,5.2554,98.5,200,realization_corridor_2400m_w20_seed102.json
13,0,-902.3599,1379635.8031,-0.1857,2759271.9937,-0.0011,2.3676,3.0989,98.0,200,realization_corridor_2400m_w30_seed101.json
14,0,-1173.0007,320293.1355,-0.641,640587.5531,-0.0042,2.5629,4.6959,97.5,200,realization_corridor_2400m_w30_seed102.json
15,0,-1264.0833,165291.1042,0.0004,330582.2084,-0.0001,2.4678,3.7963,96.5,200,realization_corridor_2400m_w40_seed101.json
16,0,-198.0276,590304.0344,1.0683,1180605.9312,-0.0062,0.6406,1.3397,100.0,200,realization_grid_200m_w20_seed101.json
17,0,-263.2468,1057089.8687,2.6647,2114174.4125,-0.0033,0.6591,1.9733,100.0,200,realization_grid_200m_w20_seed102.json
18,0,-347.5292,804526.55,5.746,1609041.6062,-0.0159,0.6923,2.783,100.0,200,realization_grid_200m_w30_seed101.json
19,0,-338.3914,151653.8592,-0.2901,303308.298,-0.0096,0.7055,2.6784,100.0,200,realization_grid_200m_w30_seed102.json
20,0,-310.7251,149550.1173,-2.5483,299105.3314,-0.0059,0.6987,2.4085,100.0,200,realization_grid_200m_w40_seed101.json
21,0,-1313.6375,571796.1867,3.0692,1143586.2359,-0.0116,2.0486,6.5476,97.5,200,realization_corridor_2400m_w20_seed101.json
22,0,-1221.9283,794700.3203,-11.4277,1589423.5094,-0.0055,2.017,7.4454,98.5,200,realization_corridor_2400m_w20_seed102.json
23,0,-1416.4439,453538.7223,-0.0016,907077.4508,-0.0,2.404,8.0898,98.0,200,realization_corridor_2400m_w30_seed101.json
24,0,-1521.7543,104027.9607,0.0116,208055.898,-0.0003,2.6043,8.036,97.5,200,realization_corridor_2400m_w30_seed102.json
25,0,-1772.871,80087.7596,0.0,160175.5191,-0.0,2.5215,7.8725,96.0,200,realization_corridor_2400m_w40_seed101.json
26,0,-432.2174,319779.6203,3.9941,639551.25,-0.0066,0.6644,3.6578,100.0,200,realization_grid_200m_w20_seed101.json
27,0,-403.9028,540145.6438,0.0791,1080291.1313,-0.0006,0.6781,3.3609,100.0,200,realization_grid_200m_w20_seed102.json
28,0,-340.376,273856.0039,3.5947,547704.8156,-0.0061,0.7043,2.6994,100.0,200,realization_grid_200m_w30_seed101.json
29,0,-327.9352,60829.667,-0.021,121659.3762,-0.0004,0.7158,2.5635,100.0,200,realization_grid_200m_w30_seed102.json
30,0,-310.8115,65885.0798,-0.0,131770.1595,-0.0,0.7048,2.4033,100.0,200,realization_grid_200m_w40_seed101.json
31,0,-1297.8299,158453.7791,-0.8243,316909.2082,-0.0031,2.0607,6.3379,97.5,200,realization_corridor_2400m_w20_seed101.json
32,0,-1200.8089,127536.0005,0.1175,255071.7641,-0.0022,2.0354,7.2158,98.5,200,realization_corridor_2400m_w20_seed102.json
33,0,-1318.1047,19331.8922,3.3774,38657.0299,-0.0195,2.4025,8.0293,98.5,200,realization_corridor_2400m_w30_seed101.json
34,0,-1523.6413,8350.2361,-0.0984,16700.6692,-0.0033,2.6158,8.0434,97.5,200,realization_corridor_2400m_w30_seed102.json
35,0,-1769.3333,16046.11,-0.0,32092.2199,-0.0,2.5286,7.83,96.0,200,realization_corridor_2400m_w40_seed101.json
36,0,-433.1293,20137.4856,0.1217,40274.7278,-0.0051,0.6739,3.6574,100.0,200,realization_grid_200m_w20_seed101.json
