Method,Seed,Episode,Average Delay (s),Average Energy (J),Completion Ratio,Violation Ratio,Episode Reward,Total Tasks,Completed Tasks
CoTOP (Proposed),42,1,4.5468,0.2972,1.0,0.0,-48.4399,20,20
CoTOP (Proposed),42,2,4.571,0.3489,1.0,0.0,-49.1995,20,20
CoTOP (Proposed),42,3,4.47,0.3287,1.0,0.0,-47.9864,20,20
CoTOP (Proposed),43,1,4.3776,0.3708,1.0,0.0,-47.4842,20,20
CoTOP (Proposed),43,2,4.7728,0.3175,1.0,0.0,-50.9032,20,20
CoTOP (Proposed),43,3,4.2417,0.2895,1.0,0.0,-45.3125,20,20
CoTOP (Proposed),44,1,4.2056,0.2829,1.0,0.0,-44.8844,20,20
CoTOP (Proposed),44,2,4.3365,0.2982,1.0,0.0,-46.3466,20,20
CoTOP (Proposed),44,3,4.3244,0.293,1.0,0.0,-46.1741,20,20
CoTOP (Proposed),45,1,4.249,0.2769,1.0,0.0,-45.2596,20,20
CoTOP (Proposed),45,2,4.2745,0.3697,1.0,0.0,-46.4418,20,20
CoTOP (Proposed),45,3,4.7437,0.3319,1.0,0.0,-50.7555,20,20
CoTOP (Proposed),46,1,4.2016,0.3012,1.0,0.0,-45.0281,20,20
CoTOP (Proposed),46,2,4.4715,0.3343,1.0,0.0,-48.058,20,20
CoTOP (Proposed),46,3,4.1008,0.2849,1.0,0.0,-43.8569,20,20
Local Baseline,42,1,4.5468,0.2972,1.0,0.0,-48.4399,20,20
Local Baseline,42,2,4.571,0.3489,1.0,0.0,-49.1995,20,20
Local Baseline,42,3,4.47,0.3287,1.0,0.0,-47.9864,20,20
Local Baseline,43,1,4.3776,0.3708,1.0,0.0,-47.4842,20,20
Local Baseline,43,2,4.7728,0.3175,1.0,0.0,-50.9032,20,20
Local Baseline,43,3,4.2417,0.2895,1.0,0.0,-45.3125,20,20
Local Baseline,44,1,4.2056,0.2829,1.0,0.0,-44.8844,20,20
Local Baseline,44,2,4.3365,0.2982,1.0,0.0,-46.3466,20,20
Local Baseline,44,3,4.3244,0.293,1.0,0.0,-46.1741,20,20
Local Baseline,45,1,4.249,0.2769,1.0,0.0,-45.2596,20,20
Local Baseline,45,2,4.2745,0.3697,1.0,0.0,-46.4418,20,20
Local Baseline,45,3,4.7437,0.3319,1.0,0.0,-50.7555,20,20
Local Baseline,46,1,4.2016,0.3012,1.0,0.0,-45.0281,20,20
Local Baseline,46,2,4.4715,0.3343,1.0,0.0,-48.058,20,20
Local Baseline,46,3,4.1008,0.2849,1.0,0.0,-43.8569,20,20
Greedy Baseline,42,1,4.5442,4.5758,1.0,0.0,-91.2004,20,20
Greedy Baseline,42,2,4.561,4.849,1.0,0.0,-94.1,20,20
Greedy Baseline,42,3,4.4656,4.4747,1.0,0.0,-89.4033,20,20
Greedy Baseline,43,1,4.3597,4.5905,1.0,0.0,-89.5015,20,20
Greedy Baseline,43,2,4.768,4.7599,1.0,0.0,-95.2787,20,20
Greedy Baseline,43,3,4.237,4.3289,1.0,0.0,-85.6593,20,20
Greedy Baseline,44,1,4.1998,4.3298,1.0,0.0,-85.2955,20,20
Greedy Baseline,44,2,4.3366,4.3515,1.0,0.0,-86.8814,20,20
Greedy Baseline,44,3,4.3169,4.5026,1.0,0.0,-88.1949,20,20
Greedy Baseline,45,1,4.2497,4.2536,1.0,0.0,-85.0325,20,20
Greedy Baseline,45,2,4.2561,4.5234,1.0,0.0,-87.7947,20,20
Greedy Baseline,45,3,4.7393,5.0054,1.0,0.0,-97.4471,20,20
Greedy Baseline,46,1,4.1959,4.351,1.0,0.0,-85.469,20,20
Greedy Baseline,46,2,4.4596,4.5379,1.0,0.0,-89.9742,20,20
Greedy Baseline,46,3,4.0966,4.2867,1.0,0.0,-83.8324,20,20
CoTOP w/o MD,42,1,4.5468,0.2972,1.0,0.0,-48.4399,20,20
CoTOP w/o MD,42,2,4.571,0.3489,1.0,0.0,-49.1995,20,20
CoTOP w/o MD,42,3,4.47,0.3287,1.0,0.0,-47.9864,20,20
CoTOP w/o MD,43,1,4.3776,0.3708,1.0,0.0,-47.4842,20,20
CoTOP w/o MD,43,2,4.7728,0.3175,1.0,0.0,-50.9032,20,20
CoTOP w/o MD,43,3,4.2417,0.2895,1.0,0.0,-45.3125,20,20
CoTOP w/o MD,44,1,4.2056,0.2829,1.0,0.0,-44.8844,20,20
CoTOP w/o MD,44,2,4.3365,0.2982,1.0,0.0,-46.3466,20,20
CoTOP w/o MD,44,3,4.3244,0.293,1.0,0.0,-46.1741,20,20
CoTOP w/o MD,45,1,4.249,0.2769,1.0,0.0,-45.2596,20,20
CoTOP w/o MD,45,2,4.2745,0.3697,1.0,0.0,-46.4418,20,20
CoTOP w/o MD,45,3,4.7437,0.3319,1.0,0.0,-50.7555,20,20
CoTOP w/o MD,46,1,4.2016,0.3012,1.0,0.0,-45.0281,20,20
CoTOP w/o MD,46,2,4.4715,0.3343,1.0,0.0,-48.058,20,20
CoTOP w/o MD,46,3,4.1008,0.2849,1.0,0.0,-43.8569,20,20
CoTOP w/o TP,42,1,4.5778,5.7337,1.0,0.0,-103.1151,20,20
CoTOP w/o TP,42,2,4.5982,5.8017,1.0,0.0,-103.9992,20,20
CoTOP w/o TP,42,3,4.501,5.6714,1.0,0.0,-101.7243,20,20
CoTOP w/o TP,43,1,4.3948,5.5826,1.0,0.0,-99.7735,20,20
CoTOP w/o TP,43,2,4.8016,6.0217,1.0,0.0,-108.2334,20,20
CoTOP w/o TP,43,3,4.2669,5.3575,1.0,0.0,-96.2443,20,20
CoTOP w/o TP,44,1,4.2301,5.3052,1.0,0.0,-95.3526,20,20
CoTOP w/o TP,44,2,4.3681,5.4867,1.0,0.0,-98.5483,20,20
CoTOP w/o TP,44,3,4.3474,5.4554,1.0,0.0,-98.0275,20,20
CoTOP w/o TP,45,1,4.2807,5.3617,1.0,0.0,-96.4239,20,20
CoTOP w/o TP,45,2,4.2905,5.4569,1.0,0.0,-97.4742,20,20
CoTOP w/o TP,45,3,4.7727,5.9985,1.0,0.0,-107.7125,20,20
CoTOP w/o TP,46,1,4.2302,5.3195,1.0,0.0,-95.4968,20,20
CoTOP w/o TP,46,2,4.4923,5.6684,1.0,0.0,-101.6075,20,20
CoTOP w/o TP,46,3,4.1258,5.1834,1.0,0.0,-93.093,20,20
CoTOP w/o CO,42,1,4.5468,0.2972,1.0,0.0,-48.4399,20,20
CoTOP w/o CO,42,2,4.571,0.3489,1.0,0.0,-49.1995,20,20
CoTOP w/o CO,42,3,4.47,0.3287,1.0,0.0,-47.9864,20,20
CoTOP w/o CO,43,1,4.3776,0.3708,1.0,0.0,-47.4842,20,20
CoTOP w/o CO,43,2,4.7728,0.3175,1.0,0.0,-50.9032,20,20
CoTOP w/o CO,43,3,4.2417,0.2895,1.0,0.0,-45.3125,20,20
CoTOP w/o CO,44,1,4.2056,0.2829,1.0,0.0,-44.8844,20,20
CoTOP w/o CO,44,2,4.3365,0.2982,1.0,0.0,-46.3466,20,20
CoTOP w/o CO,44,3,4.3244,0.293,1.0,0.0,-46.1741,20,20
CoTOP w/o CO,45,1,4.249,0.2769,1.0,0.0,-45.2596,20,20
CoTOP w/o CO,45,2,4.2745,0.3697,1.0,0.0,-46.4418,20,20
CoTOP w/o CO,45,3,4.7437,0.3319,1.0,0.0,-50.7555,20,20
CoTOP w/o CO,46,1,4.2016,0.3012,1.0,0.0,-45.0281,20,20
CoTOP w/o CO,46,2,4.4715,0.3343,1.0,0.0,-48.058,20,20
CoTOP w/o CO,46,3,4.1008,0.2849,1.0,0.0,-43.8569,20,20
