condition_id,scenario,workload,metric,n_pairs,cotop_mean,ddqn_mean,mean_diff_cotop_minus_ddqn,std_diff,sem,t_statistic,p_value_raw,w_statistic,p_value_wilcoxon,cohens_dz,cohens_dz_ci95_lower,cohens_dz_ci95_upper,cles,holm_p_adjusted,fdr_q_adjusted,significant_fdr_alpha05
corridor_2400m_w20_delay,corridor_2400m,w20,delay,10,2.001780882330201,1.9879196776691685,0.013861204661032866,0.0228579639214785,0.007228322866582626,1.917623896563174,0.08738844128359881,1.0,0.125,0.6064059208706764,-0.1719418648087826,1.3847537065501352,0.65,1.0,0.6389672713503102,False
corridor_2400m_w20_energy,corridor_2400m,w20,energy,10,5.88788957091149,4.268861642456416,1.6190279284550726,3.340635603506809,1.0564017339732694,1.532587344745914,0.15974181783757754,2.0,0.1875,0.4846466722546779,-0.2715506126381578,1.2408439571475136,0.65,1.0,0.6389672713503102,False
corridor_2400m_w30_delay,corridor_2400m,w30,delay,10,2.014802209515775,2.014802209515775,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
corridor_2400m_w30_energy,corridor_2400m,w30,energy,10,5.014729749155497,5.014729749155497,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
corridor_2400m_w40_delay,corridor_2400m,w40,delay,10,2.040490130829701,2.040490130829701,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
corridor_2400m_w40_energy,corridor_2400m,w40,energy,10,5.476931923004033,5.476931923004033,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w20_delay,grid_200m,w20,delay,10,0.6457168806659428,0.6459659767202288,-0.00024909605428604655,0.002909109457288217,0.0009199411847767085,-0.2707738912096951,0.7926724468498707,6.0,0.8125,-0.0856262227129282,-0.8022931515561529,0.6310407061302965,0.45,1.0,1.0,False
grid_200m_w20_energy,grid_200m,w20,energy,10,2.604303942954262,2.010590256527238,0.593713686427024,1.179962498400349,0.37313690485278905,1.5911416927823248,0.146041304238395,2.0,0.1875,0.5031631829248044,-0.2561222426102887,1.2624486084598976,0.65,1.0,0.6389672713503102,False
grid_200m_w30_delay,grid_200m,w30,delay,10,0.6584090751552198,0.6584090751552198,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w30_energy,grid_200m,w30,energy,10,2.2212636772984977,2.2212636772984977,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w40_delay,grid_200m,w40,delay,10,0.6742434628360725,0.6742434628360725,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
grid_200m_w40_energy,grid_200m,w40,energy,10,2.5060895612264136,2.5060895612264136,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,False
