algorithm,scenario,workload,n_seeds,final_reward_mean,final_reward_std,completion_ratio_mean,delay_mean_s,energy_mean_j,seed_cv_delay,seed_cv_energy
CoTOP,corridor_2400m,w20,10,-1102.8635455596218,183.77279091120386,0.983,2.001780882330201,5.88788957091149,0.03151521493634803,0.38979639340990047
CoTOP,corridor_2400m,w30,10,-1539.3858103556458,497.0866622176849,0.9826666666666666,2.014802209515775,5.014729749155497,0.03758392457129925,0.5453889651166234
CoTOP,corridor_2400m,w40,10,-2008.821641878599,657.5036003966886,0.9865,2.040490130829701,5.476931923004033,0.03289686206261385,0.45530248217746183
CoTOP,grid_200m,w20,10,-325.00208236202053,122.7752837170805,1.0,0.6457168806659428,2.604303942954262,0.01464385865213155,0.47222679714317567
CoTOP,grid_200m,w30,10,-431.9509128680578,183.65951406015662,1.0,0.6584090751552198,2.2212636772984977,0.03356919026670246,0.5465370026486766
CoTOP,grid_200m,w40,10,-636.0666048124973,238.4856480717149,1.0,0.6742434628360725,2.5060895612264136,0.027806158131279034,0.4763879854410994
DDQN,corridor_2400m,w20,10,-904.2330892968002,373.4284423956273,0.985,1.9879196776691685,4.268861642456416,0.032876939353847646,0.7902153424006411
DDQN,corridor_2400m,w30,10,-1539.3858103556458,497.0866622176849,0.9826666666666666,2.014802209515775,5.014729749155497,0.03758392457129925,0.5453889651166234
DDQN,corridor_2400m,w40,10,-2008.821641878599,657.5036003966886,0.9865,2.040490130829701,5.476931923004033,0.03289686206261385,0.45530248217746183
DDQN,grid_200m,w20,10,-265.65562332474667,144.30038034646296,1.0,0.6459659767202288,2.010590256527238,0.014212861066541932,0.7173555114077357
DDQN,grid_200m,w30,10,-431.9509128680578,183.65951406015662,1.0,0.6584090751552198,2.2212636772984977,0.03356919026670246,0.5465370026486766
DDQN,grid_200m,w40,10,-636.0666048124973,238.4856480717149,1.0,0.6742434628360725,2.5060895612264136,0.027806158131279034,0.4763879854410994
Greedy,corridor_2400m,w20,10,-1215.8137613776896,204.02294839310088,0.983,1.985204606736729,7.0827338789524985,0.03347189953458643,0.03302800813834444
Greedy,corridor_2400m,w30,10,-1802.1844606848383,248.77356435412952,0.984,1.9920055661657965,7.1128511599233475,0.0300164269221579,0.03668947597120989
Greedy,corridor_2400m,w40,10,-2302.904681768703,253.88532622367444,0.98675,1.999362953512744,7.09931725021363,0.028698898446497284,0.01522068897484608
Greedy,grid_200m,w20,10,-376.2687929386099,11.554608076543735,1.0,0.6279204275214145,3.134767501864685,0.019170362104400145,0.033655448097252315
Greedy,grid_200m,w30,10,-565.8926758584322,7.245727286775567,1.0,0.6289316275407246,3.143686211515488,0.013083545639188924,0.013701911740086758
Greedy,grid_200m,w40,10,-757.0171224312987,10.89838772127406,1.0,0.6329091848618621,3.152176427294631,0.011670590333485904,0.015496387276196585
Local,corridor_2400m,w20,10,-516.6512045184005,208.13848232479145,0.985,1.9640970493688115,0.29671709791329315,0.03341334541300787,0.03426361796432655
Local,corridor_2400m,w30,10,-769.3661011102367,197.25977217019897,0.9853333333333334,1.993117972175598,0.29567306745928057,0.029748171986601405,0.028178073647513437
Local,corridor_2400m,w40,10,-918.9131099913827,294.94081390634744,0.9882500000000001,2.023629964967744,0.29494949427694234,0.028047502701295798,0.022718542540911015
Local,grid_200m,w20,10,-93.14912009310126,1.8866858578365042,1.0,0.6479255248642535,0.283565676066759,0.018167052126002396,0.036078381865699956
Local,grid_200m,w30,10,-143.22197606950138,2.043045056724531,1.0,0.672332937654875,0.2824802361418005,0.012204202219741687,0.029993374057866822
Local,grid_200m,w40,10,-196.3402392928561,2.43918980221096,1.0,0.6999680083090298,0.28173318815525067,0.010540077688398182,0.024252946354317798
