n_vehicles_target,n_vehicles_observed,policy,total_tasks,completed_tasks,completion_rate_pct,avg_total_delay_s,avg_comm_delay_s,avg_comp_delay_s,avg_wait_delay_s,avg_energy_J,avg_rsu_queue_Mcycles,max_rsu_queue_Mcycles
2,2,cotop,40,40,100.0,3.6988,3.6706,0.0028,0.0254,5.7588,9.39,60.77
2,2,local,40,40,100.0,3.6725,3.6161,0.0056,0.0508,0.3142,9.39,121.54
2,2,greedy,40,40,100.0,3.6662,3.66,0.0029,0.0032,4.7035,9.39,64.51
5,5,cotop,100,100,100.0,1.9535,1.9269,0.0027,0.0239,5.692,8.87,60.77
5,5,local,100,100,100.0,1.9261,1.8729,0.0055,0.0478,0.2928,8.87,121.54
5,5,greedy,100,100,100.0,1.9221,1.9161,0.0029,0.0031,4.6183,8.87,64.51
10,10,cotop,200,200,100.0,2.0596,2.031,0.0028,0.0258,4.9772,9.53,69.78
10,10,local,200,200,100.0,2.0414,1.9842,0.0056,0.0516,0.3,9.53,139.56
10,10,greedy,200,200,100.0,2.0345,2.0281,0.0029,0.0036,4.6852,9.53,73.92
30,30,cotop,600,600,100.0,2.0133,1.9792,0.0029,0.0312,4.5867,10.75,120.99
30,30,local,600,600,100.0,1.9938,1.9362,0.0055,0.052,0.2944,10.75,139.56
30,30,greedy,600,600,100.0,1.9878,1.9765,0.003,0.0083,4.3173,10.75,129.59
