seed,episode,policy,num_vehicles,num_tasks,num_completed_tasks,completion_ratio_pct,mean_total_delay_s,std_total_delay_s,mean_comm_delay_s,mean_comp_delay_s,mean_wait_delay_s,mean_total_energy_J,std_total_energy_J,mean_rsu_queue_Mcycles,max_rsu_queue_Mcycles
0,1,cotop,30,600,600,100.0,1.9728,1.4644,1.93,0.0028,0.04,4.4407,1.2371,14.98,140.27
0,2,cotop,30,600,600,100.0,1.971,1.4864,1.9388,0.0027,0.0294,4.4572,1.2227,11.21,115.99
0,3,cotop,30,600,600,100.0,1.9667,1.4883,1.9351,0.0027,0.0289,4.422,1.22,11.09,104.82
0,4,cotop,30,600,600,100.0,1.9563,1.4704,1.9224,0.0029,0.031,4.4286,1.1947,11.99,123.72
0,5,cotop,30,600,600,100.0,1.9692,1.4602,1.9365,0.0028,0.0299,4.4657,1.1758,11.5,108.56
0,6,cotop,30,600,600,100.0,2.0014,1.5394,1.9684,0.0029,0.0302,4.472,1.172,11.63,117.44
0,7,cotop,30,600,600,100.0,1.9537,1.4684,1.9211,0.0028,0.0297,4.4598,1.1971,11.5,117.2
0,8,cotop,30,600,600,100.0,1.9949,1.4987,1.961,0.0029,0.0311,4.5091,1.2097,11.92,127.2
0,9,cotop,30,600,600,100.0,1.9785,1.514,1.9457,0.0028,0.03,4.4094,1.2328,11.5,120.3
0,10,cotop,30,600,600,100.0,2.027,1.5141,1.9931,0.0028,0.0311,4.5484,1.3066,11.75,117.23
0,11,cotop,30,600,600,100.0,1.9761,1.4886,1.943,0.0029,0.0302,4.4323,1.1568,11.66,107.19
0,12,cotop,30,600,600,100.0,2.0106,1.5431,1.9771,0.0028,0.0307,4.4719,1.1785,11.85,117.36
0,13,cotop,30,600,600,100.0,1.9618,1.485,1.9297,0.0027,0.0294,4.4264,1.1946,11.41,114.75
0,14,cotop,30,600,600,100.0,1.9556,1.4973,1.9244,0.0027,0.0285,4.3633,1.1894,10.96,108.78
0,15,cotop,30,600,600,100.0,1.9756,1.4539,1.9422,0.0028,0.0306,4.4478,1.2194,11.67,113.74
0,16,cotop,30,600,600,100.0,1.9854,1.4896,1.9524,0.0028,0.0302,4.4662,1.2217,11.49,111.78
0,17,cotop,30,600,600,100.0,1.9875,1.5055,1.9554,0.0028,0.0293,4.4291,1.1587,11.33,109.09
0,18,cotop,30,600,600,100.0,1.9956,1.5271,1.9614,0.0029,0.0314,4.4701,1.2326,11.91,119.12
0,19,cotop,30,600,600,100.0,1.9757,1.5036,1.944,0.0028,0.0289,4.4252,1.1627,11.26,109.13
0,20,cotop,30,600,600,100.0,2.0013,1.4787,1.9677,0.0028,0.0309,4.5073,1.1768,11.71,118.75
0,1,local,30,600,600,100.0,1.9456,1.4592,1.8885,0.0055,0.0516,0.2926,0.1321,14.98,136.29
0,2,local,30,600,600,100.0,1.9535,1.4806,1.8971,0.0053,0.0511,0.2864,0.1298,11.21,125.91
0,3,local,30,600,600,100.0,1.9497,1.4821,1.8938,0.0054,0.0505,0.2878,0.1275,11.09,126.33
0,4,local,30,600,600,100.0,1.9409,1.4633,1.8811,0.0058,0.054,0.3065,0.1276,11.99,137.08
0,5,local,30,600,600,100.0,1.9528,1.4534,1.8948,0.0056,0.0524,0.297,0.1295,11.5,138.29
0,6,local,30,600,600,100.0,1.9855,1.5333,1.9267,0.0056,0.0532,0.3016,0.1296,11.63,132.49
0,7,local,30,600,600,100.0,1.9373,1.4629,1.8795,0.0056,0.0522,0.2984,0.1289,11.5,130.1
0,8,local,30,600,600,100.0,1.9785,1.4922,1.9189,0.0057,0.0539,0.303,0.127,11.92,134.26
0,9,local,30,600,600,100.0,1.9618,1.5072,1.9045,0.0055,0.0518,0.2924,0.1273,11.5,131.41
0,10,local,30,600,600,100.0,2.0094,1.5075,1.9506,0.0056,0.0532,0.2983,0.1312,11.75,131.2
0,11,local,30,600,600,100.0,1.961,1.4835,1.9017,0.0057,0.0536,0.3024,0.1332,11.66,148.41
0,12,local,30,600,600,100.0,1.9946,1.5374,1.9353,0.0056,0.0537,0.2992,0.1339,11.85,132.54
0,13,local,30,600,600,100.0,1.9452,1.477,1.8883,0.0054,0.0515,0.291,0.1243,11.41,129.82
0,14,local,30,600,600,100.0,1.9393,1.4925,1.8836,0.0053,0.0504,0.2834,0.1311,10.96,127.28
0,15,local,30,600,600,100.0,1.9591,1.4482,1.9007,0.0055,0.0529,0.295,0.1324,11.67,126.69
0,16,local,30,600,600,100.0,1.9684,1.4841,1.9107,0.0055,0.0522,0.2947,0.1312,11.49,130.61
0,17,local,30,600,600,100.0,1.9711,1.4985,1.9141,0.0055,0.0516,0.2922,0.1301,11.33,132.4
0,18,local,30,600,600,100.0,1.9799,1.5212,1.9197,0.0057,0.0545,0.3037,0.1314,11.91,139.41
0,19,local,30,600,600,100.0,1.9595,1.4982,1.9026,0.0055,0.0514,0.2924,0.1319,11.26,138.36
0,20,local,30,600,600,100.0,1.9842,1.4741,1.9255,0.0055,0.0532,0.2952,0.1327,11.71,129.45
0,1,greedy,30,600,600,100.0,1.9412,1.4681,1.9278,0.0029,0.0105,4.2185,1.7274,14.98,128.1
0,2,greedy,30,600,600,100.0,1.9478,1.4883,1.9366,0.0029,0.0083,4.2317,1.8618,11.21,111.17
0,3,greedy,30,600,600,100.0,1.9444,1.4908,1.9332,0.0029,0.0083,4.2316,1.867,11.09,116.53
0,4,greedy,30,600,600,100.0,1.9317,1.4738,1.9199,0.0031,0.0087,4.1847,1.8146,11.99,128.51
0,5,greedy,30,600,600,100.0,1.9465,1.4631,1.9347,0.0031,0.0087,4.2819,1.8693,11.5,138.29
0,6,greedy,30,600,600,100.0,1.978,1.5419,1.9657,0.0031,0.0092,4.2037,1.8373,11.63,130.12
0,7,greedy,30,600,600,100.0,1.931,1.4723,1.9192,0.003,0.0088,4.2639,1.8847,11.5,118.36
0,8,greedy,30,600,600,100.0,1.9701,1.5007,1.9586,0.0031,0.0084,4.2693,1.9088,11.92,98.99
0,9,greedy,30,600,600,100.0,1.9553,1.5179,1.9438,0.003,0.0085,4.2176,1.8758,11.5,111.89
0,10,greedy,30,600,600,100.0,2.0026,1.5163,1.9908,0.003,0.0087,4.3219,1.9474,11.75,117.79
0,11,greedy,30,600,600,100.0,1.9527,1.4924,1.9409,0.0031,0.0087,4.2242,1.813,11.66,113.87
0,12,greedy,30,600,600,100.0,1.9871,1.5468,1.975,0.003,0.009,4.2696,1.8636,11.85,116.3
0,13,greedy,30,600,600,100.0,1.9387,1.4877,1.9273,0.003,0.0084,4.1926,1.8676,11.41,116.37
0,14,greedy,30,600,600,100.0,1.9335,1.5011,1.9222,0.0029,0.0084,4.1492,1.829,10.96,113.41
0,15,greedy,30,600,600,100.0,1.9519,1.4581,1.9401,0.003,0.0087,4.2419,1.8841,11.67,126.69
0,16,greedy,30,600,600,100.0,1.9614,1.4932,1.9504,0.003,0.008,4.269,1.9334,11.49,101.32
0,17,greedy,30,600,600,100.0,1.9639,1.5077,1.9534,0.0029,0.0076,4.2237,1.8604,11.33,95.48
0,18,greedy,30,600,600,100.0,1.9715,1.5306,1.9593,0.0031,0.009,4.2627,1.8982,11.91,120.13
0,19,greedy,30,600,600,100.0,1.954,1.5074,1.9425,0.003,0.0085,4.2841,1.851,11.26,111.38
0,20,greedy,30,600,600,100.0,1.978,1.4836,1.9658,0.003,0.0092,4.3225,1.8858,11.71,128.47
1,1,cotop,30,600,600,100.0,1.9875,1.491,1.9529,0.0041,0.0305,2.6224,2.8675,10.46,122.41
1,2,cotop,30,600,600,100.0,1.9704,1.4859,1.9343,0.0041,0.032,2.5365,2.7975,10.61,138.33
1,3,cotop,30,600,600,100.0,2.001,1.5717,1.9625,0.0044,0.0342,2.6195,2.8155,11.78,156.05
1,4,cotop,30,600,600,100.0,1.9818,1.4983,1.9437,0.0042,0.0339,2.5479,2.8228,11.51,165.16
1,5,cotop,30,600,600,100.0,1.977,1.4742,1.9377,0.0044,0.0349,2.6612,2.8099,11.83,160.08
1,6,cotop,30,600,600,100.0,1.923,1.4472,1.8846,0.0041,0.0342,2.7097,2.7914,11.4,164.22
1,7,cotop,30,600,600,100.0,1.9654,1.5039,1.9268,0.0043,0.0344,2.6481,2.818,11.43,140.05
1,8,cotop,30,600,600,100.0,1.9899,1.4902,1.9502,0.0044,0.0353,2.5946,2.8291,11.59,168.27
1,9,cotop,30,600,600,100.0,1.9537,1.4827,1.9153,0.0042,0.0342,2.6445,2.7844,11.42,150.17
1,10,cotop,30,600,600,100.0,1.9901,1.5214,1.9521,0.0044,0.0337,2.6342,2.885,11.76,158.51
1,11,cotop,30,600,600,100.0,1.958,1.4938,1.9217,0.0041,0.0323,2.6202,2.8479,11.12,154.42
1,12,cotop,30,600,600,100.0,1.9396,1.416,1.901,0.0044,0.0343,2.6289,2.8294,11.36,167.19
1,13,cotop,30,600,600,100.0,1.9723,1.5152,1.9338,0.0043,0.0342,2.7149,2.8719,11.56,165.01
1,14,cotop,30,600,600,100.0,1.9528,1.4773,1.915,0.0042,0.0335,2.6906,2.8502,11.35,145.93
1,15,cotop,30,600,600,100.0,1.9686,1.5095,1.9312,0.0042,0.0332,2.6519,2.8536,11.36,145.14
1,16,cotop,30,600,600,100.0,1.9701,1.4651,1.932,0.0043,0.0337,2.5422,2.8066,11.51,144.82
1,17,cotop,30,600,600,100.0,2.0247,1.5385,1.9868,0.0042,0.0337,2.5861,2.8933,11.17,155.88
1,18,cotop,30,600,600,100.0,1.9461,1.4739,1.9086,0.0042,0.0333,2.591,2.768,11.32,158.61
1,19,cotop,30,600,600,100.0,1.9704,1.4995,1.9317,0.0044,0.0343,2.663,2.8227,11.71,158.0
1,20,cotop,30,600,600,100.0,1.9663,1.5022,1.9279,0.0042,0.0341,2.6282,2.7971,11.32,141.51
1,1,local,30,600,600,100.0,1.9851,1.4878,1.9295,0.0052,0.0504,0.2814,0.1229,10.46,122.41
1,2,local,30,600,600,100.0,1.9659,1.4855,1.9117,0.0053,0.049,0.2817,0.1302,10.61,126.93
1,3,local,30,600,600,100.0,1.999,1.5701,1.9393,0.0056,0.054,0.3019,0.1319,11.78,133.86
1,4,local,30,600,600,100.0,1.9778,1.497,1.9211,0.0054,0.0514,0.2868,0.1331,11.51,135.26
1,5,local,30,600,600,100.0,1.9738,1.4728,1.9141,0.0057,0.054,0.3061,0.1286,11.83,147.26
1,6,local,30,600,600,100.0,1.9173,1.4467,1.8604,0.0054,0.0514,0.29,0.1333,11.4,132.42
1,7,local,30,600,600,100.0,1.9619,1.5033,1.9033,0.0055,0.0531,0.2953,0.1307,11.43,133.69
1,8,local,30,600,600,100.0,1.9857,1.4891,1.9272,0.0055,0.053,0.295,0.1311,11.59,129.64
1,9,local,30,600,600,100.0,1.9494,1.4809,1.8918,0.0055,0.0521,0.2917,0.1268,11.42,140.13
1,10,local,30,600,600,100.0,1.9872,1.5196,1.9287,0.0056,0.0529,0.2988,0.1309,11.76,140.05
1,11,local,30,600,600,100.0,1.9546,1.4916,1.8983,0.0053,0.051,0.2852,0.1273,11.12,132.05
1,12,local,30,600,600,100.0,1.9342,1.4146,1.8777,0.0056,0.051,0.2976,0.1298,11.36,136.27
1,13,local,30,600,600,100.0,1.9688,1.5126,1.9097,0.0056,0.0536,0.2977,0.13,11.56,133.63
1,14,local,30,600,600,100.0,1.9481,1.4758,1.8911,0.0055,0.0515,0.2949,0.1307,11.35,132.65
1,15,local,30,600,600,100.0,1.9653,1.5081,1.9076,0.0055,0.0522,0.2931,0.1287,11.36,139.18
1,16,local,30,600,600,100.0,1.968,1.4636,1.9096,0.0055,0.0529,0.2954,0.13,11.51,130.09
1,17,local,30,600,600,100.0,2.0196,1.5368,1.9638,0.0053,0.0504,0.2865,0.1359,11.17,123.66
1,18,local,30,600,600,100.0,1.9423,1.4717,1.8856,0.0054,0.0513,0.2903,0.132,11.32,133.51
1,19,local,30,600,600,100.0,1.9668,1.4974,1.9081,0.0057,0.053,0.3018,0.1315,11.71,134.41
1,20,local,30,600,600,100.0,1.9626,1.5025,1.9046,0.0055,0.0525,0.2941,0.1271,11.32,133.97
1,1,greedy,30,600,600,100.0,1.9795,1.4964,1.969,0.0028,0.0077,4.2276,1.904,10.46,102.11
1,2,greedy,30,600,600,100.0,1.962,1.4947,1.9512,0.0029,0.0079,4.2246,1.8405,10.61,113.71
1,3,greedy,30,600,600,100.0,1.9902,1.5809,1.9785,0.0031,0.0086,4.2284,1.8531,11.78,120.33
1,4,greedy,30,600,600,100.0,1.9729,1.5057,1.9617,0.0029,0.0083,4.3459,1.8918,11.51,115.72
1,5,greedy,30,600,600,100.0,1.9666,1.483,1.9545,0.0031,0.009,4.3449,1.9197,11.83,142.24
1,6,greedy,30,600,600,100.0,1.9109,1.4556,1.8993,0.0029,0.0087,4.1778,1.8521,11.4,120.09
1,7,greedy,30,600,600,100.0,1.9539,1.5114,1.9424,0.003,0.0084,4.214,1.876,11.43,113.9
1,8,greedy,30,600,600,100.0,1.978,1.497,1.9668,0.003,0.0082,4.2506,1.9067,11.59,115.63
1,9,greedy,30,600,600,100.0,1.9428,1.4909,1.9306,0.003,0.0092,4.1736,1.8135,11.42,125.43
1,10,greedy,30,600,600,100.0,1.981,1.5288,1.9691,0.003,0.0089,4.3311,1.8993,11.76,115.09
1,11,greedy,30,600,600,100.0,1.9488,1.5016,1.9376,0.0029,0.0083,4.2106,1.9187,11.12,124.29
1,12,greedy,30,600,600,100.0,1.9282,1.4242,1.9172,0.003,0.008,4.2565,1.8558,11.36,101.54
1,13,greedy,30,600,600,100.0,1.9607,1.5222,1.949,0.003,0.0087,4.2279,1.884,11.56,123.99
1,14,greedy,30,600,600,100.0,1.9418,1.4854,1.9302,0.003,0.0086,4.2107,1.8841,11.35,106.24
1,15,greedy,30,600,600,100.0,1.9582,1.5166,1.9466,0.003,0.0086,4.1905,1.8659,11.36,119.36
1,16,greedy,30,600,600,100.0,1.9614,1.472,1.9495,0.003,0.0089,4.2911,1.8928,11.51,123.26
1,17,greedy,30,600,600,100.0,2.0154,1.5457,2.0042,0.0029,0.0083,4.3306,1.8807,11.17,120.39
1,18,greedy,30,600,600,100.0,1.9354,1.4811,1.924,0.0029,0.0084,4.1335,1.8197,11.32,101.36
1,19,greedy,30,600,600,100.0,1.9594,1.5062,1.948,0.0031,0.0084,4.284,1.8536,11.71,119.78
1,20,greedy,30,600,600,100.0,1.9547,1.5116,1.9435,0.003,0.0083,4.1812,1.8898,11.32,111.79
2,1,cotop,30,600,600,100.0,2.0217,1.524,1.9712,0.0034,0.0471,4.3939,2.8269,13.14,226.45
2,2,cotop,30,600,600,100.0,2.0114,1.5183,1.9678,0.0035,0.0401,4.455,2.8944,11.55,181.5
2,3,cotop,30,600,600,100.0,2.0266,1.5315,1.9832,0.0035,0.0399,4.433,2.8714,11.36,161.48
2,4,cotop,30,600,600,100.0,1.9482,1.468,1.9049,0.0034,0.0398,4.2805,2.7734,11.46,184.22
2,5,cotop,30,600,600,100.0,1.9852,1.4863,1.941,0.0036,0.0406,4.3497,2.8236,11.38,179.69
2,6,cotop,30,600,600,100.0,1.9703,1.4754,1.9249,0.0036,0.0418,4.3433,2.7937,11.67,183.63
2,7,cotop,30,600,600,100.0,2.0189,1.5551,1.9781,0.0033,0.0375,4.3771,2.8303,10.74,159.84
2,8,cotop,30,600,600,100.0,2.0051,1.492,1.96,0.0036,0.0415,4.3872,2.8446,11.89,171.41
2,9,cotop,30,600,600,100.0,2.0272,1.537,1.9833,0.0035,0.0404,4.4558,2.878,11.42,171.63
2,10,cotop,30,600,600,100.0,2.0577,1.5132,2.0159,0.0033,0.0385,4.4805,2.8806,11.09,153.96
2,11,cotop,30,600,600,100.0,1.9772,1.4809,1.9327,0.0036,0.041,4.3606,2.7919,11.44,177.94
2,12,cotop,30,600,600,100.0,1.9766,1.4842,1.9345,0.0034,0.0387,4.3356,2.8291,11.11,171.04
2,13,cotop,30,600,600,100.0,1.9769,1.4616,1.9312,0.0036,0.0421,4.3808,2.8523,11.87,180.81
2,14,cotop,30,600,600,100.0,1.9881,1.5094,1.9447,0.0035,0.0399,4.404,2.8666,11.47,174.58
2,15,cotop,30,600,600,100.0,1.9964,1.5157,1.9523,0.0036,0.0406,4.4341,2.8778,11.66,163.4
2,16,cotop,30,600,600,100.0,1.9953,1.48,1.9516,0.0034,0.0402,4.3711,2.8192,11.36,178.24
2,17,cotop,30,600,600,100.0,1.963,1.439,1.9198,0.0035,0.0397,4.3584,2.8192,11.44,158.01
2,18,cotop,30,600,600,100.0,1.996,1.5065,1.9527,0.0034,0.0399,4.312,2.7891,11.31,168.18
2,19,cotop,30,600,600,100.0,2.002,1.4936,1.9575,0.0035,0.0409,4.3884,2.8186,11.44,173.4
2,20,cotop,30,600,600,100.0,2.0164,1.5159,1.9723,0.0035,0.0405,4.4125,2.8239,11.44,202.4
2,1,local,30,600,600,100.0,1.987,1.5229,1.9302,0.0055,0.0514,0.2944,0.1294,13.14,131.65
2,2,local,30,600,600,100.0,1.9842,1.5145,1.9262,0.0056,0.0524,0.2988,0.1328,11.55,135.21
2,3,local,30,600,600,100.0,1.9999,1.5286,1.9419,0.0055,0.0526,0.2937,0.1334,11.36,132.54
2,4,local,30,600,600,100.0,1.9219,1.466,1.865,0.0054,0.0515,0.2902,0.131,11.46,132.8
2,5,local,30,600,600,100.0,1.9585,1.4841,1.9005,0.0056,0.0525,0.2971,0.1329,11.38,135.53
2,6,local,30,600,600,100.0,1.9433,1.4743,1.8844,0.0056,0.0532,0.2986,0.1332,11.67,130.47
