step,sim_time_s,active_vehicles_count,current_vehicle_id,task_id,pending_tasks_pool,task_delay_s,task_wait_s,task_energy_J,rsu_0_queue_Mcycles,rsu_1_queue_Mcycles,rsu_2_queue_Mcycles,rsu_3_queue_Mcycles,rsu_4_queue_Mcycles,rsu_5_queue_Mcycles
1,1.0,1,veh_0,3,19,5.8158,0.0,0.298,4.8,0.0,0.0,0.0,0.0,0.0
2,1.0,1,veh_0,7,18,5.5156,0.0048,0.4676,13.05,0.0,0.0,0.0,0.0,0.0
3,1.0,1,veh_0,9,17,6.0683,0.013,0.1523,14.88,0.0,0.0,0.0,0.0,0.0
4,1.0,1,veh_0,12,16,6.1336,0.0149,0.3595,20.85,0.0,0.0,0.0,0.0,0.0
5,1.0,1,veh_0,20,15,5.2284,0.0209,0.2728,25.27,0.0,0.0,0.0,0.0,0.0
6,1.0,1,veh_0,1,14,4.8975,0.0253,0.2225,28.74,0.0,0.0,0.0,0.0,0.0
7,1.0,1,veh_0,8,13,5.1188,0.0287,0.1708,31.14,0.0,0.0,0.0,0.0,0.0
8,1.0,1,veh_0,13,12,5.6169,0.0311,0.4935,39.9,0.0,0.0,0.0,0.0,0.0
9,1.0,1,veh_0,17,11,4.8991,0.0399,0.2651,44.23,0.0,0.0,0.0,0.0,0.0
10,1.0,1,veh_0,6,10,4.5671,0.0442,0.3603,50.53,0.0,0.0,0.0,0.0,0.0
11,1.0,1,veh_0,11,9,5.5503,0.0505,0.3462,56.36,0.0,0.0,0.0,0.0,0.0
12,1.0,1,veh_0,19,8,4.9598,0.0564,0.176,58.9,0.0,0.0,0.0,0.0,0.0
13,1.0,1,veh_0,14,7,4.6977,0.0589,0.117,60.31,0.0,0.0,0.0,0.0,0.0
14,1.0,1,veh_0,16,6,3.4168,0.0603,0.2086,63.81,0.0,0.0,0.0,0.0,0.0
15,1.0,1,veh_0,15,5,3.4002,0.0638,0.1193,65.53,0.0,0.0,0.0,0.0,0.0
16,1.0,1,veh_0,18,4,3.3411,0.0655,0.5042,74.96,0.0,0.0,0.0,0.0,0.0
17,1.0,1,veh_0,2,3,3.3993,0.075,0.3877,82.05,0.0,0.0,0.0,0.0,0.0
18,1.0,1,veh_0,5,2,2.673,0.0821,0.3683,88.9,0.0,0.0,0.0,0.0,0.0
19,1.0,1,veh_0,4,1,2.6907,0.0889,0.3034,94.45,0.0,0.0,0.0,0.0,0.0
20,3.0,1,veh_0,10,0,2.9466,0.0944,0.3501,100.88,0.0,0.0,0.0,0.0,0.0
21,3.0,2,veh_1,34,19,3.4628,0.0,0.4089,7.49,0.0,0.0,0.0,0.0,0.0
22,3.0,2,veh_1,25,18,3.505,0.0075,0.3799,14.39,0.0,0.0,0.0,0.0,0.0
23,3.0,2,veh_1,33,17,3.7856,0.0144,0.5246,24.13,0.0,0.0,0.0,0.0,0.0
24,3.0,2,veh_1,21,16,3.7767,0.0241,0.3381,30.14,0.0,0.0,0.0,0.0,0.0
25,3.0,2,veh_1,36,15,2.9931,0.0301,0.2752,35.05,0.0,0.0,0.0,0.0,0.0
26,3.0,2,veh_1,30,14,2.6972,0.0351,0.0978,36.47,0.0,0.0,0.0,0.0,0.0
27,3.0,2,veh_1,39,13,3.6128,0.0365,0.22,40.16,0.0,0.0,0.0,0.0,0.0
28,3.0,2,veh_1,35,12,3.0938,0.0402,0.2006,43.56,0.0,0.0,0.0,0.0,0.0
29,3.0,2,veh_1,32,11,2.5111,0.0436,0.2464,48.0,0.0,0.0,0.0,0.0,0.0
30,3.0,2,veh_1,40,10,3.0039,0.048,0.1483,50.37,0.0,0.0,0.0,0.0,0.0
31,3.0,2,veh_1,29,9,2.472,0.0504,0.523,60.35,0.0,0.0,0.0,0.0,0.0
32,3.0,2,veh_1,22,8,3.1252,0.0604,0.4298,68.33,0.0,0.0,0.0,0.0,0.0
33,3.0,2,veh_1,23,7,2.0984,0.0683,0.2122,72.17,0.0,0.0,0.0,0.0,0.0
34,3.0,2,veh_1,24,6,2.1954,0.0722,0.4954,81.66,0.0,0.0,0.0,0.0,0.0
35,3.0,2,veh_1,27,5,2.195,0.0817,0.3237,87.71,0.0,0.0,0.0,0.0,0.0
36,3.0,2,veh_1,37,4,2.6311,0.0877,0.4695,96.59,0.0,0.0,0.0,0.0,0.0
37,3.0,2,veh_1,38,3,2.2031,0.0966,0.1514,99.2,0.0,0.0,0.0,0.0,0.0
