policy,seed,episodes,completion_rate_pct,mean_total_delay_s,std_total_delay_s,mean_comm_delay_s,mean_comp_delay_s,mean_wait_delay_s,mean_total_energy_J,std_total_energy_J,mean_rsu_queue_Mcycles,max_rsu_queue_Mcycles
cotop,0,20,100.0,1.9808,0.0195,1.9475,0.0028,0.0306,4.4526,0.0402,11.72,140.27
cotop,1,20,100.0,1.9704,0.0226,1.9325,0.0043,0.0337,2.6268,0.0504,11.38,168.27
cotop,2,20,100.0,1.998,0.0261,1.954,0.0035,0.0405,4.3857,0.0504,11.51,226.45
cotop,3,20,100.0,1.9985,0.0232,1.9546,0.0035,0.0403,4.3765,0.0469,11.47,195.09
cotop,4,20,100.0,1.9767,0.0231,1.9402,0.0029,0.0336,4.5016,0.0382,11.52,168.1
local,0,20,100.0,1.9639,0.0198,1.9059,0.0055,0.0524,0.2957,0.0061,11.72,148.41
local,1,20,100.0,1.9667,0.023,1.9092,0.0055,0.052,0.2933,0.0067,11.38,147.26
local,2,20,100.0,1.9705,0.0255,1.9131,0.0055,0.052,0.2938,0.0058,11.51,148.61
local,3,20,100.0,1.9715,0.0227,1.9138,0.0055,0.0522,0.2943,0.0062,11.47,143.11
local,4,20,100.0,1.9557,0.0226,1.8981,0.0055,0.0522,0.2931,0.0048,11.52,145.11
greedy,0,20,100.0,1.9571,0.0194,1.9454,0.003,0.0087,4.2432,0.0442,11.72,138.29
greedy,1,20,100.0,1.9601,0.0232,1.9486,0.003,0.0085,4.2418,0.0616,11.38,142.24
greedy,2,20,100.0,1.964,0.0261,1.9526,0.003,0.0085,4.2427,0.0596,11.51,131.59
greedy,3,20,100.0,1.9648,0.0232,1.9533,0.003,0.0085,4.2458,0.0549,11.47,135.87
greedy,4,20,100.0,1.9489,0.0228,1.9374,0.003,0.0085,4.2258,0.0532,11.52,134.63
