seed,episode,reward,actor_loss,critic_loss,entropy,completion_ratio_pct,avg_delay_s,avg_wait_delay_s,avg_energy_J,avg_queue_Mcycles,max_queue_Mcycles,total_tasks,duration_s
0,1,-1641.6187,-432.224609,53581.007812,1.945021,100.0,1.9783,0.0178,3.4938,15.52,97.42,600,12.898
0,2,-1609.1297,-427.978027,52826.898438,1.945011,100.0,1.9743,0.0135,3.3894,10.92,92.57,600,12.861
0,3,-1588.6641,-422.133881,51144.238281,1.945008,100.0,1.9879,0.0145,3.3076,11.53,93.97,600,13.158
0,4,-1587.0002,-423.735504,51603.125,1.944999,100.0,1.9395,0.0139,3.3505,11.12,93.39,600,12.937
0,5,-1614.9122,-425.888885,52424.773438,1.944995,100.0,2.0024,0.0156,3.3806,11.63,93.93,600,12.882
0,6,-1634.3053,-437.127136,54757.878906,1.94499,100.0,1.9421,0.0131,3.5056,10.95,84.8,600,13.296
0,7,-1581.0518,-417.545074,49997.007812,1.944984,100.0,1.9472,0.0155,3.323,11.27,96.97,600,12.914
0,8,-1604.7384,-427.509186,52449.488281,1.944984,100.0,1.9516,0.0142,3.3975,11.36,96.17,600,12.701
0,9,-1640.4418,-434.729279,54392.050781,1.944983,100.0,1.9606,0.0142,3.5075,11.38,88.51,600,15.017
0,10,-1653.3606,-440.107025,55618.308594,1.944981,100.0,1.9701,0.0141,3.5411,11.27,91.51,600,13.457
0,11,-1643.0802,-433.065338,53911.148438,1.944979,100.0,1.9818,0.015,3.4951,11.69,99.35,600,14.096
0,12,-1604.9349,-426.000732,52017.238281,1.944978,100.0,1.9826,0.014,3.3672,11.04,92.37,600,14.374
0,13,-1612.5754,-432.46698,53242.695312,1.944974,100.0,1.9611,0.0145,3.4141,11.59,94.35,600,13.318
0,14,-1640.5079,-440.003021,55612.074219,1.944969,100.0,1.9407,0.0145,3.5277,11.79,112.11,600,13.274
0,15,-1582.6015,-421.105835,50548.214844,1.94496,100.0,1.9067,0.0136,3.3686,11.7,88.05,600,18.359
0,16,-1633.8801,-431.246002,53169.839844,1.944948,100.0,2.0264,0.0144,3.4199,11.6,98.64,600,16.614
0,17,-1595.8792,-431.639709,53276.269531,1.944937,100.0,1.9307,0.0153,3.3889,11.37,97.63,600,13.369
0,18,-1601.2618,-426.951599,52622.421875,1.944917,100.0,1.9659,0.0152,3.3717,11.24,93.59,600,13.336
0,19,-1645.3722,-437.698761,54521.773438,1.944899,100.0,1.9326,0.0144,3.552,11.81,101.46,600,13.936
0,20,-1583.2345,-426.941711,51793.140625,1.944876,100.0,1.9567,0.0131,3.3208,11.31,84.09,600,13.607
0,21,-1573.0571,-419.950897,50700.238281,1.944846,100.0,1.9482,0.0141,3.2953,10.95,103.76,600,14.256
0,22,-1635.1133,-435.93808,54451.582031,1.944815,100.0,1.9562,0.0151,3.4942,11.81,93.85,600,14.071
0,23,-1622.844,-428.611786,53061.335938,1.944782,100.0,1.9778,0.0135,3.4317,11.27,95.16,600,14.034
0,24,-1595.8642,-421.069122,50836.828125,1.944742,100.0,1.9526,0.0149,3.3669,11.6,102.67,600,13.345
0,25,-1707.3727,-447.934418,57439.332031,1.944703,100.0,1.9883,0.0128,3.7029,11.09,92.08,600,13.555
0,26,-1673.9421,-446.157654,56989.265625,1.944659,100.0,1.963,0.014,3.6168,11.67,89.55,600,13.424
0,27,-1582.6382,-416.694763,50016.207031,1.944612,100.0,1.9516,0.0153,3.3239,11.39,104.94,600,13.589
0,28,-1669.4733,-447.322388,56896.28125,1.94455,100.0,1.9455,0.0147,3.6194,12.22,111.58,600,13.246
0,29,-1572.6246,-419.421112,50408.945312,1.944478,100.0,1.9338,0.0138,3.3083,11.26,95.68,600,13.566
0,30,-1643.7654,-435.896912,54746.726562,1.944405,100.0,1.9768,0.0132,3.5025,11.33,90.29,600,1075.083
0,31,-1546.4057,-408.243866,47728.726562,1.944343,100.0,1.9657,0.0161,3.189,11.6,102.03,600,18.087
0,32,-1654.5939,-439.546082,55313.132812,1.944282,100.0,1.9921,0.0142,3.5233,11.44,92.13,600,16.096
0,33,-1651.9894,-440.924591,55545.765625,1.944211,100.0,1.9838,0.0133,3.5229,11.02,93.13,600,15.696
0,34,-1562.6425,-413.20578,49268.425781,1.944124,100.0,1.9563,0.0149,3.2525,11.08,89.49,600,14.044
0,35,-1648.105,-435.350403,55006.230469,1.944037,100.0,1.9681,0.0162,3.5255,11.86,91.41,600,15.209
0,36,-1616.1894,-425.613037,51739.671875,1.943955,100.0,1.9473,0.0135,3.44,11.64,96.25,600,17.282
0,37,-1627.3457,-429.226837,52565.035156,1.943866,100.0,1.9667,0.0141,3.4578,11.5,100.6,600,16.765
0,38,-1585.9692,-416.786835,49933.882812,1.943765,100.0,1.9441,0.0139,3.3425,11.69,92.66,600,16.483
0,39,-1636.0587,-434.024597,54305.40625,1.943654,100.0,1.9464,0.014,3.5071,11.83,92.64,600,15.901
0,40,-1628.8747,-435.196808,54878.421875,1.943539,100.0,1.9469,0.0137,3.4827,11.26,87.17,600,15.029
0,41,-1631.1045,-430.653137,53595.261719,1.943423,100.0,1.9234,0.0142,3.5136,11.34,91.26,600,15.436
0,42,-1666.4888,-437.332489,55387.652344,1.943293,100.0,1.9767,0.0145,3.5782,11.81,98.21,600,15.997
0,43,-1620.5935,-430.078339,53361.441406,1.943153,100.0,1.9927,0.0141,3.4093,11.36,109.28,600,15.014
0,44,-1633.5126,-423.091339,52058.304688,1.942999,100.0,1.941,0.0141,3.5041,11.46,95.7,600,15.507
0,45,-1649.5267,-437.123383,54628.003906,1.942842,100.0,1.9251,0.0135,3.5733,11.28,96.11,600,15.607
0,46,-1623.3251,-426.706329,52801.273438,1.942652,100.0,1.9243,0.0138,3.4868,11.5,96.74,600,15.48
0,47,-1651.3091,-432.469086,54598.328125,1.942436,100.0,1.9147,0.014,3.5897,11.27,100.97,600,15.956
0,48,-1591.9733,-419.92804,50534.945312,1.942216,100.0,1.9064,0.0141,3.4002,11.61,93.19,600,15.905
0,49,-1662.3875,-442.224579,56586.152344,1.941975,100.0,1.9557,0.0143,3.5856,12.09,94.12,600,18.029
0,50,-1611.0468,-427.463348,52404.085938,1.941705,100.0,1.9497,0.0147,3.4204,11.41,99.83,600,14.692
