algorithm,geometry,workload,seed,git_sha,evaluation_realization_hash,checkpoint_hash,training_status,convergence_class,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,completion_ratio,completed_tasks,failed_tasks,total_tasks,max_decomposition_residual_s,invariants_passed
CoTOP,linear_corridor,20,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,e8a7a9df310ce148f157a304d9b49b31456da2cb7e8e119ac5e9406914d065e9,0ed23389184ffb8977a6d3fe8b6abaa0dce4cafa5dc86df4430b03a0b2fbd427,CACHED_PASS,DIVERGED,2.0307804054927607,1.4706197407318728,8.303872347494112,3.6918661876030665,0.9583333333333334,575,25,600,8.881784197001252e-16,True
CoTOP,linear_corridor,20,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,fb84cbc010917cb8edfa675d854d3155bbbe431e208fa172e46bb44b3c282dca,fa4835e89531fd3214dba29c4057ffd2421abfeda887004ec8d38dd90fddf09e,CACHED_PASS,DIVERGED,2.002997759481378,1.5262534976631599,0.3062754935244658,0.13145577135776032,0.95,570,30,600,8.881784197001252e-16,True
CoTOP,linear_corridor,20,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,de7c0273be3004590917399f349e06687ea73cfee4bb0a87a7047caa6a99cbe7,99c2e301fac5392412ee1fc712746b37117c6a8486aa8ab4480e46cff2ebc881,CACHED_PASS,DIVERGED,2.034042474525089,1.448320629855866,7.802768679679378,5.405431423785042,0.9816666666666667,589,11,600,8.881784197001252e-16,True
CoTOP,linear_corridor,20,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,b34cf5db2676e2ea6178f43c3289e79661e52623330a114418ae8294a4659808,6d245c311cc064423271b4bc97a6933fd107c4d778b0ed823b62c73fb0974542,CACHED_PASS,DIVERGED,2.065907454071552,1.497865499983777,8.207354825231727,2.3176976316060918,0.965,579,21,600,8.881784197001252e-16,True
CoTOP,linear_corridor,20,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,aa2c8d1006a1f00c01f5f714df9293a12d6acdd5bb8f7d8580bd64813fd060b1,0c85b1458e2614b1fea792e7afaa70c8a1e49ff915f67bae183093dc2e0e4e23,CACHED_PASS,DIVERGED,2.058769338441984,1.5337347983212022,7.779108880681088,2.3669833839893486,0.985,591,9,600,8.881784197001252e-16,True
CoTOP,linear_corridor,30,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,c8ee4b9eadeefb41891f1c79ee415b369d957f4af62567c6a44bf9e8ed82f116,76b658a75ab9a0dc2d40f0a725cf3bb26d20d2664a375dfa162cf15803b8a025,CACHED_PASS,DIVERGED,1.964239787337268,1.4645054969752356,6.199687867378499,4.357135490471842,0.9855555555555555,887,13,900,8.881784197001252e-16,True
CoTOP,linear_corridor,30,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,09a8e75fb3caf6e5c4810e2f6992c884b7224d8304d364279bcbd58303625637,642517b36acabcda575c948917b41d1142641463eb7da81ff4c6e600800a4f85,CACHED_PASS,DIVERGED,2.0876396683555445,1.5174619531094067,5.293978939509711,5.636099879639882,0.9633333333333334,867,33,900,8.881784197001252e-16,True
CoTOP,linear_corridor,30,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,042056d0831c1dc4dab0b92d3de993f78e28a3d9957cfc6250f16973e2142873,b898af0773fc83d94020cd47209607b35e90ba9e9760983157e8769aeda6df62,CACHED_PASS,DIVERGED,2.0712222331966386,1.4938972737975729,4.936993001306525,5.554249266598792,0.9622222222222222,866,34,900,8.881784197001252e-16,True
CoTOP,linear_corridor,30,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,4246474b6449e6b62ae10fd3c2cf664d5a079ae054ebb4c13e85ffe28c04b760,4dec6f828a24bc788cd5dd2893f8bbf71ac80c63d0cbc54ab811a71cf256b809,CACHED_PASS,DIVERGED,2.0473997239464006,1.4696696740084618,7.6296813284930876,4.432415929578116,0.9755555555555555,878,22,900,8.881784197001252e-16,True
CoTOP,linear_corridor,30,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,063ab2eb69903d99ed8444074c2223e60e2bd811a73d77a06545d8b61cb5ac2c,df072c216049ea690e23fa3aa82a58d6d5eb51c8b673169cb89a63b9a7b56406,CACHED_PASS,DIVERGED,2.042583966800197,1.5262148353454046,8.092246610270228,4.7128795951781735,0.9722222222222222,875,25,900,8.881784197001252e-16,True
