episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
1,2,corridor_2400m,-3938.17098926871,-3938.17098926871,-1.2884184122085571,782634.75,-0.0,391316.09375,600,1,3.6716
2,2,corridor_2400m,-4986.35189777252,-4462.261443520615,-2.183957576751709,566814.875,-0.0,283405.25,600,2,3.1037
3,2,corridor_2400m,-4001.0836245108067,-4308.535503850679,-0.03762016445398331,197453.421875,-0.0,98726.671875,600,3,3.0125
4,2,corridor_2400m,-4277.080566786907,-4300.671769584736,-0.01661750115454197,276666.28125,2.833107466846761e-28,138333.125,600,4,3.0603
5,2,corridor_2400m,-4354.212066248306,-4311.37982891745,0.046160388737916946,306172.8125,-0.0,153086.453125,600,5,3.0419
6,2,corridor_2400m,-4134.081504554557,-4281.830108190301,-0.05119537189602852,314360.15625,-0.0,157180.03125,600,6,3.1098
7,2,corridor_2400m,-4072.2464957208035,-4251.88959212323,1.8968595266342163,295653.5625,-0.0,147828.671875,600,7,3.048
8,2,corridor_2400m,-4272.226166724922,-4254.431663948442,-0.11574359983205795,195022.53125,-0.0,97511.1484375,600,8,3.1644
9,2,corridor_2400m,-4463.31094976768,-4277.6404734839125,-0.0021207674872130156,151578.734375,-0.0,75789.3671875,600,9,3.0719
10,2,corridor_2400m,-4607.187746159,-4310.5952007514215,-0.40064242482185364,122979.734375,-0.0,61489.46484375,600,10,3.0297
11,2,corridor_2400m,-4206.959883146694,-4301.173808241901,-0.210627943277359,105220.7890625,-0.0,52610.18359375,600,11,3.204
12,2,corridor_2400m,-3873.7767491172244,-4265.557386648178,-0.005303050857037306,95956.71875,-0.0,47978.35546875,600,12,3.0424
13,2,corridor_2400m,-4726.194804763243,-4300.991034195491,-18.173425674438477,194839.140625,-0.0,97401.3984375,600,13,3.0655
14,2,corridor_2400m,-4129.405644471631,-4288.734934929501,-1.3945696353912354,134915.5,-0.0,67456.3515625,600,14,3.0547
15,2,corridor_2400m,-3917.5219262045343,-4263.987401014503,-4.167162895202637,108000.875,-0.0,53996.26953125,600,15,3.0755
16,2,corridor_2400m,-3829.8688639310303,-4236.854992446786,-0.17336057126522064,98105.453125,-0.0,49052.5546875,600,16,3.0597
17,2,corridor_2400m,-4190.1106741668555,-4234.105326665614,-3.0675010681152344,93815.4765625,-0.0,46904.671875,600,17,3.0528
18,2,corridor_2400m,-3792.828211371083,-4209.589931371473,-0.010852579027414322,63646.90625,-0.0,31823.44140625,600,18,3.0253
19,2,corridor_2400m,-4075.3388904474496,-4202.524087112314,0.25788038969039917,70312.0390625,-0.0,35156.27734375,600,19,3.0346
20,2,corridor_2400m,-4487.6273484690455,-4216.7792501801505,-0.034105055034160614,93198.828125,-0.0,46599.37890625,600,20,3.098
