episode,reward,loss,training_steps
1,-384.1776353806364,4134.64794921875,150000
2,-358.8644776584628,3932.7109375,150000
3,-335.8147670288707,3622.182861328125,150000
4,-356.2816523076193,3430.374267578125,150000
5,-409.2023156517845,5228.19384765625,150000
6,-402.7519613396171,4577.97998046875,150000
7,-342.1211023506611,3663.24853515625,150000
8,-430.3070588559185,5447.91650390625,150000
9,-392.6258180658766,4745.67529296875,150000
10,-382.6900049721298,3688.881103515625,150000
11,-442.22508144401036,5847.43505859375,150000
12,-366.55640910593473,3513.763916015625,150000
13,-419.6613576440202,4819.259765625,150000
14,-353.63879435273884,3583.250244140625,150000
15,-354.67940190079827,3556.45068359375,150000
16,-393.67303915230127,4097.27490234375,150000
17,-385.963241183952,4244.66845703125,150000
18,-373.82600757693626,4118.474609375,150000
19,-351.3195239217083,3788.38330078125,150000
20,-418.76561463759896,5078.55712890625,150000
21,-366.5610491267642,3772.537353515625,150000
22,-429.860811448386,4817.80029296875,150000
23,-426.4394402272619,5511.72216796875,150000
24,-401.3442994779464,4702.916015625,150000
25,-399.0143156944717,4768.095703125,150000
26,-404.0654280175761,4308.0751953125,150000
27,-424.37340734709255,5065.94482421875,150000
28,-433.0299596447413,5425.017578125,150000
29,-403.17117573294854,4692.01953125,150000
30,-381.3322341666318,4247.49609375,150000
31,-477.5134666838661,6574.71044921875,150000
32,-367.5021310677538,3924.93896484375,150000
33,-344.9582673132268,3397.706787109375,150000
34,-450.18923046490613,6037.291015625,150000
35,-414.15350192303083,5102.57275390625,150000
36,-415.2683086351742,4586.07373046875,150000
37,-432.8225939550544,5869.40771484375,150000
38,-452.53846601120324,5605.5966796875,150000
39,-422.883424329286,4783.36474609375,150000
40,-428.4535505895842,5020.556640625,150000
41,-420.1420444458564,4908.14453125,150000
42,-425.3652497766179,5086.98388671875,150000
43,-410.29286265682373,4819.8408203125,150000
44,-372.5966639635107,3936.990478515625,150000
45,-368.6785335380793,3682.005859375,150000
46,-460.1568200604952,5781.78076171875,150000
47,-363.54179367042616,3570.424072265625,150000
48,-393.4310463317275,4097.98046875,150000
49,-424.0845838822315,4866.31689453125,150000
50,-392.8072804538249,4540.166015625,150000
51,-485.443646842489,6625.59375,150000
52,-439.0184848150883,5440.9169921875,150000
53,-488.74056854954864,6573.83056640625,150000
54,-474.7079634798923,6365.9609375,150000
55,-454.9901909203062,5779.20166015625,150000
56,-446.2154113087847,5821.17724609375,150000
57,-466.09475796417894,5450.24951171875,150000
58,-461.74634637506534,6376.12451171875,150000
59,-524.8168521080702,7838.720703125,150000
60,-430.77723174559827,4986.86767578125,150000
61,-411.78226089472247,4375.81884765625,150000
62,-400.1576749299014,4377.37890625,150000
63,-455.5147994035232,5574.45361328125,150000
64,-424.60949471140583,4598.65869140625,150000
65,-421.3357906343989,4933.71923828125,150000
66,-457.22437437568374,6099.29248046875,150000
67,-433.5592117650474,4916.06201171875,150000
68,-453.0744569028473,5026.23583984375,150000
69,-433.90794719269087,4976.1689453125,150000
70,-489.0474256245269,7033.986328125,150000
71,-490.0442369598311,6118.76025390625,150000
72,-413.13079994305025,3715.098388671875,150000
73,-502.8917931386109,6758.736328125,150000
74,-421.96204437062727,4658.7724609375,150000
75,-464.51196707507825,6521.6669921875,150000
76,-383.4510201114469,3404.770751953125,150000
77,-448.64758386828925,4781.63818359375,150000
78,-460.06718724289135,5028.79541015625,150000
79,-509.8213828985597,7278.90185546875,150000
80,-494.22282375886783,6076.67138671875,150000
81,-491.5668178846073,6328.9150390625,150000
82,-478.84947785147375,6189.533203125,150000
83,-497.0111382644056,6520.78076171875,150000
84,-454.783108757377,5310.255859375,150000
85,-496.09601607647625,5596.810546875,150000
86,-411.6894951084359,4514.36572265625,150000
87,-415.19789593494846,4409.650390625,150000
88,-514.1942240499193,6621.091796875,150000
89,-413.5316148970859,3943.83056640625,150000
90,-501.54692826125745,6320.64306640625,150000
91,-425.31065830491394,4516.22021484375,150000
92,-409.28707704813087,4633.2998046875,150000
93,-491.2684139600044,6502.4970703125,150000
94,-497.36528197825857,7104.55615234375,150000
95,-424.27242681777943,3683.322509765625,150000
96,-441.0618645478302,5396.14794921875,150000
97,-498.21384516645253,5707.42822265625,150000
98,-485.8541140542258,5209.65380859375,150000
99,-509.24243697344974,5835.27685546875,150000
100,-521.9300098213113,6037.9501953125,150000
101,-546.7383163664391,7215.0791015625,150000
102,-555.7861723601635,6713.69384765625,150000
103,-517.089564883817,5637.3291015625,150000
104,-372.665918141313,3124.032470703125,150000
105,-492.6723185276559,4843.4892578125,150000
106,-514.1384777201102,6862.40771484375,150000
107,-449.4613567409385,4584.47216796875,150000
108,-509.0184844813998,4970.62841796875,150000
109,-556.5747619684394,6440.8115234375,150000
110,-347.41839229586463,2117.8662109375,150000
111,-460.34955287241456,3974.03076171875,150000
112,-421.7367933008546,3645.27783203125,150000
113,-577.0987607465222,7254.4443359375,150000
114,-519.9734553594125,4811.0625,150000
115,-524.3798272853368,5534.72509765625,150000
116,-374.09890961710084,2658.29833984375,150000
117,-462.05414209026,3856.508056640625,150000
118,-495.3414550723872,4557.2275390625,150000
119,-430.8156858651948,2871.702392578125,150000
120,-502.09227847141443,6060.466796875,150000
121,-423.03131613955776,3081.556640625,150000
122,-538.2962550778623,5429.35009765625,150000
123,-469.00689052534625,3781.8603515625,150000
124,-492.78171572234726,4591.798828125,150000
125,-527.262338860637,4940.587890625,150000
126,-423.07783111113235,2933.49462890625,150000
127,-382.4891770209787,3450.9140625,150000
128,-551.4003067345674,5604.310546875,150000
129,-504.3436149928608,4425.24951171875,150000
130,-486.22710428799775,3937.78759765625,150000
131,-516.6945924350271,4439.67919921875,150000
132,-547.6944443633198,5749.599609375,150000
133,-412.9529098860497,2717.968017578125,150000
134,-591.2077353375978,6706.5859375,150000
135,-410.41542850967846,2471.271728515625,150000
136,-397.27969108744895,1670.5478515625,150000
137,-450.6333491784297,3984.599609375,150000
138,-528.5667182392158,4358.51025390625,150000
139,-432.4646439005372,3041.945068359375,150000
140,-549.349740450074,5113.6708984375,150000
141,-299.9243536683373,1679.1717529296875,150000
142,-579.9427311576939,4970.99609375,150000
143,-491.6053176051742,3665.593994140625,150000
144,-478.3062049218482,2924.953369140625,150000
145,-470.97336767765495,3404.111083984375,150000
146,-486.1218756093565,2999.638427734375,150000
147,-440.78116509740835,1767.305908203125,150000
148,-478.51834347280595,3033.893798828125,150000
149,-433.54892373954243,1913.3013916015625,150000
150,-494.0393654156603,3475.4912109375,150000
151,-394.6517395984312,2561.855224609375,150000
152,-545.1201686163251,4713.611328125,150000
153,-537.7473519311128,4241.0234375,150000
154,-509.51623987533645,3002.215576171875,150000
155,-570.8773620977134,4049.722900390625,150000
156,-350.36430388374913,961.5401000976562,150000
157,-567.3779585369305,3988.4873046875,150000
158,-363.8883128244335,1688.1180419921875,150000
159,-555.4460070213344,3523.48876953125,150000
160,-479.92247357853785,2261.26220703125,150000
161,-447.6061577022037,1707.6673583984375,150000
162,-526.399984396087,3256.5166015625,150000
163,-454.8590071181363,1597.2021484375,150000
164,-521.2462193367259,2972.452880859375,150000
165,-493.62561296590974,2445.2138671875,150000
166,-405.68187103874254,945.0201416015625,150000
167,-482.9016901080486,2196.078369140625,150000
168,-433.8730955006692,1503.0609130859375,150000
169,-495.63292705320987,1740.4547119140625,150000
170,-373.4931945065576,597.101806640625,150000
171,-387.100469626355,986.03955078125,150000
172,-493.10640925023057,2282.34228515625,150000
173,-453.5758760890915,1134.0355224609375,150000
174,-380.8763168802233,1088.9569091796875,150000
175,-544.2948309693262,2528.350830078125,150000
176,-564.1335835482423,2433.103271484375,150000
177,-520.3671600674377,1616.263916015625,150000
