alpha,beta,seed,mean_delay,completion_ratio,mean_energy
0.1,0.9,0,0.6975,0.9434,0.1524
0.1,0.9,1,0.7074,0.9425,0.1501
0.1,0.9,2,0.6956,0.941,0.1511
0.1,0.9,3,0.6934,0.9497,0.149
0.1,0.9,4,0.688,0.945,0.154
0.2,0.8,0,0.6734,0.9809,0.143
0.2,0.8,1,0.6839,0.9739,0.1419
0.2,0.8,2,0.6855,0.9757,0.1396
0.2,0.8,3,0.681,0.9743,0.14
0.2,0.8,4,0.6751,0.9699,0.1449
0.3,0.7,0,0.6717,0.9956,0.1413
0.3,0.7,1,0.6633,1.0,0.1375
0.3,0.7,2,0.6736,0.9982,0.1359
0.3,0.7,3,0.6793,0.9966,0.1439
0.3,0.7,4,0.6705,0.9941,0.1409
0.4,0.6,0,0.6756,0.9923,0.1486
0.4,0.6,1,0.6766,0.9972,0.1496
0.4,0.6,2,0.6796,1.0,0.1468
0.4,0.6,3,0.6812,0.9959,0.1427
0.4,0.6,4,0.6708,0.9935,0.1388
0.5,0.5,0,0.6936,0.9953,0.1574
0.5,0.5,1,0.699,0.9944,0.1591
0.5,0.5,2,0.6988,0.9964,0.1548
0.5,0.5,3,0.7005,0.9978,0.1548
0.5,0.5,4,0.6996,0.9955,0.1546
0.6,0.4,0,0.7304,0.9753,0.2181
0.6,0.4,1,0.7321,0.9865,0.218
0.6,0.4,2,0.7349,0.9779,0.2143
0.6,0.4,3,0.7289,0.9805,0.2182
0.6,0.4,4,0.7296,0.9789,0.2169
0.7,0.3,0,0.7895,0.9444,0.246
0.7,0.3,1,0.789,0.9444,0.2396
0.7,0.3,2,0.7894,0.9508,0.2362
0.7,0.3,3,0.8028,0.9486,0.2455
0.7,0.3,4,0.7858,0.9394,0.2398
0.8,0.2,0,0.8409,0.9019,0.2695
0.8,0.2,1,0.8514,0.9101,0.2665
0.8,0.2,2,0.8487,0.9033,0.2703
0.8,0.2,3,0.8479,0.9011,0.2634
0.8,0.2,4,0.8485,0.8954,0.267
0.9,0.1,0,0.9191,0.8467,0.3055
0.9,0.1,1,0.9301,0.8432,0.3057
0.9,0.1,2,0.9338,0.8545,0.3083
0.9,0.1,3,0.9191,0.854,0.3036
0.9,0.1,4,0.9269,0.8573,0.3051
