bandwidth_mhz,algorithm,seed,mean_delay,completion_ratio,mean_energy
10.0,CoTOP,0,1.3063,1.0,0.2872
10.0,CoTOP,1,1.2932,1.0,0.2788
10.0,CoTOP,2,1.3157,1.0,0.2862
10.0,CoTOP,3,1.3032,1.0,0.2842
10.0,CoTOP,4,1.292,1.0,0.2784
10.0,DDQN,0,1.3134,1.0,0.4527
10.0,DDQN,1,1.3242,1.0,0.4398
10.0,DDQN,2,1.3264,1.0,0.44
10.0,DDQN,3,1.3093,1.0,0.4348
10.0,DDQN,4,1.3319,1.0,0.4441
10.0,Greedy,0,1.3487,1.0,7.2581
10.0,Greedy,1,1.3344,1.0,7.311
10.0,Greedy,2,1.3302,1.0,7.2616
10.0,Greedy,3,1.36,1.0,7.2818
10.0,Greedy,4,1.3361,1.0,7.3063
10.0,Local,0,1.3163,1.0,0.2826
10.0,Local,1,1.3092,1.0,0.2762
10.0,Local,2,1.3112,1.0,0.277
10.0,Local,3,1.3134,1.0,0.284
10.0,Local,4,1.3169,1.0,0.2801
15.0,CoTOP,0,0.8742,1.0,0.1834
15.0,CoTOP,1,0.8719,1.0,0.1864
15.0,CoTOP,2,0.8698,1.0,0.1815
15.0,CoTOP,3,0.8818,1.0,0.1857
15.0,CoTOP,4,0.8743,1.0,0.1908
15.0,DDQN,0,0.8737,1.0,0.2944
15.0,DDQN,1,0.8702,1.0,0.2895
15.0,DDQN,2,0.895,1.0,0.2915
15.0,DDQN,3,0.8751,1.0,0.294
15.0,DDQN,4,0.8685,1.0,0.2922
15.0,Greedy,0,0.9349,1.0,4.9208
15.0,Greedy,1,0.9234,1.0,4.9187
15.0,Greedy,2,0.9176,1.0,4.8548
15.0,Greedy,3,0.9075,1.0,4.7968
15.0,Greedy,4,0.909,1.0,4.8392
15.0,Local,0,0.8667,1.0,0.1865
15.0,Local,1,0.862,1.0,0.1907
15.0,Local,2,0.8691,1.0,0.1872
15.0,Local,3,0.8693,1.0,0.183
15.0,Local,4,0.8823,1.0,0.1879
20.0,CoTOP,0,0.6535,1.0,0.1364
20.0,CoTOP,1,0.65,1.0,0.1385
20.0,CoTOP,2,0.6683,1.0,0.1405
20.0,CoTOP,3,0.652,1.0,0.1402
20.0,CoTOP,4,0.6568,1.0,0.1403
20.0,DDQN,0,0.6756,1.0,0.2252
20.0,DDQN,1,0.6708,1.0,0.2188
20.0,DDQN,2,0.6623,1.0,0.213
20.0,DDQN,3,0.6636,1.0,0.2173
20.0,DDQN,4,0.6739,1.0,0.2206
20.0,Greedy,0,0.6943,1.0,3.6286
20.0,Greedy,1,0.6922,1.0,3.6119
20.0,Greedy,2,0.6782,1.0,3.629
20.0,Greedy,3,0.7049,1.0,3.6254
20.0,Greedy,4,0.6806,1.0,3.6309
20.0,Local,0,0.6605,1.0,0.1418
20.0,Local,1,0.6658,1.0,0.1334
20.0,Local,2,0.6639,1.0,0.1378
20.0,Local,3,0.6502,1.0,0.1398
20.0,Local,4,0.6523,1.0,0.1368
25.0,CoTOP,0,0.5233,1.0,0.1123
25.0,CoTOP,1,0.537,1.0,0.1108
25.0,CoTOP,2,0.5203,1.0,0.1139
25.0,CoTOP,3,0.5333,1.0,0.1115
25.0,CoTOP,4,0.5235,1.0,0.1128
25.0,DDQN,0,0.5335,1.0,0.1722
25.0,DDQN,1,0.5218,1.0,0.1739
25.0,DDQN,2,0.5441,1.0,0.1735
25.0,DDQN,3,0.5238,1.0,0.1741
25.0,DDQN,4,0.5521,1.0,0.1689
25.0,Greedy,0,0.5552,1.0,2.8507
25.0,Greedy,1,0.5737,1.0,2.8172
25.0,Greedy,2,0.5759,1.0,2.9848
25.0,Greedy,3,0.5561,1.0,2.8686
25.0,Greedy,4,0.5674,1.0,2.9935
25.0,Local,0,0.5264,1.0,0.1111
25.0,Local,1,0.5302,1.0,0.1106
25.0,Local,2,0.5341,1.0,0.111
25.0,Local,3,0.5408,1.0,0.1119
25.0,Local,4,0.5232,1.0,0.1067
30.0,CoTOP,0,0.4489,1.0,0.093
30.0,CoTOP,1,0.4525,1.0,0.0919
30.0,CoTOP,2,0.4425,1.0,0.0942
30.0,CoTOP,3,0.4478,1.0,0.1036
30.0,CoTOP,4,0.4237,1.0,0.0932
30.0,DDQN,0,0.4564,1.0,0.1364
30.0,DDQN,1,0.4582,1.0,0.1531
30.0,DDQN,2,0.4418,1.0,0.1415
30.0,DDQN,3,0.4512,1.0,0.154
30.0,DDQN,4,0.4647,1.0,0.1504
30.0,Greedy,0,0.4787,1.0,2.413
30.0,Greedy,1,0.4671,1.0,2.4789
30.0,Greedy,2,0.4777,1.0,2.4933
30.0,Greedy,3,0.4605,1.0,2.5057
30.0,Greedy,4,0.4807,1.0,2.517
30.0,Local,0,0.4403,1.0,0.0897
30.0,Local,1,0.453,1.0,0.0925
30.0,Local,2,0.4449,1.0,0.0922
30.0,Local,3,0.4462,1.0,0.0976
30.0,Local,4,0.4484,1.0,0.0879
