cpu_capacity_ghz,algorithm,seed,mean_delay,completion_ratio,mean_energy
1.0,CoTOP,0,0.6903,1.0,0.1414
1.0,CoTOP,1,0.6967,1.0,0.1383
1.0,CoTOP,2,0.6912,1.0,0.1392
1.0,CoTOP,3,0.6911,1.0,0.1388
1.0,CoTOP,4,0.6959,1.0,0.1388
1.0,DDQN,0,0.6969,1.0,0.2079
1.0,DDQN,1,0.6953,1.0,0.2088
1.0,DDQN,2,0.7047,1.0,0.2083
1.0,DDQN,3,0.6962,1.0,0.2027
1.0,DDQN,4,0.7038,1.0,0.2004
1.0,Greedy,0,0.74,1.0,3.6436
1.0,Greedy,1,0.7575,1.0,3.693
1.0,Greedy,2,0.7251,1.0,3.6782
1.0,Greedy,3,0.7304,1.0,3.6126
1.0,Greedy,4,0.7376,1.0,3.6873
1.0,Local,0,0.6958,1.0,0.1383
1.0,Local,1,0.6915,1.0,0.1422
1.0,Local,2,0.6994,1.0,0.1416
1.0,Local,3,0.6948,1.0,0.1447
1.0,Local,4,0.6982,1.0,0.1406
2.0,CoTOP,0,0.6811,1.0,0.1428
2.0,CoTOP,1,0.6831,1.0,0.1411
2.0,CoTOP,2,0.6731,1.0,0.1421
2.0,CoTOP,3,0.6906,1.0,0.1432
2.0,CoTOP,4,0.6865,1.0,0.1431
2.0,DDQN,0,0.691,1.0,0.2134
2.0,DDQN,1,0.693,1.0,0.2171
2.0,DDQN,2,0.6887,1.0,0.2173
2.0,DDQN,3,0.6929,1.0,0.2057
2.0,DDQN,4,0.6896,1.0,0.2066
2.0,Greedy,0,0.7173,1.0,3.6017
2.0,Greedy,1,0.7432,1.0,3.666
2.0,Greedy,2,0.7173,1.0,3.6253
2.0,Greedy,3,0.7181,1.0,3.6699
2.0,Greedy,4,0.7352,1.0,3.6116
2.0,Local,0,0.6839,1.0,0.1377
2.0,Local,1,0.6742,1.0,0.1389
2.0,Local,2,0.6912,1.0,0.1425
2.0,Local,3,0.6943,1.0,0.1431
2.0,Local,4,0.6912,1.0,0.1429
3.0,CoTOP,0,0.6778,1.0,0.1368
3.0,CoTOP,1,0.679,1.0,0.1423
3.0,CoTOP,2,0.6705,1.0,0.1427
3.0,CoTOP,3,0.6798,1.0,0.1402
3.0,CoTOP,4,0.6893,1.0,0.138
3.0,DDQN,0,0.6877,1.0,0.2079
3.0,DDQN,1,0.6876,1.0,0.2069
3.0,DDQN,2,0.6934,1.0,0.2071
3.0,DDQN,3,0.6882,1.0,0.2037
3.0,DDQN,4,0.6787,1.0,0.2081
3.0,Greedy,0,0.7167,1.0,3.6218
3.0,Greedy,1,0.7159,1.0,3.6235
3.0,Greedy,2,0.7354,1.0,3.6727
3.0,Greedy,3,0.7096,1.0,3.6522
3.0,Greedy,4,0.7109,1.0,3.6708
3.0,Local,0,0.6852,1.0,0.1438
3.0,Local,1,0.6862,1.0,0.1405
3.0,Local,2,0.6786,1.0,0.1377
3.0,Local,3,0.6815,1.0,0.1385
3.0,Local,4,0.6746,1.0,0.1408
4.0,CoTOP,0,0.6688,1.0,0.1377
4.0,CoTOP,1,0.682,1.0,0.1397
4.0,CoTOP,2,0.693,1.0,0.1422
4.0,CoTOP,3,0.6727,1.0,0.1414
4.0,CoTOP,4,0.676,1.0,0.1381
4.0,DDQN,0,0.6764,1.0,0.2153
4.0,DDQN,1,0.6973,1.0,0.2181
4.0,DDQN,2,0.6924,1.0,0.2177
4.0,DDQN,3,0.6959,1.0,0.2155
4.0,DDQN,4,0.6851,1.0,0.1995
4.0,Greedy,0,0.7284,1.0,3.653
4.0,Greedy,1,0.7135,1.0,3.6952
4.0,Greedy,2,0.7187,1.0,3.6984
4.0,Greedy,3,0.7178,1.0,3.7101
4.0,Greedy,4,0.7194,1.0,3.6265
4.0,Local,0,0.685,1.0,0.1378
4.0,Local,1,0.6845,1.0,0.1423
4.0,Local,2,0.6822,1.0,0.1397
4.0,Local,3,0.6742,1.0,0.142
4.0,Local,4,0.689,1.0,0.1427
5.0,CoTOP,0,0.6833,1.0,0.1414
5.0,CoTOP,1,0.6731,1.0,0.1376
5.0,CoTOP,2,0.6892,1.0,0.1408
5.0,CoTOP,3,0.6731,1.0,0.1388
5.0,CoTOP,4,0.6735,1.0,0.141
5.0,DDQN,0,0.6762,1.0,0.2169
5.0,DDQN,1,0.6873,1.0,0.2105
5.0,DDQN,2,0.6987,1.0,0.205
5.0,DDQN,3,0.6867,1.0,0.2055
5.0,DDQN,4,0.6856,1.0,0.2102
5.0,Greedy,0,0.7177,1.0,3.6844
5.0,Greedy,1,0.7067,1.0,3.6032
5.0,Greedy,2,0.7088,1.0,3.6598
5.0,Greedy,3,0.7258,1.0,3.6536
5.0,Greedy,4,0.6967,1.0,3.64
5.0,Local,0,0.6801,1.0,0.1416
5.0,Local,1,0.6693,1.0,0.1436
5.0,Local,2,0.6786,1.0,0.1393
5.0,Local,3,0.6799,1.0,0.1403
5.0,Local,4,0.685,1.0,0.146
