num_vehicles,algorithm,seed,mean_delay,completion_ratio,mean_energy
5,CoTOP,0,0.6859,0.9975,0.1371
5,CoTOP,1,0.6872,0.9975,0.1446
5,CoTOP,2,0.6933,0.9975,0.1369
5,CoTOP,3,0.6739,0.9975,0.1474
5,CoTOP,4,0.6631,0.9975,0.1413
5,DDQN,0,0.6623,0.996,0.2214
5,DDQN,1,0.6941,0.996,0.2172
5,DDQN,2,0.6644,0.996,0.222
5,DDQN,3,0.6711,0.996,0.2183
5,DDQN,4,0.7034,0.996,0.2112
5,Greedy,0,0.691,0.9925,3.5512
5,Greedy,1,0.7258,0.9925,3.7513
5,Greedy,2,0.7204,0.9925,3.5894
5,Greedy,3,0.7056,0.9925,3.7014
5,Greedy,4,0.7075,0.9925,3.7651
5,Local,0,0.6721,0.9875,0.1403
5,Local,1,0.68,0.9875,0.1427
5,Local,2,0.6867,0.9875,0.1424
5,Local,3,0.6901,0.9875,0.1488
5,Local,4,0.7107,0.9875,0.1383
10,CoTOP,0,0.6849,0.995,0.1469
10,CoTOP,1,0.6823,0.995,0.1182
10,CoTOP,2,0.6905,0.995,0.1405
10,CoTOP,3,0.6959,0.995,0.1383
10,CoTOP,4,0.675,0.995,0.156
10,DDQN,0,0.6918,0.992,0.2443
10,DDQN,1,0.6875,0.992,0.2055
10,DDQN,2,0.6757,0.992,0.2323
10,DDQN,3,0.6772,0.992,0.2476
10,DDQN,4,0.6785,0.992,0.2221
10,Greedy,0,0.7062,0.985,3.6179
10,Greedy,1,0.7084,0.985,3.6727
10,Greedy,2,0.7328,0.985,3.6641
10,Greedy,3,0.7263,0.985,3.6674
10,Greedy,4,0.7351,0.985,3.6971
10,Local,0,0.6843,0.975,0.1367
10,Local,1,0.6915,0.975,0.1342
10,Local,2,0.7053,0.975,0.1393
10,Local,3,0.6896,0.975,0.1414
10,Local,4,0.705,0.975,0.1357
15,CoTOP,0,0.685,0.9925,0.1373
15,CoTOP,1,0.6929,0.9925,0.1428
15,CoTOP,2,0.6772,0.9925,0.1378
15,CoTOP,3,0.6836,0.9925,0.1372
15,CoTOP,4,0.6935,0.9925,0.1332
15,DDQN,0,0.6777,0.988,0.2254
15,DDQN,1,0.6971,0.988,0.2234
15,DDQN,2,0.692,0.988,0.2242
15,DDQN,3,0.699,0.988,0.2313
15,DDQN,4,0.6664,0.988,0.2168
15,Greedy,0,0.7384,0.9775,3.6181
15,Greedy,1,0.7284,0.9775,3.6808
15,Greedy,2,0.7331,0.9775,3.583
15,Greedy,3,0.7351,0.9775,3.6818
15,Greedy,4,0.7126,0.9775,3.6252
15,Local,0,0.7039,0.9625,0.133
15,Local,1,0.7111,0.9625,0.1398
15,Local,2,0.6872,0.9625,0.1401
15,Local,3,0.6868,0.9625,0.1428
15,Local,4,0.7014,0.9625,0.133
20,CoTOP,0,0.6901,0.99,0.6495
20,CoTOP,1,0.676,0.99,0.6548
20,CoTOP,2,0.6732,0.99,0.6475
20,CoTOP,3,0.6822,0.99,0.6446
20,CoTOP,4,0.6633,0.99,0.6418
20,DDQN,0,0.6933,0.984,0.5274
20,DDQN,1,0.6971,0.984,0.5039
20,DDQN,2,0.6987,0.984,0.5276
20,DDQN,3,0.6807,0.984,0.5141
20,DDQN,4,0.6784,0.984,0.521
20,Greedy,0,0.758,0.97,3.6379
20,Greedy,1,0.7231,0.97,3.7384
20,Greedy,2,0.7588,0.97,3.6272
20,Greedy,3,0.7365,0.97,3.6582
20,Greedy,4,0.7611,0.97,3.6246
20,Local,0,0.6983,0.95,0.1483
20,Local,1,0.7305,0.95,0.1421
20,Local,2,0.7353,0.95,0.1481
20,Local,3,0.7028,0.95,0.141
20,Local,4,0.6834,0.95,0.1373
25,CoTOP,0,0.6765,0.9875,0.6463
25,CoTOP,1,0.6937,0.9875,0.641
25,CoTOP,2,0.6682,0.9875,0.6431
25,CoTOP,3,0.6981,0.9875,0.6468
25,CoTOP,4,0.6851,0.9875,0.6376
25,DDQN,0,0.6888,0.98,0.5412
25,DDQN,1,0.7174,0.98,0.5145
25,DDQN,2,0.6995,0.98,0.522
25,DDQN,3,0.7192,0.98,0.5139
25,DDQN,4,0.6896,0.98,0.5116
25,Greedy,0,0.7287,0.9625,3.6955
25,Greedy,1,0.7481,0.9625,3.6193
25,Greedy,2,0.7448,0.9625,3.6535
25,Greedy,3,0.7486,0.9625,3.7033
25,Greedy,4,0.7292,0.9625,3.6212
25,Local,0,0.7316,0.9375,0.1376
25,Local,1,0.7211,0.9375,0.1381
25,Local,2,0.7418,0.9375,0.1438
25,Local,3,0.7361,0.9375,0.1355
25,Local,4,0.7445,0.9375,0.1404
30,CoTOP,0,0.7091,0.985,0.6353
30,CoTOP,1,0.6938,0.985,0.6324
30,CoTOP,2,0.6873,0.985,0.6436
30,CoTOP,3,0.6817,0.985,0.639
30,CoTOP,4,0.7075,0.985,0.6452
30,DDQN,0,0.7085,0.976,0.5126
30,DDQN,1,0.7058,0.976,0.5208
30,DDQN,2,0.7089,0.976,0.5328
30,DDQN,3,0.6934,0.976,0.5131
30,DDQN,4,0.6938,0.976,0.5341
30,Greedy,0,0.7396,0.955,3.6059
30,Greedy,1,0.7708,0.955,3.6681
30,Greedy,2,0.7277,0.955,3.7863
30,Greedy,3,0.7499,0.955,3.702
30,Greedy,4,0.7473,0.955,3.6426
30,Local,0,0.7589,0.925,0.1305
30,Local,1,0.742,0.925,0.1313
30,Local,2,0.7437,0.925,0.1419
30,Local,3,0.7444,0.925,0.1336
30,Local,4,0.7532,0.925,0.1362
