episode,reward,loss,training_steps
1,-176.57572998729697,1422.3426513671875,100000
2,-181.23229734101457,1506.2777099609375,100000
3,-170.7519417915513,1326.4451904296875,100000
4,-166.931135857665,1223.0086669921875,100000
5,-173.94805986114054,1311.4512939453125,100000
6,-184.52598058770212,1567.3089599609375,100000
7,-181.17220723014682,1471.8406982421875,100000
8,-179.05815374601661,1475.1773681640625,100000
9,-183.23011675829486,1408.2528076171875,100000
10,-177.21768653983597,1413.089111328125,100000
11,-173.98706220954787,1389.6214599609375,100000
12,-173.59842308586076,1267.6688232421875,100000
13,-173.81560706231033,1348.4505615234375,100000
14,-171.22386849742372,1372.036376953125,100000
15,-184.86648753934278,1583.6351318359375,100000
16,-177.28589988657717,1350.939697265625,100000
17,-176.89777384216362,1374.458740234375,100000
18,-178.32540514375003,1408.6741943359375,100000
19,-169.63120668374592,1223.88916015625,100000
20,-177.36334886512483,1500.0362548828125,100000
21,-180.84008173426946,1439.1116943359375,100000
22,-180.19658351238488,1426.1170654296875,100000
23,-176.43858787823893,1444.854248046875,100000
24,-181.1149646902414,1477.9027099609375,100000
25,-173.11766903489496,1334.2178955078125,100000
26,-176.19545071619993,1320.92578125,100000
27,-185.60857293537302,1543.9864501953125,100000
28,-183.99779055141983,1444.530517578125,100000
29,-166.5258472008347,1246.599365234375,100000
30,-182.5709577349669,1480.2821044921875,100000
31,-183.34864973714502,1528.0478515625,100000
32,-178.9326421980251,1396.1885986328125,100000
33,-181.39452389075956,1482.6839599609375,100000
34,-177.83577389323477,1430.766845703125,100000
35,-164.70922326880137,1159.21826171875,100000
36,-174.6964222438838,1354.4698486328125,100000
37,-182.0300634906021,1478.111083984375,100000
38,-176.20956704204923,1409.9312744140625,100000
39,-199.1613408809773,1723.5853271484375,100000
40,-181.2461461688093,1503.9390869140625,100000
41,-168.71868916909213,1206.2974853515625,100000
42,-182.29642253185412,1448.892822265625,100000
43,-198.66719533705827,1754.4996337890625,100000
44,-185.31141659979892,1591.88427734375,100000
