scenario,scientific_label,num_vehicles,algorithm,seed,mean_delay,completion_ratio,mean_energy,collab_ratio,total_tasks,invariants_passed
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,CoTOP,0,0.2682,0.9955,0.3753,0.24,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,CoTOP,1,0.2681,0.9959,0.4543,0.24,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,CoTOP,2,0.2537,0.9934,0.3495,0.24,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,CoTOP,3,0.262,0.9923,0.4047,0.24,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,CoTOP,4,0.2869,1.0,0.3833,0.24,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,DDQN,0,0.2598,0.9947,0.2821,0.15,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,DDQN,1,0.2848,1.0,0.2661,0.15,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,DDQN,2,0.2597,0.9961,0.2683,0.15,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,DDQN,3,0.2812,1.0,0.2929,0.15,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,DDQN,4,0.2627,1.0,0.3273,0.15,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Greedy,0,0.2944,1.0,1.9717,0.95,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Greedy,1,0.2954,0.9897,1.9224,0.95,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Greedy,2,0.2925,0.9717,1.9909,0.95,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Greedy,3,0.2863,0.9951,1.9026,0.95,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Greedy,4,0.3005,1.0,1.9527,0.95,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Local,0,0.3093,0.9918,0.1419,0.0,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Local,1,0.3181,0.9772,0.1386,0.0,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Local,2,0.2752,0.9626,0.1414,0.0,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Local,3,0.3117,0.9733,0.1396,0.0,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,20,Local,4,0.3115,0.9857,0.1393,0.0,400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,CoTOP,0,0.2799,1.0,0.6196,0.38,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,CoTOP,1,0.2863,0.9952,0.6192,0.38,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,CoTOP,2,0.2767,0.9886,0.5907,0.38,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,CoTOP,3,0.2837,0.9969,0.6129,0.38,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,CoTOP,4,0.295,1.0,0.6175,0.38,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,DDQN,0,0.2991,0.9977,0.467,0.25,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,DDQN,1,0.3002,1.0,0.4522,0.25,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,DDQN,2,0.2995,0.993,0.4673,0.25,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,DDQN,3,0.295,0.9875,0.4325,0.25,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,DDQN,4,0.289,0.9863,0.4568,0.25,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Greedy,0,0.3187,0.9974,2.0933,0.95,800,True
