episode,reward,loss,training_steps
1,-6503.836478788244,152023.578125,450000
2,-6445.324232494688,131261.8125,450000
3,-6309.004322072558,93599.40625,450000
4,-6662.422943448495,86826.1875,450000
5,-6110.112551606311,74846.9453125,450000
6,-6488.913724856419,76560.625,450000
7,-6846.3443627281995,69900.078125,450000
8,-6405.436129479779,53352.859375,450000
9,-7234.128927121085,65979.4453125,450000
10,-6842.365226926008,58758.96484375,450000
11,-6476.491767169957,57618.94921875,450000
12,-7177.309438453434,76192.015625,450000
13,-6386.112656985166,50137.44140625,450000
14,-7242.331005573058,74291.65625,450000
15,-6890.176011828451,57799.91796875,450000
16,-6142.105096522311,45511.4921875,450000
17,-6627.732418536146,50645.03515625,450000
18,-6738.0729836353485,54959.375,450000
19,-6905.682255612201,53232.109375,450000
20,-6671.402359537442,45219.1875,450000
21,-5399.283261978286,38417.59375,450000
22,-6666.986575264915,54138.0703125,450000
23,-6004.565421226346,32665.466796875,450000
24,-6122.350231940711,32970.8203125,450000
25,-6288.737279389973,41933.43359375,450000
26,-5832.573383290988,27035.73828125,450000
27,-6766.701076014294,42128.91015625,450000
28,-6598.410949069553,43962.9921875,450000
29,-5902.535927096233,32087.08203125,450000
30,-5982.190085391779,33891.26171875,450000
31,-6054.6923337517055,36776.72265625,450000
32,-5974.82489512481,35634.8125,450000
33,-6828.812905517997,52144.54296875,450000
34,-6164.148424078324,33459.7265625,450000
35,-6553.556307420035,46678.46484375,450000
36,-6887.007248504905,52029.66796875,450000
37,-6568.3590806128095,42117.42578125,450000
38,-6469.225034581181,50546.90625,450000
39,-6861.489199561811,53724.453125,450000
40,-6475.884229102592,45658.33984375,450000
41,-5872.683100623694,28154.341796875,450000
42,-6353.792058726899,41418.48046875,450000
43,-6683.298541292657,51360.55078125,450000
44,-5740.206641699904,25955.853515625,450000
45,-6612.636787718258,43815.20703125,450000
46,-6503.373756182683,38032.55078125,450000
47,-6183.512313340908,34479.09765625,450000
48,-5779.153343972847,28646.28515625,450000
49,-7383.550580379069,65308.13671875,450000
50,-6316.142541942036,31996.71875,450000
51,-6845.666191105247,58677.93359375,450000
52,-6763.805651305312,38523.59765625,450000
53,-6291.489197644068,32330.068359375,450000
54,-6915.139747031727,44732.2734375,450000
55,-5847.921174480102,24424.126953125,450000
56,-6402.482822287365,34905.16015625,450000
57,-6439.762590799007,34339.55078125,450000
58,-5991.464997736049,22111.1484375,450000
59,-6013.612801108735,22110.736328125,450000
60,-6214.732712423504,28288.814453125,450000
61,-7091.962365551836,57551.484375,450000
62,-6921.048037684622,44879.55859375,450000
63,-6108.909521115237,31820.857421875,450000
64,-5870.101733925831,33662.265625,450000
65,-6919.140598550125,46251.8828125,450000
66,-6255.504901485622,26494.396484375,450000
67,-6067.116512340781,26076.94921875,450000
68,-5332.082317398649,14601.0234375,450000
69,-7143.346952521793,91911.984375,450000
70,-7159.496686740987,68193.3046875,450000
71,-6317.610194539975,33554.484375,450000
72,-7195.167034925977,52613.95703125,450000
73,-6149.784039856893,47043.14453125,450000
74,-6394.628781635008,43522.78515625,450000
75,-6300.961289816408,32516.189453125,450000
76,-6540.218543465173,34335.41015625,450000
77,-6668.2938362474815,48771.9921875,450000
78,-6787.141793445314,56700.58984375,450000
79,-6758.768822979371,48186.625,450000
80,-6554.940511958192,34377.24609375,450000
81,-5892.2847252256515,33390.3203125,450000
82,-6424.259320033417,37921.484375,450000
83,-6346.191320414846,32546.65625,450000
84,-6580.634524834791,41722.56640625,450000
85,-6297.787658688851,34951.16796875,450000
86,-7124.910375074909,49869.9453125,450000
87,-6460.580663744187,33400.84375,450000
88,-6658.024310078134,37928.39453125,450000
89,-6134.445822252104,30942.91796875,450000
90,-6142.805628324459,29578.052734375,450000
91,-7081.002320613995,44504.3046875,450000
92,-6207.670769744724,30496.76171875,450000
93,-6543.790751317795,32433.2890625,450000
94,-7093.243122533963,42646.3515625,450000
95,-5638.181596662969,20123.490234375,450000
96,-6712.180760236088,39382.66796875,450000
97,-6274.45900750368,27408.5078125,450000
98,-6814.716144657488,42884.36328125,450000
99,-6416.40397895595,28050.068359375,450000
100,-6296.723579952839,27074.712890625,450000
101,-7471.318396946658,60514.50390625,450000
102,-6693.1747921668,39631.49609375,450000
103,-6664.365230709414,34904.734375,450000
104,-5971.74479074037,30790.603515625,450000
105,-6367.829883724142,30490.99609375,450000
106,-5760.116613277691,21674.6640625,450000
107,-6927.204769675937,44023.2265625,450000
108,-6328.377833391243,28522.486328125,450000
109,-6579.950326184284,39387.328125,450000
110,-6527.297330312709,41966.9453125,450000
111,-6383.7062031700725,39550.1484375,450000
112,-6213.589256562226,29314.43359375,450000
113,-6486.767755467896,30590.669921875,450000
114,-7411.6192439059205,55927.6953125,450000
115,-5861.5596475801385,25542.947265625,450000
116,-5867.487096114694,22139.970703125,450000
117,-6014.557363678572,30111.84375,450000
118,-6977.610451309581,55423.9453125,450000
119,-6296.327504830635,29309.638671875,450000
120,-7141.810281370631,48547.41015625,450000
121,-5739.938591321915,19242.232421875,450000
122,-6160.294165751885,30280.69140625,450000
123,-6640.540930047574,34271.96484375,450000
124,-6902.103088941683,36987.453125,450000
125,-6492.198895395436,30130.458984375,450000
126,-6830.074625910213,42688.3828125,450000
127,-6794.533203245826,33709.20703125,450000
128,-6599.667449574486,32968.89453125,450000
129,-6300.942007656925,27414.201171875,450000
130,-7125.272470601164,42793.38671875,450000
131,-5898.692054784524,27674.40234375,450000
132,-6154.4232130820465,29552.541015625,450000
133,-7100.017657834857,43066.35546875,450000
134,-5993.410636451686,21572.427734375,450000
135,-6929.170788891212,45312.671875,450000
136,-6821.164649800859,43842.359375,450000
137,-6613.791669232271,33976.54296875,450000
138,-7259.081227383061,46413.73828125,450000
139,-6288.56611739346,29514.810546875,450000
140,-5735.74338468925,29297.298828125,450000
141,-7359.640123282968,53009.24609375,450000
142,-7036.531442106627,45151.36328125,450000
143,-6838.3587787625465,39405.40234375,450000
144,-7648.02182350442,58392.890625,450000
145,-6440.975033992248,34158.27734375,450000
146,-6555.005062207626,33716.76171875,450000
147,-6650.118324942394,36914.296875,450000
148,-6086.666726771569,30398.8984375,450000
149,-6676.42461307824,31216.177734375,450000
150,-6945.500731305325,45395.08203125,450000
151,-6444.605979646345,27818.03125,450000
152,-6769.025770953914,47828.07421875,450000
153,-5991.80000581975,23950.732421875,450000
154,-7056.834871063042,42746.07421875,450000
155,-5878.81821327859,27816.62109375,450000
156,-6038.295328008445,26918.48828125,450000
157,-7264.034318295439,54514.33203125,450000
158,-7221.698967908565,44212.61328125,450000
159,-6420.759202320074,27297.08984375,450000
160,-5948.868244029139,25040.537109375,450000
161,-7041.640023754494,58883.140625,450000
162,-6697.830237227502,36231.1328125,450000
163,-7002.882993674,47945.07421875,450000
164,-6185.125712810765,29122.25,450000
165,-6431.1377233371495,30550.3984375,450000
166,-6449.454220481603,31670.8125,450000
167,-6992.448470199124,53085.95703125,450000
168,-6563.769076438292,35781.203125,450000
169,-6645.507148779582,35223.60546875,450000
170,-7321.043780763142,53375.3671875,450000
171,-6758.643166719793,38165.97265625,450000
172,-6719.586971873467,40072.76953125,450000
173,-7153.5962604454035,45469.65234375,450000
174,-7157.893864434578,46011.89453125,450000
175,-6337.863228855651,35432.76953125,450000
176,-6584.268429314403,36420.1171875,450000
177,-6646.599701218506,47157.6953125,450000
178,-6559.490115984952,37514.7890625,450000
179,-6022.547206708163,23394.267578125,450000
180,-6766.958030400803,35988.33203125,450000
181,-6361.422781516032,28350.029296875,450000
182,-6545.344793045608,31954.712890625,450000
183,-6111.134276209689,26542.60546875,450000
184,-6640.573197909053,31749.25,450000
185,-6822.849210883344,36999.2109375,450000
186,-7431.244595589356,42786.9765625,450000
187,-6917.089057382684,38263.89453125,450000
188,-6390.17479168179,41615.26171875,450000
189,-6638.262008557941,31797.693359375,450000
190,-7432.848246177722,51957.76171875,450000
191,-7128.968785558514,45341.37109375,450000
192,-7113.694973764525,33681.375,450000
193,-7985.629860742902,65887.1171875,450000
194,-6248.291223369865,36768.76171875,450000
195,-6035.913038691391,31275.279296875,450000
196,-7298.889174070807,54634.9921875,450000
197,-6007.453921705867,22627.806640625,450000
198,-6465.980789993252,32085.439453125,450000
199,-6363.156261718203,28431.16796875,450000
200,-6640.06977006293,34531.3984375,450000
201,-7213.210120289154,49997.2421875,450000
202,-5871.787701915867,24340.37109375,450000
203,-7044.910636606261,41208.9609375,450000
204,-6378.482481016348,28202.890625,450000
205,-6689.8948680310705,33501.125,450000
206,-7799.9061560290575,64930.28125,450000
207,-6013.964086025077,23507.947265625,450000
208,-6790.578760491227,37466.29296875,450000
209,-7051.7451045363705,47552.23828125,450000
210,-6291.747713561466,33815.69140625,450000
211,-6611.677362220981,31051.5,450000
212,-6487.967088759574,26887.142578125,450000
213,-6273.4046875728145,22095.109375,450000
214,-6692.521710412007,38749.86328125,450000
215,-6962.750907011155,43674.8046875,450000
216,-6661.465809897193,35902.32421875,450000
217,-7122.0587921523,42358.73046875,450000
218,-6911.559807585855,37853.69140625,450000
219,-6241.924868444248,29540.056640625,450000
220,-6360.166117067784,27487.365234375,450000
221,-6810.061473020853,32322.2421875,450000
