episode,reward,loss,training_steps
1,-3389.693680669732,268.1288679041232,299937
2,-4081.1291016231826,110.98904668807984,299937
3,-3949.3335760101772,85.6553759320577,299937
4,-4555.356028007212,70.02981604894002,299937
5,-3571.006087911759,66.55130011240641,299937
6,-3696.8307207064163,66.64284643173218,299937
7,-3696.45895369649,62.590512844721474,299937
8,-4044.712886654288,61.01191865603129,299937
9,-3736.4107964538907,64.7799722290039,299937
10,-3584.550422653925,61.84786531130473,299937
11,-4024.6310003038175,55.840271129608155,299937
12,-4279.978703068774,54.14008383433024,299937
13,-4142.868647404817,56.36140702565511,299937
14,-3615.211545275233,52.081032320658366,299937
15,-4438.107970606348,47.9654052956899,299937
16,-3567.430698315264,46.87498750368754,299937
17,-4153.297146315824,49.392185068130495,299937
18,-3879.7723314193126,48.36789892832438,299937
19,-4496.2925686176895,48.43796297709147,299937
20,-3999.6243212190334,44.65173939704895,299937
21,-3738.3312055271904,41.254283336003624,299937
22,-3688.7969017329387,38.46876756668091,299937
23,-3973.3021923383753,38.722187220255535,299937
24,-3848.006568485619,34.85577728907267,299937
25,-4078.789484517844,33.44644039471944,299937
26,-3986.8320294399427,33.14824740250906,299937
27,-3861.3304432456052,31.161259689331054,299937
28,-3562.9924785474623,28.871375784873962,299937
29,-3993.4236341864957,27.407616539001467,299937
30,-3927.739261445259,26.956320462226866,299937
31,-3784.6893244694584,26.676717971165974,299937
32,-4422.97402913233,25.186210503578184,299937
33,-4353.674692221143,24.10434233983358,299937
34,-3599.27033692206,22.458726803461712,299937
35,-4418.423413456741,21.63111580848694,299937
36,-3418.3204230201436,19.184387459754944,299937
37,-3864.2322584984054,18.208383979797365,299937
38,-3576.060826313228,18.350978775024416,299937
39,-4131.102188113653,17.468618569374083,299937
40,-4138.840086502173,15.646393285592398,299937
41,-3657.5092559198365,14.117844556967418,299937
42,-4566.704544331829,13.619374251365661,299937
43,-3835.022570594941,12.858648173014323,299937
44,-4411.841114159658,12.347954423427582,299937
45,-3937.968539597615,11.78196692943573,299937
46,-3518.469364692914,10.909817110697428,299937
47,-3855.1851436172037,10.240562903881074,299937
48,-3689.901469813742,10.04482762893041,299937
49,-4378.403652546209,9.052895385424296,299937
50,-3709.1482151226364,8.844654471079508,299937
51,-3551.7577200038563,8.054321463108062,299937
52,-3411.8643316831754,7.24517033735911,299937
53,-4232.304045536556,6.813302454551061,299937
54,-3490.354288127351,6.368968274990718,299937
55,-3588.934009244944,5.9532451681296035,299937
56,-3364.862370264322,5.3486435383558275,299937
57,-3471.853264102938,4.824956106543541,299937
58,-3256.8284498279695,4.511991985241572,299937
59,-3410.132347724995,4.1395028674602505,299937
60,-3968.4048345716415,3.844909902016322,299937
61,-3385.052074652124,3.6734713583191234,299937
62,-3531.706069786925,3.3410275567571324,299937
63,-3302.9432528208727,3.416718789140383,299937
64,-3909.8703785381203,3.455056528846423,299937
65,-3715.448157144619,3.55546148955822,299937
66,-3469.6678090372448,3.6978196348746617,299937
67,-3189.113451601093,3.7402957857648533,299937
68,-3924.394287372397,3.868478724261125,299937
69,-3168.579942845604,3.9145140808820726,299937
70,-2776.0838881505524,3.9353481082121533,299937
71,-2957.261932874984,4.110708614190419,299937
72,-2575.9951395083026,4.0644570579131445,299937
73,-3543.07202089711,4.27451374510924,299937
74,-3407.142625153402,4.289365326563518,299937
75,-2965.1951766399284,4.622710377772649,299937
76,-3749.579656902717,4.594904252092044,299937
77,-3132.919403840138,4.811191753943761,299937
78,-3303.6938545998623,5.007126014033953,299937
79,-3982.0521511464476,5.040002420544624,299937
80,-2701.8248718469395,5.213598922888438,299937
81,-3602.3680213709713,5.170216603279114,299937
82,-2994.126622757827,5.321657511393229,299937
83,-4036.397109198552,5.296533361673355,299937
84,-3462.2317583659624,5.425078309178352,299937
85,-3784.8924739769677,5.286731434265772,299937
86,-3965.954992514388,5.403901883761088,299937
87,-3412.126541142808,5.507080658475558,299937
88,-3486.689725660321,5.610004732608795,299937
89,-4105.702847985502,5.54824190457662,299937
90,-2970.7243792219456,5.489498205582301,299937
91,-3503.3455171736778,5.790701185464859,299937
92,-3545.3379265993985,5.921008773644766,299937
93,-3448.0699389711926,5.811629620393117,299937
94,-3646.6688440150406,5.848264203071595,299937
95,-3036.595228179117,6.056426236629486,299937
96,-3032.7645485178036,5.982222863833109,299937
97,-3515.259160523399,5.8007995969057085,299937
98,-3651.794366563291,6.133508944511414,299937
99,-2816.865911336064,6.037636920015017,299937
100,-2884.317497027912,5.881691730817159,299937
101,-3530.200227879855,5.828847349484762,299937
