analysis_scope,geometry,workload,comparison,metric,n,mean_cotop,mean_baseline,mean_diff,std_diff,diff_vector,t_stat,df,p_val_t,w_stat,p_val_w,cohens_dz,ci_95,p_val_bonferroni_adj,q_val_fdr,sig_bonferroni,sig_fdr_05
Cell_Level,corridor_2400m,20,CoTOP vs DDQN,Delay (s),5,0.6798,0.6807,-0.00084,0.001238,"[-0.0001, -0.0007, -0.0030, +0.0000, -0.0004]",-1.517,4,0.203858,0.0,0.125,-0.6784,"[-0.0024, 0.0007]",1.0,0.0,False,True
Cell_Level,corridor_2400m,20,CoTOP vs DDQN,Energy (J),5,0.1444,0.2319,-0.08752,0.129682,"[-0.0116, -0.0692, -0.3144, +0.0000, -0.0424]",-1.5091,4,0.20578,0.0,0.125,-0.6749,"[-0.2485, 0.0735]",1.0,0.0,False,True
Cell_Level,corridor_2400m,20,CoTOP vs Greedy,Delay (s),5,0.6798,0.7137,-0.03384,0.000385,"[-0.0338, -0.0343, -0.0341, -0.0333, -0.0337]",-196.691,4,0.0,0.0,0.0625,-87.9629,"[-0.0343, -0.0334]",0.0,0.0,True,True
Cell_Level,corridor_2400m,20,CoTOP vs Greedy,Energy (J),5,0.1444,3.6456,-3.50122,0.040317,"[-3.4891, -3.5455, -3.5371, -3.4473, -3.4871]",-194.1869,4,0.0,0.0,0.0625,-86.843,"[-3.5513, -3.4512]",0.0,0.0,True,True
Cell_Level,corridor_2400m,20,CoTOP vs Local,Delay (s),5,0.6798,0.6798,0.0,0.0,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000]",0.0,4,1.0,0.0,1.0,0.0,"[0.0000, 0.0000]",1.0,0.0,False,True
Cell_Level,corridor_2400m,20,CoTOP vs Local,Energy (J),5,0.1444,0.1444,0.0,0.0,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000]",0.0,4,1.0,0.0,1.0,0.0,"[0.0000, 0.0000]",1.0,0.0,False,True
Cell_Level,corridor_2400m,30,CoTOP vs DDQN,Delay (s),5,0.6878,0.675,0.0128,0.013002,"[+0.0000, -0.0026, +0.0234, +0.0196, +0.0236]",2.2013,4,0.092521,1.0,0.25,0.9844,"[-0.0033, 0.0289]",1.0,0.0,False,True
Cell_Level,corridor_2400m,30,CoTOP vs DDQN,Energy (J),5,1.589,0.2517,1.33724,1.357638,"[+0.0000, -0.2707, +2.4426, +2.0513, +2.4630]",2.2025,4,0.092398,1.0,0.25,0.985,"[-0.3485, 3.0230]",1.0,0.0,False,True
Cell_Level,corridor_2400m,30,CoTOP vs Greedy,Delay (s),5,0.6878,0.7111,-0.02326,0.012666,"[-0.0370, -0.0372, -0.0129, -0.0154, -0.0138]",-4.1063,4,0.014776,0.0,0.0625,-1.8364,"[-0.0390, -0.0075]",0.531936,0.0,False,True
Cell_Level,corridor_2400m,30,CoTOP vs Greedy,Energy (J),5,1.589,3.9772,-2.38826,1.318922,"[-3.8173, -3.8416, -1.3125, -1.5706, -1.3993]",-4.049,4,0.015489,0.0,0.0625,-1.8108,"[-4.0259, -0.7506]",0.557604,0.0,False,True
Cell_Level,corridor_2400m,30,CoTOP vs Local,Delay (s),5,0.6878,0.674,0.01384,0.012677,"[+0.0000, +0.0000, +0.0242, +0.0214, +0.0236]",2.4412,4,0.071117,0.0,0.25,1.0917,"[-0.0019, 0.0296]",1.0,0.0,False,True
Cell_Level,corridor_2400m,30,CoTOP vs Local,Energy (J),5,1.589,0.1434,1.44556,1.32404,"[+0.0000, +0.0000, +2.5282, +2.2366, +2.4630]",2.4413,4,0.071109,0.0,0.25,1.0918,"[-0.1985, 3.0896]",1.0,0.0,False,True
Cell_Level,corridor_2400m,40,CoTOP vs DDQN,Delay (s),5,0.6878,0.6772,0.0106,0.011415,"[+0.0239, +0.0091, +0.0207, -0.0007, +0.0000]",2.0764,4,0.106451,1.0,0.25,0.9286,"[-0.0036, 0.0248]",1.0,0.0,False,True
Cell_Level,corridor_2400m,40,CoTOP vs DDQN,Energy (J),5,1.2937,0.1913,1.1024,1.191992,"[+2.4879, +0.9369, +2.1648, -0.0776, +0.0000]",2.068,4,0.107473,1.0,0.25,0.9248,"[-0.3777, 2.5825]",1.0,0.0,False,True
Cell_Level,corridor_2400m,40,CoTOP vs Greedy,Delay (s),5,0.6878,0.7166,-0.02878,0.011527,"[-0.0157, -0.0305, -0.0181, -0.0393, -0.0403]",-5.5829,4,0.005048,0.0,0.0625,-2.4967,"[-0.0431, -0.0145]",0.181728,0.0,False,True
Cell_Level,corridor_2400m,40,CoTOP vs Greedy,Energy (J),5,1.2937,4.2524,-2.95876,1.205515,"[-1.5908, -3.1439, -1.8396, -4.0578, -4.1617]",-5.4881,4,0.00537,0.0,0.0625,-2.4544,"[-4.4556, -1.4619]",0.19332,0.0,False,True
Cell_Level,corridor_2400m,40,CoTOP vs Local,Delay (s),5,0.6878,0.6768,0.01102,0.011432,"[+0.0239, +0.0096, +0.0216, +0.0000, +0.0000]",2.1556,4,0.097373,0.0,0.25,0.964,"[-0.0032, 0.0252]",1.0,0.0,False,True
Cell_Level,corridor_2400m,40,CoTOP vs Local,Energy (J),5,1.2937,0.1446,1.14902,1.193021,"[+2.4879, +0.9961, +2.2611, +0.0000, +0.0000]",2.1536,4,0.097587,0.0,0.25,0.9631,"[-0.3323, 2.6304]",1.0,0.0,False,True
Cell_Level,grid_200m,20,CoTOP vs DDQN,Delay (s),5,0.2568,0.2568,0.0,0.0,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000]",0.0,4,1.0,0.0,1.0,0.0,"[0.0000, 0.0000]",1.0,0.0,False,True
Cell_Level,grid_200m,20,CoTOP vs DDQN,Energy (J),5,0.1396,0.1396,0.0,0.0,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000]",0.0,4,1.0,0.0,1.0,0.0,"[0.0000, 0.0000]",1.0,0.0,False,True
Cell_Level,grid_200m,20,CoTOP vs Greedy,Delay (s),5,0.2568,0.2733,-0.01656,0.00078,"[-0.0165, -0.0158, -0.0177, -0.0159, -0.0169]",-47.4891,4,1e-06,0.0,0.0625,-21.2378,"[-0.0175, -0.0156]",3.6e-05,0.0,True,True
Cell_Level,grid_200m,20,CoTOP vs Greedy,Energy (J),5,0.1396,1.9076,-1.76802,0.084251,"[-1.7584, -1.6902, -1.8896, -1.6923, -1.8096]",-46.9245,4,1e-06,0.0,0.0625,-20.9853,"[-1.8726, -1.6634]",3.6e-05,0.0,True,True
Cell_Level,grid_200m,20,CoTOP vs Local,Delay (s),5,0.2568,0.2568,0.0,0.0,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000]",0.0,4,1.0,0.0,1.0,0.0,"[0.0000, 0.0000]",1.0,0.0,False,True
Cell_Level,grid_200m,20,CoTOP vs Local,Energy (J),5,0.1396,0.1396,0.0,0.0,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000]",0.0,4,1.0,0.0,1.0,0.0,"[0.0000, 0.0000]",1.0,0.0,False,True
Cell_Level,grid_200m,30,CoTOP vs DDQN,Delay (s),5,0.2837,0.2695,0.01412,0.007907,"[+0.0183, +0.0000, +0.0175, +0.0170, +0.0178]",3.9929,4,0.016226,0.0,0.125,1.7857,"[0.0043, 0.0239]",0.584136,0.0,False,True
Cell_Level,grid_200m,30,CoTOP vs DDQN,Energy (J),5,1.6537,0.1397,1.51402,0.847794,"[+1.9607, +0.0000, +1.8763, +1.8251, +1.9080]",3.9932,4,0.016221,0.0,0.125,1.7858,"[0.4613, 2.5667]",0.5839559999999999,0.0,False,True
Cell_Level,grid_200m,30,CoTOP vs Greedy,Delay (s),5,0.2837,0.2856,-0.00198,0.007913,"[+0.0023, -0.0161, +0.0008, +0.0018, +0.0013]",-0.5595,4,0.605664,5.0,0.625,-0.2502,"[-0.0118, 0.0078]",1.0,0.0,False,True
Cell_Level,grid_200m,30,CoTOP vs Greedy,Energy (J),5,1.6537,1.8546,-0.2009,0.846515,"[+0.2629, -1.7109, +0.0903, +0.2024, +0.1508]",-0.5307,4,0.623738,5.0,0.625,-0.2373,"[-1.2520, 0.8502]",1.0,0.0,False,True
Cell_Level,grid_200m,30,CoTOP vs Local,Delay (s),5,0.2837,0.2695,0.01412,0.007907,"[+0.0183, +0.0000, +0.0175, +0.0170, +0.0178]",3.9929,4,0.016226,0.0,0.125,1.7857,"[0.0043, 0.0239]",0.584136,0.0,False,True
Cell_Level,grid_200m,30,CoTOP vs Local,Energy (J),5,1.6537,0.1397,1.51402,0.847794,"[+1.9607, +0.0000, +1.8763, +1.8251, +1.9080]",3.9932,4,0.016221,0.0,0.125,1.7858,"[0.4613, 2.5667]",0.5839559999999999,0.0,False,True
Cell_Level,grid_200m,40,CoTOP vs DDQN,Delay (s),5,0.2834,0.2705,0.01294,0.007277,"[+0.0168, +0.0156, +0.0152, +0.0171, +0.0000]",3.9761,4,0.016455,0.0,0.125,1.7782,"[0.0039, 0.0220]",0.59238,0.0,False,True
Cell_Level,grid_200m,40,CoTOP vs DDQN,Energy (J),5,1.529,0.1392,1.38982,0.78197,"[+1.8025, +1.6714, +1.6308, +1.8444, +0.0000]",3.9742,4,0.01648,0.0,0.125,1.7773,"[0.4189, 2.3608]",0.59328,0.0,False,True
Cell_Level,grid_200m,40,CoTOP vs Greedy,Delay (s),5,0.2834,0.2861,-0.00262,0.007515,"[+0.0014, +0.0000, -0.0008, +0.0022, -0.0159]",-0.7795,4,0.479215,5.0,1.0,-0.3486,"[-0.0120, 0.0067]",1.0,0.0,False,True
Cell_Level,grid_200m,40,CoTOP vs Greedy,Energy (J),5,1.529,1.8036,-0.27452,0.804914,"[+0.1572, +0.0000, -0.0821, +0.2480, -1.6957]",-0.7626,4,0.488182,5.0,1.0,-0.3411,"[-1.2740, 0.7249]",1.0,0.0,False,True
Cell_Level,grid_200m,40,CoTOP vs Local,Delay (s),5,0.2834,0.2705,0.01294,0.007277,"[+0.0168, +0.0156, +0.0152, +0.0171, +0.0000]",3.9761,4,0.016455,0.0,0.125,1.7782,"[0.0039, 0.0220]",0.59238,0.0,False,True
Cell_Level,grid_200m,40,CoTOP vs Local,Energy (J),5,1.529,0.1392,1.38982,0.78197,"[+1.8025, +1.6714, +1.6308, +1.8444, +0.0000]",3.9742,4,0.01648,0.0,0.125,1.7773,"[0.4189, 2.3608]",0.59328,0.0,False,True
Geometry_Aggregated (corridor_2400m),corridor_2400m,"All (20,30,40)",CoTOP vs DDQN,Delay (s),15,0.6851,0.6776,0.00752,0.011148,"[-0.0001, -0.0007, -0.0030, +0.0000, -0.0004, +0.0000, -0.0026, +0.0234, +0.0196, +0.0236, +0.0239, +0.0091, +0.0207, -0.0007, +0.0000]",2.6126,14,0.020469,21.0,0.157779,0.6746,"[0.0013, 0.0137]",0.7368840000000001,0.0,False,True
Geometry_Aggregated (corridor_2400m),corridor_2400m,"All (20,30,40)",CoTOP vs DDQN,Energy (J),15,1.009,0.225,0.78404,1.163688,"[-0.0116, -0.0692, -0.3144, +0.0000, -0.0424, +0.0000, -0.2707, +2.4426, +2.0513, +2.4630, +2.4879, +0.9369, +2.1648, -0.0776, +0.0000]",2.6094,14,0.020595,21.0,0.157939,0.6738,"[0.1396, 1.4285]",0.74142,0.0,False,True
Geometry_Aggregated (corridor_2400m),corridor_2400m,"All (20,30,40)",CoTOP vs Greedy,Delay (s),15,0.6851,0.7138,-0.028627,0.01019,"[-0.0338, -0.0343, -0.0341, -0.0333, -0.0337, -0.0370, -0.0372, -0.0129, -0.0154, -0.0138, -0.0157, -0.0305, -0.0181, -0.0393, -0.0403]",-10.8799,14,0.0,0.0,6.1e-05,-2.8092,"[-0.0343, -0.0230]",0.0,0.0,True,True
Geometry_Aggregated (corridor_2400m),corridor_2400m,"All (20,30,40)",CoTOP vs Greedy,Energy (J),15,1.009,3.9584,-2.949413,1.064866,"[-3.4891, -3.5455, -3.5371, -3.4473, -3.4871, -3.8173, -3.8416, -1.3125, -1.5706, -1.3993, -1.5908, -3.1439, -1.8396, -4.0578, -4.1617]",-10.7272,14,0.0,0.0,6.1e-05,-2.7698,"[-3.5391, -2.3597]",0.0,0.0,True,True
Geometry_Aggregated (corridor_2400m),corridor_2400m,"All (20,30,40)",CoTOP vs Local,Delay (s),15,0.6851,0.6769,0.008287,0.011021,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0242, +0.0214, +0.0236, +0.0239, +0.0096, +0.0216, +0.0000, +0.0000]",2.9121,14,0.011367,0.0,0.027708,0.7519,"[0.0022, 0.0144]",0.409212,0.0,False,True
Geometry_Aggregated (corridor_2400m),corridor_2400m,"All (20,30,40)",CoTOP vs Local,Energy (J),15,1.009,0.1442,0.86486,1.150628,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +2.5282, +2.2366, +2.4630, +2.4879, +0.9961, +2.2611, +0.0000, +0.0000]",2.9111,14,0.01139,0.0,0.027708,0.7516,"[0.2277, 1.5021]",0.41004,0.0,False,True
Geometry_Aggregated (grid_200m),grid_200m,"All (20,30,40)",CoTOP vs DDQN,Delay (s),15,0.2746,0.2656,0.00902,0.008765,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0183, +0.0000, +0.0175, +0.0170, +0.0178, +0.0168, +0.0156, +0.0152, +0.0171, +0.0000]",3.9855,14,0.001354,0.0,0.011719,1.0291,"[0.0042, 0.0139]",0.048743999999999996,0.0,True,True
Geometry_Aggregated (grid_200m),grid_200m,"All (20,30,40)",CoTOP vs DDQN,Energy (J),15,1.1074,0.1395,0.967947,0.940607,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +1.9607, +0.0000, +1.8763, +1.8251, +1.9080, +1.8025, +1.6714, +1.6308, +1.8444, +0.0000]",3.9856,14,0.001354,0.0,0.011719,1.0291,"[0.4471, 1.4888]",0.048743999999999996,0.0,True,True
Geometry_Aggregated (grid_200m),grid_200m,"All (20,30,40)",CoTOP vs Greedy,Delay (s),15,0.2746,0.2817,-0.007053,0.009093,"[-0.0165, -0.0158, -0.0177, -0.0159, -0.0169, +0.0023, -0.0161, +0.0008, +0.0018, +0.0013, +0.0014, +0.0000, -0.0008, +0.0022, -0.0159]",-3.0041,14,0.009475,27.0,0.109421,-0.7756,"[-0.0121, -0.0020]",0.3411,0.0,False,True
Geometry_Aggregated (grid_200m),grid_200m,"All (20,30,40)",CoTOP vs Greedy,Energy (J),15,1.1074,1.8553,-0.747813,0.974899,"[-1.7584, -1.6902, -1.8896, -1.6923, -1.8096, +0.2629, -1.7109, +0.0903, +0.2024, +0.1508, +0.1572, +0.0000, -0.0821, +0.2480, -1.6957]",-2.9708,14,0.01012,27.0,0.109421,-0.7671,"[-1.2877, -0.2079]",0.36432000000000003,0.0,False,True
Geometry_Aggregated (grid_200m),grid_200m,"All (20,30,40)",CoTOP vs Local,Delay (s),15,0.2746,0.2656,0.00902,0.008765,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0183, +0.0000, +0.0175, +0.0170, +0.0178, +0.0168, +0.0156, +0.0152, +0.0171, +0.0000]",3.9855,14,0.001354,0.0,0.011719,1.0291,"[0.0042, 0.0139]",0.048743999999999996,0.0,True,True
Geometry_Aggregated (grid_200m),grid_200m,"All (20,30,40)",CoTOP vs Local,Energy (J),15,1.1074,0.1395,0.967947,0.940607,"[+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +1.9607, +0.0000, +1.8763, +1.8251, +1.9080, +1.8025, +1.6714, +1.6308, +1.8444, +0.0000]",3.9856,14,0.001354,0.0,0.011719,1.0291,"[0.4471, 1.4888]",0.048743999999999996,0.0,True,True
Global_Factorial_Total,Both,All,CoTOP vs DDQN,Delay (s),30,0.4799,0.4716,0.00827,0.009883,"[-0.0001, -0.0007, -0.0030, +0.0000, -0.0004, +0.0000, -0.0026, +0.0234, +0.0196, +0.0236, +0.0239, +0.0091, +0.0207, -0.0007, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0183, +0.0000, +0.0175, +0.0170, +0.0178, +0.0168, +0.0156, +0.0152, +0.0171, +0.0000]",4.5834,29,8.1e-05,21.0,0.001711,0.8368,"[0.0046, 0.0120]",0.002916,0.0,True,True
