cell_id,algorithm,geometry,workload,seed,eval_seed,training_episodes,wall_clock_time_s,convergence_status,final_reward,final_loss,total_tasks,completed_tasks,failed_tasks,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,realization_hash,checkpoint_sha256,git_sha,invariants_passed
corridor_2400m_CoTOP_w20_seed0,CoTOP,corridor_2400m,20,0,30000,500,280.67,OSCILLATORY,-72.9284,90.7215,200,200,0,1.0,0.6743,0.5306,0.1389,0.0625,0.6717,0.0026,0.0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,3209abbc5243e693f313393a138bc522ca439b59e57e66e319e6b8a46f8720f3,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w20_seed1,CoTOP,corridor_2400m,20,1,30001,500,297.32,OSCILLATORY,-114.5139,104.8826,200,200,0,1.0,0.6958,0.5475,0.1421,0.0644,0.6931,0.0027,0.0,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,9955336be980bf08ce68e4c727a87e741a2982a61834a2cc8688b12c86c4e9ca,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w20_seed2,CoTOP,corridor_2400m,20,2,30002,500,280.34,OSCILLATORY,-69.9564,59.6456,200,200,0,1.0,0.6789,0.5321,0.1527,0.0645,0.676,0.0029,0.0,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,25a4af863180f90e1299e3230f79beb1df9a1342a503ec37fe8514c05c3f7102,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w20_seed3,CoTOP,corridor_2400m,20,3,30003,500,297.09,OSCILLATORY,-87.2606,51.5411,200,200,0,1.0,0.6728,0.5376,0.1456,0.0646,0.6701,0.0028,0.0,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,d92de25f1ca45fc6dd2f39e05aa90f9c58c31365e393e2d056afe37b653bceba,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w20_seed4,CoTOP,corridor_2400m,20,4,30004,500,280.47,OSCILLATORY,-80.0682,48.2799,200,200,0,1.0,0.6773,0.5297,0.1428,0.062,0.6746,0.0027,0.0,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,3792b08e6a7f0c5508a0e24ab1e458d3f810839502f1530a5792d38c026806df,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w30_seed0,CoTOP,corridor_2400m,30,0,30000,500,448.23,OSCILLATORY,-123.9195,168.7633,300,300,0,1.0,0.6718,0.5251,0.1377,0.0631,0.6692,0.0026,0.0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,cba7ae0f159f638fce73ebbdb7a63293a5cb4fde48eaf7cf6d6da5cc09a0f5d8,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w30_seed1,CoTOP,corridor_2400m,30,1,30001,500,425.34,OSCILLATORY,-145.5143,74.409,300,300,0,1.0,0.6807,0.5296,0.1437,0.0653,0.678,0.0027,0.0,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,13b15c2157a851ad33896e2db5964a7b72f4a6a36b7ce04a80bcdd3c568c43b3,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w30_seed2,CoTOP,corridor_2400m,30,2,30002,500,451.58,DIVERGED,-473.7314,653.0344,300,300,0,1.0,0.6919,0.5423,2.6794,1.6041,0.6648,0.0271,0.0,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,9c6708f61f1220f7d6ee2d6c3c0f934aa8488178c96a2ba09b3395026783347d,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w30_seed3,CoTOP,corridor_2400m,30,3,30003,500,425.82,DIVERGED,-360.1475,549.2708,300,300,0,1.0,0.7066,0.5417,2.3812,1.6258,0.6824,0.0242,0.0,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,ce47e90454a6ff5dbb96ee0be972870a1ddba3a54a9d03b5315270394203ab36,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w30_seed4,CoTOP,corridor_2400m,30,4,30004,500,450.89,DIVERGED,-450.1918,1640.0238,300,300,0,1.0,0.688,0.5143,2.6028,1.6073,0.6617,0.0263,0.0,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,9ecd8182c746577ab006b09d156356812effaeb6d204b14e445294c1ac0267c7,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w40_seed0,CoTOP,corridor_2400m,40,0,30000,500,580.15,DIVERGED,-540.0337,653.4969,400,400,0,1.0,0.7038,0.5419,2.6257,1.613,0.6773,0.0265,0.0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,7dfd99cb293fee3436086c79124730473b10d688833e519904c7e6a33a0188c4,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w40_seed1,CoTOP,corridor_2400m,40,1,30001,500,615.29,OSCILLATORY,-255.3925,361.2235,400,400,0,1.0,0.6816,0.5261,1.1396,1.6703,0.6692,0.0123,0.0,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,88a3d39b13c75d6ccba878cb04cfafc9f08e1692262fe0b4277b3cacd81f6c38,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w40_seed2,CoTOP,corridor_2400m,40,2,30002,500,581.53,DIVERGED,-478.7498,2291.8135,400,400,0,1.0,0.7017,0.5422,2.4119,1.6423,0.6772,0.0245,0.0,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,c317a042c7b5e39ecd060812c886f7387f9a91f7e7f96a7f7a2875529575043f,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w40_seed3,CoTOP,corridor_2400m,40,3,30003,500,618.69,OSCILLATORY,-160.7493,67.1604,400,400,0,1.0,0.6687,0.5424,0.1478,0.0648,0.6659,0.0028,0.0,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,ec8eca21c8796660cfcf7320a4f3255d1df6db38aea4be8deadacd8b8f7392a2,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_CoTOP_w40_seed4,CoTOP,corridor_2400m,40,4,30004,500,580.82,OSCILLATORY,-139.3147,60.684,400,400,0,1.0,0.6832,0.5282,0.1433,0.0627,0.6804,0.0027,0.0,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,9a6c5bda2d53e2e367a2e1726682a3768bfc834bc17e69895bb275ceaa578b17,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w20_seed0,DDQN,corridor_2400m,20,0,30000,500,249.29,OSCILLATORY,-78.1285,0.8456,200,200,0,1.0,0.6744,0.5306,0.1505,0.1791,0.6717,0.0027,0.0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,ccad013ccca5f8e60a1531646373a005c63627f88fa405641eb06447cd03e292,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w20_seed1,DDQN,corridor_2400m,20,1,30001,500,248.49,OSCILLATORY,-130.2849,0.7545,200,200,0,1.0,0.6965,0.5471,0.2113,0.5034,0.6931,0.0034,0.0,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,f5b87f55d07252b9897dedb7a1ef235a9f02cfedb5b060fb2ac9e7a1cbd5e6b1,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w20_seed2,DDQN,corridor_2400m,20,2,30002,500,234.44,OSCILLATORY,-75.0377,0.7784,200,200,0,1.0,0.6819,0.5315,0.4671,0.9747,0.676,0.0059,0.0,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,ba8c519ffed67f23cfbc04e3cdf900545fb5c23b21db615003f64663b41bf5e2,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w20_seed3,DDQN,corridor_2400m,20,3,30003,500,249.47,OSCILLATORY,-93.6738,0.6802,200,200,0,1.0,0.6728,0.5376,0.1456,0.0646,0.6701,0.0028,0.0,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,3e51dd0eab1dfc34a48e2dea213e77cd39a248e218c73107f145abf61564c817,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w20_seed4,DDQN,corridor_2400m,20,4,30004,500,234.36,OSCILLATORY,-87.5425,0.8393,200,200,0,1.0,0.6777,0.5299,0.1852,0.3096,0.6746,0.0031,0.0,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,c153d358a0824114aaa41b17a216237bb1f04053f5d19c99db8ff94191a8af34,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w30_seed0,DDQN,corridor_2400m,30,0,30000,500,362.12,OSCILLATORY,-148.7842,0.6981,300,300,0,1.0,0.6718,0.5251,0.1377,0.0631,0.6692,0.0026,0.0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,8e0f0629a276692ddd7a64c06eb36972956e5e2b6334147260e1b329c3263e3e,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w30_seed1,DDQN,corridor_2400m,30,1,30001,500,620.71,OSCILLATORY,-158.8016,0.8025,300,300,0,1.0,0.6833,0.5294,0.4144,0.9388,0.678,0.0053,0.0,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,ead1535499537058ec9519eacca27dbb99f5cd12d2940eeff9b188bcbfb840d5,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w30_seed2,DDQN,corridor_2400m,30,2,30002,500,397.04,OSCILLATORY,-181.4204,0.8361,300,300,0,1.0,0.6685,0.5418,0.2368,0.4963,0.6648,0.0037,0.0,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,73aeb1a14e4878975a4f09d1c0f6d161af33576285df1997e74004246164e9fb,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w30_seed3,DDQN,corridor_2400m,30,3,30003,500,584.82,OSCILLATORY,-133.1401,0.6148,300,300,0,1.0,0.687,0.5396,0.3299,0.7745,0.6824,0.0045,0.0,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,e4d067d681693ea00613c170a49c82af3e6c7e1361ba1a026236b61854cc5dd0,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w30_seed4,DDQN,corridor_2400m,30,4,30004,500,449.12,OSCILLATORY,-133.3406,0.8049,300,300,0,1.0,0.6644,0.5132,0.1398,0.0631,0.6617,0.0027,0.0,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,253140625631c90a73ad4cf8745d43295022a63a4488c1da799490dd78190523,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w40_seed0,DDQN,corridor_2400m,40,0,30000,500,662.05,OSCILLATORY,-291.844,0.7272,400,400,0,1.0,0.6799,0.5389,0.1378,0.0626,0.6773,0.0026,0.0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,34ab8a69e4b803621b96804e1c04aeee3aad72723f553d437eddde1f4554be43,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w40_seed1,DDQN,corridor_2400m,40,1,30001,500,694.83,OSCILLATORY,-147.5735,0.5567,400,400,0,1.0,0.6725,0.5252,0.2027,0.4304,0.6692,0.0033,0.0,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,f915e6ecb19638ca5e01fd0110b9c16e461b5318aabcd940f3bceed1df9cd15f,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w40_seed2,DDQN,corridor_2400m,40,2,30002,500,555.39,OSCILLATORY,-186.2072,0.7039,400,400,0,1.0,0.681,0.5406,0.2471,0.5221,0.6772,0.0038,0.0,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,20560ac3aec9f7084a0f7953b8695b8bd6011c98c6fe8c0095e028efeb13ca08,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
corridor_2400m_DDQN_w40_seed3,DDQN,corridor_2400m,40,3,30003,500,749.69,OSCILLATORY,-193.5077,0.7674,400,400,0,1.0,0.6694,0.5421,0.2254,0.4321,0.6659,0.0036,0.0,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,e2f313dd0c407a565be211d998809029bddaad42aec62dce4047e6c19cc5e10d,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
