algorithm,geometry,workload,seed,realization_hash,mean_delay,mean_energy,completion_ratio,N_generated,N_completed,N_failed,N_pending
Greedy,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.7081,3.628,1.0,200,200,0,0
Local,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.6743,0.1389,1.0,200,200,0,0
CoTOP,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.6743,0.1389,1.0,200,200,0,0
DDQN,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.6744,0.1505,1.0,200,200,0,0
Greedy,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.7301,3.6876,1.0,200,200,0,0
Local,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.6958,0.1421,1.0,200,200,0,0
CoTOP,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.6958,0.1421,1.0,200,200,0,0
DDQN,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.6965,0.2113,1.0,200,200,0,0
Greedy,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.713,3.6898,1.0,200,200,0,0
Local,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.6789,0.1527,1.0,200,200,0,0
CoTOP,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.6789,0.1527,1.0,200,200,0,0
DDQN,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.6819,0.4671,1.0,200,200,0,0
Greedy,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.7061,3.5929,1.0,200,200,0,0
Local,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.6728,0.1456,1.0,200,200,0,0
CoTOP,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.6728,0.1456,1.0,200,200,0,0
DDQN,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.6728,0.1456,1.0,200,200,0,0
Greedy,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.711,3.6299,1.0,200,200,0,0
Local,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.6773,0.1428,1.0,200,200,0,0
CoTOP,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.6773,0.1428,1.0,200,200,0,0
DDQN,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.6777,0.1852,1.0,200,200,0,0
Greedy,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.7088,3.955,1.0,300,300,0,0
Local,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.6718,0.1377,1.0,300,300,0,0
CoTOP,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.6718,0.1377,1.0,300,300,0,0
DDQN,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.6718,0.1377,1.0,300,300,0,0
Greedy,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.7179,3.9853,1.0,300,300,0,0
Local,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.6807,0.1437,1.0,300,300,0,0
CoTOP,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.6807,0.1437,1.0,300,300,0,0
DDQN,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.6833,0.4144,1.0,300,300,0,0
Greedy,corridor_2400m,30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,0.7048,3.9919,1.0,300,300,0,0
Local,corridor_2400m,30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,0.6677,0.1512,1.0,300,300,0,0
