episode,reward,loss,training_steps
1,-2268.2673031985555,1619581.0,600000
2,-2249.8302161788793,831058.6875,600000
3,-2207.1701807168483,374538.65625,600000
4,-2083.5112739007122,128756.4609375,600000
5,-1894.991186195139,67105.7890625,600000
6,-1733.991005113732,131595.3125,600000
7,-1697.3665261741844,223654.484375,600000
8,-1694.346107084483,289646.46875,600000
9,-1697.3552355421475,305828.71875,600000
10,-1743.779570045932,275129.96875,600000
11,-1845.3594985369282,209653.984375,600000
12,-1897.6217628122663,147789.46875,600000
13,-2021.3301509525252,96914.1796875,600000
14,-2097.9455620868744,48996.0390625,600000
15,-2131.7002708819377,27794.603515625,600000
16,-2132.9456041337176,18050.861328125,600000
17,-2238.5333632685274,22214.529296875,600000
18,-2236.144469249226,40157.06640625,600000
19,-2227.264004147696,49836.0703125,600000
20,-2237.228033413229,60571.43359375,600000
21,-2268.508877323591,71474.9765625,600000
22,-2268.715478406165,68417.1484375,600000
23,-2260.5725953574083,57759.16796875,600000
24,-2259.3468913004044,50137.20703125,600000
25,-2290.772868786619,35486.08984375,600000
26,-2229.9713555120434,22687.94921875,600000
27,-2262.7304712601895,15972.0947265625,600000
28,-2249.3728117702663,11899.296875,600000
29,-2240.730968507405,11158.76953125,600000
30,-2234.315867947234,12667.7958984375,600000
31,-2213.3437086205704,16347.52734375,600000
32,-2193.1881331134846,19542.650390625,600000
33,-2204.790702469993,21811.8125,600000
34,-2258.1020761236327,21366.8984375,600000
35,-2235.781817560253,18971.033203125,600000
36,-2217.368318443902,17956.958984375,600000
37,-2230.7174501172562,13856.810546875,600000
38,-2228.6581417131233,11121.8193359375,600000
39,-2235.9176115345726,9533.2724609375,600000
40,-2249.6531264303444,7468.9462890625,600000
41,-2278.239629055635,7941.189453125,600000
42,-2246.9289668533124,7953.74609375,600000
43,-2228.2061092413887,8977.1337890625,600000
44,-2244.5919739805668,9584.3583984375,600000
45,-2227.7890399268267,10659.9013671875,600000
46,-2241.20540322647,11149.4970703125,600000
47,-2249.514464158929,9629.2412109375,600000
48,-2273.093457047847,10315.9638671875,600000
49,-2221.292601732495,8492.046875,600000
50,-2245.2391851000657,7099.912109375,600000
51,-2232.127497205766,6867.8349609375,600000
52,-2241.2087372876613,7177.8056640625,600000
53,-2287.966743027538,6844.2666015625,600000
54,-2233.907414557298,6279.140625,600000
55,-2247.6573422048245,6203.68505859375,600000
56,-2219.817532545299,6696.5654296875,600000
57,-2243.2220384058173,6770.1259765625,600000
58,-2241.489099640538,7272.37744140625,600000
59,-2237.6094204275955,6957.81689453125,600000
60,-2246.0682638045796,6936.1123046875,600000
61,-2257.6512174524655,6412.0576171875,600000
62,-2259.089768993053,5987.189453125,600000
63,-2258.6380211654796,6338.7236328125,600000
64,-2242.584911734209,5747.10888671875,600000
65,-2287.5716560270694,6717.37060546875,600000
66,-2235.538524631782,5245.95703125,600000
67,-2252.561357468083,5704.1513671875,600000
68,-2285.9755754113444,5754.7587890625,600000
69,-2266.3467082612538,5723.55078125,600000
70,-2269.859685900859,5198.78662109375,600000
71,-2205.047369802043,5535.8818359375,600000
72,-2228.7474446698384,5096.7314453125,600000
73,-2249.672459641092,5185.98046875,600000
74,-2253.8206373298685,5501.35107421875,600000
75,-2271.343061847816,4512.958984375,600000
76,-2243.598630004286,4602.70068359375,600000
77,-2268.882575132114,5115.748046875,600000
78,-2253.593821536495,4817.87109375,600000
79,-2239.7111460553338,5072.6640625,600000
80,-2240.764411128087,5089.2060546875,600000
81,-2231.429152901845,5036.9736328125,600000
82,-2257.2589966343976,5202.39794921875,600000
83,-2265.043078099853,5169.4990234375,600000
84,-2259.9407029020554,4933.52880859375,600000
85,-2283.5739252708045,4816.18603515625,600000
86,-2268.0144637068183,4844.9248046875,600000
87,-2284.308874353048,4672.58740234375,600000
88,-2244.2061939064783,4284.20361328125,600000
89,-2257.5146573638513,4645.8505859375,600000
90,-2246.5162818066424,4550.12841796875,600000
91,-2252.2591595770964,4408.05859375,600000
92,-2252.1890438618716,4941.45654296875,600000
93,-2258.066819789077,4777.4501953125,600000
94,-2222.569211689356,4752.9912109375,600000
95,-2238.6724137486317,4565.783203125,600000
96,-2276.8061771892058,4392.39501953125,600000
97,-2246.9246603892175,4041.808837890625,600000
98,-2247.3962546477496,4459.84033203125,600000
99,-2242.57278815673,4389.11181640625,600000
100,-2241.8620123081314,4327.63037109375,600000
101,-2242.01946440803,4191.46728515625,600000
102,-2238.6886398031843,4244.19580078125,600000
103,-2254.6403298219575,4056.0673828125,600000
104,-2265.4797051869336,4110.58935546875,600000
105,-2247.561181837127,3931.757568359375,600000
106,-2280.910795275594,5283.162109375,600000
107,-2227.1243448783302,4465.2412109375,600000
108,-2250.62624621949,4079.236572265625,600000
109,-2225.14082582612,4473.04443359375,600000
110,-2248.084092695255,3779.8720703125,600000
111,-2217.4654169031796,4160.6005859375,600000
112,-2247.3523819309175,3886.802490234375,600000
113,-2269.1913119259743,3708.697509765625,600000
114,-2255.1221807469074,3978.194091796875,600000
115,-2255.7607412133902,4305.1484375,600000
116,-2281.3337007576715,3781.87744140625,600000
117,-2279.9224657302166,4239.47314453125,600000
118,-2245.8854513107626,3253.761962890625,600000
119,-2274.461094455431,4107.9560546875,600000
120,-2261.6327390155184,4198.92529296875,600000
121,-2286.9813934002873,4446.71240234375,600000
122,-2273.2250825688,3857.714599609375,600000
123,-2259.3739261553405,3482.362060546875,600000
124,-2235.309311987106,3859.058349609375,600000
125,-2282.1891264667415,3733.88427734375,600000
126,-2267.7461025858643,4139.9775390625,600000
127,-2235.5720874521458,3434.1474609375,600000
128,-2241.5746625615066,3948.538818359375,600000
129,-2254.6493149578314,3848.492431640625,600000
130,-2271.605761147658,3815.31005859375,600000
131,-2242.749120601777,4208.4775390625,600000
132,-2257.9385872066705,3922.206787109375,600000
133,-2268.3346936323883,3942.375,600000
134,-2263.8899605442184,3589.99365234375,600000
135,-2257.653690201726,3586.0654296875,600000
136,-2291.9020473022188,4065.589111328125,600000
137,-2247.5918153932926,3540.165771484375,600000
138,-2273.2960900423805,4028.905517578125,600000
139,-2247.4962810132843,3671.23876953125,600000
140,-2266.8364223373433,3973.896240234375,600000
141,-2255.010942162878,3593.313232421875,600000
142,-2259.29664898954,3868.385009765625,600000
143,-2230.1768646328565,3489.565185546875,600000
144,-2247.3570356787004,3355.379150390625,600000
145,-2278.0047629990204,4006.599609375,600000
146,-2270.6599960987464,3535.11669921875,600000
147,-2278.234596164882,4034.035888671875,600000
148,-2261.3324414123254,3360.06005859375,600000
149,-2259.127393134343,3649.06591796875,600000
150,-2254.697988594904,2935.6953125,600000
151,-2238.3269472864713,3852.686767578125,600000
152,-2244.071605724868,3192.93505859375,600000
153,-2242.6572571339207,3281.20947265625,600000
154,-2268.9449592695305,3392.831298828125,600000
155,-2260.743675672452,3310.895751953125,600000
156,-2243.771865270022,3178.19921875,600000
157,-2280.1218624705,3421.9658203125,600000
158,-2240.082527297284,3784.944091796875,600000
159,-2265.4122457245903,3511.129638671875,600000
160,-2237.3214421193456,3021.0576171875,600000
161,-2247.635218762314,3398.218017578125,600000
162,-2248.6043820377686,3458.063720703125,600000
163,-2233.6670278334673,3394.575927734375,600000
164,-2219.577553526819,3288.92919921875,600000
165,-2258.5182264998202,3438.06005859375,600000
166,-2231.2927120984277,2968.03125,600000
167,-2258.733942652465,3390.10693359375,600000
168,-2260.069252504763,3122.867919921875,600000
169,-2242.133228453775,3046.069091796875,600000
170,-2281.8000626994776,3249.921630859375,600000
171,-2248.0061925603895,3524.191162109375,600000
172,-2262.8170573703014,3005.291748046875,600000
173,-2255.448796003278,3252.889892578125,600000
174,-2266.5585565337287,3394.95947265625,600000
175,-2260.66428899962,2998.84228515625,600000
176,-2264.6224231063343,3411.85205078125,600000
177,-2209.436105540352,3017.092529296875,600000
178,-2258.977469821436,3235.2294921875,600000
179,-2259.8736773591877,3272.915771484375,600000
180,-2248.549624064166,3384.6708984375,600000
181,-2246.5071291899562,3172.951171875,600000
182,-2258.8498044288726,3318.919677734375,600000
183,-2266.7601205506744,3379.978515625,600000
184,-2248.2289846709505,2769.323974609375,600000
185,-2250.6314017815475,3266.888427734375,600000
186,-2248.300960903192,2937.54296875,600000
187,-2264.4037830705383,3180.041259765625,600000
188,-2246.9014731624216,2918.875732421875,600000
189,-2272.635793783329,3427.178955078125,600000
190,-2270.161623659046,3049.922607421875,600000
191,-2288.431313381056,2885.180908203125,600000
192,-2256.96851862209,3014.944580078125,600000
193,-2284.231919253074,3156.4482421875,600000
194,-2254.959558480648,3130.010009765625,600000
195,-2265.987092966102,2999.806640625,600000
196,-2285.2125125615235,2899.175537109375,600000
197,-2237.841319495632,3110.270751953125,600000
198,-2259.0505644772193,3242.783447265625,600000
199,-2270.575442606843,2846.252197265625,600000
200,-2225.4291441404503,2821.649169921875,600000
201,-2235.09498026187,2987.909912109375,600000
202,-2238.6039491240695,3097.20947265625,600000
203,-2254.615013272032,2838.7099609375,600000
204,-2275.066852105556,3048.67626953125,600000
205,-2244.2778365051236,2665.168701171875,600000
206,-2257.6594327720372,3015.464599609375,600000
207,-2286.805745030137,2786.513427734375,600000
208,-2275.7598971716498,3087.0517578125,600000
209,-2277.6279506079454,2736.28369140625,600000
210,-2233.3381352539086,3129.5859375,600000
211,-2272.874872984849,3075.086181640625,600000
212,-2253.5780794868133,3116.574951171875,600000
213,-2265.8215246001323,2717.45751953125,600000
214,-2266.217408126449,2680.67626953125,600000
215,-2259.4141970548676,2820.18896484375,600000
216,-2246.5679084341514,2796.800537109375,600000
217,-2253.8342962445568,2794.084228515625,600000
218,-2229.1788648877014,2688.31103515625,600000
219,-2264.1117726912726,2466.478759765625,600000
220,-2284.1216658305334,2564.96240234375,600000
221,-2274.7980521721233,2762.669189453125,600000
222,-2240.1789735740035,2905.57958984375,600000
223,-2246.469420483468,2640.279296875,600000
224,-2244.2190541256714,2612.696533203125,600000
225,-2240.357117579402,2860.846923828125,600000
226,-2251.6630139297818,2689.197509765625,600000
227,-2263.290388514978,2499.156494140625,600000
228,-2254.0493514773752,2598.74365234375,600000
229,-2272.104114708183,2427.91259765625,600000
230,-2258.243263414737,2574.832275390625,600000
231,-2243.4989190495903,2510.267822265625,600000
232,-2275.316768846257,2600.782470703125,600000
233,-2265.48450817744,2645.34912109375,600000
234,-2279.166490810632,2522.96044921875,600000
235,-2262.322057460332,2672.131591796875,600000
236,-2243.6554742927674,2788.74169921875,600000
237,-2220.5147585880277,2809.97802734375,600000
238,-2241.6800019013363,2591.310546875,600000
239,-2257.4076674344365,2557.859130859375,600000
240,-2238.5028512726944,2494.02294921875,600000
241,-2257.061175471828,2516.485107421875,600000
242,-2263.0950276813046,2711.404052734375,600000
243,-2248.763606051399,2480.6845703125,600000
244,-2269.8776099622523,2721.17236328125,600000
245,-2263.5270856575594,2545.971435546875,600000
246,-2252.1537331607356,2632.2890625,600000
247,-2242.0794859594803,2552.193359375,600000
248,-2255.1168786747057,2611.923828125,600000
249,-2242.55363538117,2762.88720703125,600000
