Algorithm,Geometry,Workload,Seed,Status,MeanDelay,MeanEnergy,Completed,Error
CoTOP,corridor_2400m,w20,42,SUCCESS,2.0691899424713336,3.8472302080975296,193,
DDQN,corridor_2400m,w20,42,SUCCESS,2.054425641464148,5.5292365892175,194,
CoTOP,corridor_2400m,w20,43,SUCCESS,2.0885961722133977,6.953622868294181,197,
DDQN,corridor_2400m,w20,43,SUCCESS,2.010068166772154,3.2987430825275923,197,
CoTOP,corridor_2400m,w20,44,SUCCESS,2.0100165564915193,7.898295710676502,198,
DDQN,corridor_2400m,w20,44,SUCCESS,1.9690100225936806,4.958890136292414,198,
CoTOP,corridor_2400m,w20,45,SUCCESS,1.966531049376072,7.636957061493929,195,
DDQN,corridor_2400m,w20,45,SUCCESS,1.9497005704358341,6.205820702136752,197,
CoTOP,corridor_2400m,w20,46,SUCCESS,2.0146088881250095,4.893763607086946,195,
DDQN,corridor_2400m,w20,46,SUCCESS,2.025479625148607,5.7821688413871195,196,
CoTOP,corridor_2400m,w30,42,SUCCESS,2.1150755224303475,8.126656654025314,299,
DDQN,corridor_2400m,w30,42,SUCCESS,2.0310304997681126,2.5534015015063516,299,
CoTOP,corridor_2400m,w30,43,SUCCESS,2.1315827569118535,7.639785907712091,294,
DDQN,corridor_2400m,w30,43,SUCCESS,2.0640973014477404,2.9261291168401007,295,
CoTOP,corridor_2400m,w30,44,SUCCESS,2.0614547808199615,8.23102744791549,296,
DDQN,corridor_2400m,w30,44,SUCCESS,1.9641123785371626,4.543278643330728,296,
CoTOP,corridor_2400m,w30,45,SUCCESS,1.975300350364665,6.929534987704571,292,
DDQN,corridor_2400m,w30,45,SUCCESS,1.9350483004787271,2.9161264527031774,295,
CoTOP,corridor_2400m,w30,46,SUCCESS,2.0262660505698795,1.3637807308404621,292,
DDQN,corridor_2400m,w30,46,SUCCESS,2.036259394013579,5.006951413764622,292,
CoTOP,corridor_2400m,w40,42,SUCCESS,2.100907265404109,4.150228334564739,395,
DDQN,corridor_2400m,w40,42,SUCCESS,2.0599817203407507,4.731987895160875,397,
CoTOP,corridor_2400m,w40,43,SUCCESS,2.070629671666795,6.766133680163481,395,
DDQN,corridor_2400m,w40,43,SUCCESS,2.0607528348362574,1.226864700193913,397,
CoTOP,corridor_2400m,w40,44,SUCCESS,2.044237306076519,5.58317457386554,393,
DDQN,corridor_2400m,w40,44,SUCCESS,2.064818600313639,6.851378163853701,395,
CoTOP,corridor_2400m,w40,45,SUCCESS,1.9696860760929789,6.5821291566065305,397,
DDQN,corridor_2400m,w40,45,SUCCESS,1.95268033829677,0.6380296854238797,398,
CoTOP,corridor_2400m,w40,46,SUCCESS,2.105108109344925,4.0287307281293,396,
DDQN,corridor_2400m,w40,46,SUCCESS,2.021236188567457,3.5263951163443834,397,
CoTOP,grid_200m,w20,42,SUCCESS,0.6595446399927812,0.9404945410358738,200,
DDQN,grid_200m,w20,42,SUCCESS,0.6516546574122138,3.0115304071739444,200,
CoTOP,grid_200m,w20,43,SUCCESS,0.6664811819956714,3.8090125251486056,200,
DDQN,grid_200m,w20,43,SUCCESS,0.6261020170604253,2.6458467556293193,200,
CoTOP,grid_200m,w20,44,SUCCESS,0.6411276350756004,3.5295498141462063,200,
DDQN,grid_200m,w20,44,SUCCESS,0.617657044103008,2.682382334987949,200,
CoTOP,grid_200m,w20,45,SUCCESS,0.6497425732343419,3.149750576239617,200,
DDQN,grid_200m,w20,45,SUCCESS,0.640349067285068,3.2411711725552976,200,
CoTOP,grid_200m,w20,46,SUCCESS,0.6357509498832262,1.8355941320347282,200,
DDQN,grid_200m,w20,46,SUCCESS,0.6404318069686369,2.627452322302564,200,
CoTOP,grid_200m,w30,42,SUCCESS,0.6819143847524503,3.3571637067063085,300,
DDQN,grid_200m,w30,42,SUCCESS,0.6512617189790983,2.2821771865471794,300,
CoTOP,grid_200m,w30,43,SUCCESS,0.6624111729895327,3.72400282486833,300,
DDQN,grid_200m,w30,43,SUCCESS,0.6484116477891962,3.3081759158050517,300,
CoTOP,grid_200m,w30,44,SUCCESS,0.673136878916691,3.5669645575623106,300,
DDQN,grid_200m,w30,44,SUCCESS,0.6293134097261366,2.559722414635851,300,
CoTOP,grid_200m,w30,45,SUCCESS,0.6439022006689968,2.103866984538284,300,
DDQN,grid_200m,w30,45,SUCCESS,0.6318947239714295,2.336361099653199,300,
CoTOP,grid_200m,w30,46,SUCCESS,0.6564226697453049,0.6363761338395937,300,
DDQN,grid_200m,w30,46,SUCCESS,0.6372744357103156,2.517482077855212,300,
CoTOP,grid_200m,w40,42,SUCCESS,0.6965172736706624,0.9608555372970449,400,
DDQN,grid_200m,w40,42,SUCCESS,0.6776418807143452,0.9646814293227893,400,
CoTOP,grid_200m,w40,43,SUCCESS,0.6609484411183081,3.4346889685064697,400,
DDQN,grid_200m,w40,43,SUCCESS,0.6544741795659569,2.920784566520928,400,
CoTOP,grid_200m,w40,44,SUCCESS,0.6582939495057575,1.2151619923486396,400,
DDQN,grid_200m,w40,44,SUCCESS,0.6455557467316893,1.0934748208995586,400,
CoTOP,grid_200m,w40,45,SUCCESS,0.6544656745429421,3.1365798786902666,400,
DDQN,grid_200m,w40,45,SUCCESS,0.6453076792844741,2.3226028844348927,400,
CoTOP,grid_200m,w40,46,SUCCESS,0.6743175337496972,2.723138004854528,400,
DDQN,grid_200m,w40,46,SUCCESS,0.6641629215563765,1.1540458747223818,400,
