config_name,seed,lr,hidden_size,num_layers,episodes,entropy_coeff,mean_delay,mean_energy,completion_ratio
Canonical_Baseline,42,0.0002,128,3,50,0.0,2.0721510009649275,4.319913206738253,0.965
Canonical_Baseline,43,0.0002,128,3,50,0.0,2.0390087849644734,5.19108389320872,0.985
Canonical_Baseline,44,0.0002,128,3,50,0.0,2.011336885711263,8.04266588013803,0.99
Canonical_Baseline,45,0.0002,128,3,50,0.0,1.9912849480252188,7.781240189186494,0.975
Canonical_Baseline,46,0.0002,128,3,50,0.0,1.9989723279115872,1.5087130327614175,0.975
LR_Low (5e-5),42,5e-05,128,3,50,0.0,2.072986495611288,4.173154274376697,0.965
LR_Low (5e-5),43,5e-05,128,3,50,0.0,2.0438662215677166,5.17872385077735,0.985
LR_Low (5e-5),44,5e-05,128,3,50,0.0,2.0189314235235223,8.0983808811048,0.99
LR_Low (5e-5),45,5e-05,128,3,50,0.0,1.9553368323327507,6.9786022519791775,0.975
LR_Low (5e-5),46,5e-05,128,3,50,0.0,1.9993379884573284,1.6044521475585258,0.975
LR_High (5e-4),42,0.0005,128,3,50,0.0,2.0726986944983654,3.9684070928274373,0.965
LR_High (5e-4),43,0.0005,128,3,50,0.0,2.053786815692902,4.295052675064366,0.98
LR_High (5e-4),44,0.0005,128,3,50,0.0,2.0345644362540174,8.177852946530036,0.99
LR_High (5e-4),45,0.0005,128,3,50,0.0,1.9857860661930318,7.7088636761590985,0.975
LR_High (5e-4),46,0.0005,128,3,50,0.0,2.004651908675045,0.4655254948681909,0.975
LR_VeryHigh (1e-3),42,0.001,128,3,50,0.0,2.0928563416757635,7.719945939337788,0.965
LR_VeryHigh (1e-3),43,0.001,128,3,50,0.0,2.09261543867409,7.697029661977642,0.985
LR_VeryHigh (1e-3),44,0.001,128,3,50,0.0,2.012703938555671,8.063091745681392,0.99
LR_VeryHigh (1e-3),45,0.001,128,3,50,0.0,1.9602094888855126,6.692461265768441,0.985
LR_VeryHigh (1e-3),46,0.001,128,3,50,0.0,2.00079619739104,1.9574076071104871,0.975
HiddenDim_Small (64),42,0.0002,64,3,50,0.0,2.106110912514908,8.517891176826328,0.965
HiddenDim_Small (64),43,0.0002,64,3,50,0.0,2.039097173529504,7.064021363270833,0.985
HiddenDim_Small (64),44,0.0002,64,3,50,0.0,1.980843867954983,5.7977542661898545,0.99
