Configuration,Mean_Delay (s),Delta_Delay (s),Cohen_dz_Delay,p_val_Delay,Mean_Energy (J),Delta_Energy (J),Cohen_dz_Energy,p_val_Energy,Mean_Completion
Canonical_Baseline,2.0226 ± 0.0331,+0.0000,+0.000,1.0000,5.3687 ± 2.6926,+0.0000,+0.000,1.0000,0.9780
LR_Low (5e-5),2.0181 ± 0.0446,-0.0045,-0.250,0.6063,5.2067 ± 2.5272,-0.1621,-0.438,0.3825,0.9780
LR_High (5e-4),2.0303 ± 0.0354,+0.0077,+0.679,0.2035,4.9231 ± 3.1436,-0.4456,-0.872,0.1231,0.9770
LR_VeryHigh (1e-3),2.0318 ± 0.0589,+0.0093,+0.300,0.5396,6.4260 ± 2.5500,+1.0573,+0.573,0.2696,0.9800
HiddenDim_Small (64),2.0364 ± 0.0656,+0.0139,+0.260,0.5928,6.9495 ± 1.1517,+1.5807,+0.433,0.3881,0.9800
HiddenDim_Large (256),2.0453 ± 0.0530,+0.0228,+0.505,0.3220,6.8053 ± 2.1252,+1.4366,+0.387,0.4353,0.9770
Depth_2Layers,2.0425 ± 0.0539,+0.0200,+0.356,0.4705,6.8240 ± 2.0063,+1.4553,+0.416,0.4049,0.9770
Depth_4Layers,2.0465 ± 0.0419,+0.0239,+0.539,0.2947,6.5733 ± 2.0358,+1.2046,+0.344,0.4842,0.9790
Episodes_25,2.0252 ± 0.0339,+0.0027,+0.312,0.5238,5.4277 ± 2.6301,+0.0590,+0.172,0.7195,0.9770
Episodes_100,2.0244 ± 0.0314,+0.0019,+0.589,0.2581,5.3675 ± 2.8025,-0.0013,-0.007,0.9887,0.9780
Entropy_0.01,2.0275 ± 0.0316,+0.0050,+0.746,0.1705,6.1577 ± 1.8983,+0.7890,+0.987,0.0919,0.9770
Entropy_0.05,2.0207 ± 0.0395,-0.0019,-0.138,0.7738,5.7295 ± 2.6745,+0.3608,+0.393,0.4287,0.9780
