Geometry,Workload,Metric,CoTOP_Mean_Std,DDQN_Mean_Std,Mean_Diff,Std_Diff,95%_CI_Diff,Cohen_dz,95%_CI_dz,p_ttest_raw,p_ttest_holm,p_wilcox_raw,p_wilcox_holm,Shapiro_p,Diff_Vector
corridor_2400m,w20,delay,2.0298 ± 0.0491,2.0017 ± 0.0424,+0.0281,0.0337,"[-0.0137, +0.0699]",+0.833,"[-0.608, +2.274]",0.1359,0.3537,0.1250,0.5000,0.7637,"[0.014764, 0.078528, 0.041007, 0.01683, -0.010871]"
corridor_2400m,w20,energy,6.2460 ± 1.7852,5.1550 ± 1.1316,+1.0910,2.3299,"[-1.8019, +3.9839]",+0.468,"[-0.840, +1.776]",0.3542,1.0000,0.4375,1.0000,0.5339,"[-1.682006, 3.65488, 2.939406, 1.431136, -0.888405]"
corridor_2400m,w20,completion_ratio,0.9780 ± 0.0097,0.9820 ± 0.0076,-0.0040,0.0042,"[-0.0092, +0.0012]",-0.956,"[-2.455, +0.543]",0.0993,0.4965,0.2500,1.0000,0.3140,"[-0.005, 0.0, 0.0, -0.01, -0.005]"
corridor_2400m,w30,delay,2.0619 ± 0.0641,2.0061 ± 0.0541,+0.0558,0.0425,"[+0.0030, +0.1086]",+1.313,"[-0.381, +3.007]",0.0426,0.1702,0.1250,0.5000,0.5820,"[0.084045, 0.067485, 0.097342, 0.040252, -0.009993]"
corridor_2400m,w30,energy,6.4582 ± 2.8939,3.5892 ± 1.1052,+2.8690,3.7116,"[-1.7396, +7.4776]",+0.773,"[-0.642, +2.188]",0.1590,0.7949,0.1250,0.7500,0.0225,"[5.573255, 4.713657, 3.687749, 4.013409, -3.643171]"
corridor_2400m,w30,completion_ratio,0.9820 ± 0.0099,0.9847 ± 0.0084,-0.0027,0.0043,"[-0.0081, +0.0027]",-0.614,"[-1.967, +0.740]",0.2420,0.9679,0.5000,1.0000,0.0214,"[0.0, -0.003333, 0.0, -0.01, 0.0]"
corridor_2400m,w40,delay,2.0581 ± 0.0552,2.0319 ± 0.0477,+0.0262,0.0390,"[-0.0222, +0.0746]",+0.672,"[-0.702, +2.047]",0.2071,0.3537,0.3125,0.5000,0.8923,"[0.040926, 0.009877, -0.020581, 0.017006, 0.083872]"
corridor_2400m,w40,energy,5.4221 ± 1.2978,3.3949 ± 2.5521,+2.0271,3.4521,"[-2.2592, +6.3135]",+0.587,"[-0.757, +1.932]",0.2594,1.0000,0.6250,1.0000,0.1275,"[-0.58176, 5.539269, -1.268204, 5.944099, 0.502336]"
corridor_2400m,w40,completion_ratio,0.9880 ± 0.0037,0.9920 ± 0.0027,-0.0040,0.0014,"[-0.0057, -0.0023]",-2.921,"[-5.771, -0.072]",0.0028,0.0170,0.0625,0.3750,0.0065,"[-0.005, -0.005, -0.005, -0.0025, -0.0025]"
grid_200m,w20,delay,0.6505 ± 0.0127,0.6352 ± 0.0134,+0.0153,0.0172,"[-0.0061, +0.0367]",+0.888,"[-0.578, +2.355]",0.1179,0.3537,0.1250,0.5000,0.8018,"[0.00789, 0.040379, 0.023471, 0.009394, -0.004681]"
grid_200m,w20,energy,2.6529 ± 1.2199,2.8417 ± 0.2730,-0.1888,1.3055,"[-1.8098, +1.4322]",-0.145,"[-1.393, +1.104]",0.7626,1.0000,1.0000,1.0000,0.7390,"[-2.071036, 1.163166, 0.847167, -0.091421, -0.791858]"
grid_200m,w20,completion_ratio,1.0000 ± 0.0000,1.0000 ± 0.0000,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,"[+0.000, +0.000]",1.0000,1.0000,1.0000,1.0000,1.0000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
grid_200m,w30,delay,0.6636 ± 0.0147,0.6396 ± 0.0098,+0.0239,0.0133,"[+0.0074, +0.0404]",+1.803,"[-0.209, +3.815]",0.0157,0.0786,0.0625,0.3750,0.4036,"[0.030653, 0.014, 0.043823, 0.012007, 0.019148]"
grid_200m,w30,energy,2.6777 ± 1.3080,2.6008 ± 0.4124,+0.0769,1.2151,"[-1.4319, +1.5857]",+0.063,"[-1.180, +1.306]",0.8943,1.0000,0.8125,1.0000,0.2578,"[1.074987, 0.415827, 1.007242, -0.232494, -1.881106]"
grid_200m,w30,completion_ratio,1.0000 ± 0.0000,1.0000 ± 0.0000,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,"[+0.000, +0.000]",1.0000,1.0000,1.0000,1.0000,1.0000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
grid_200m,w40,delay,0.6689 ± 0.0171,0.6574 ± 0.0137,+0.0115,0.0047,"[+0.0056, +0.0173]",+2.441,"[-0.036, +4.918]",0.0055,0.0329,0.0625,0.3750,0.6464,"[0.018875, 0.006474, 0.012738, 0.009158, 0.010155]"
grid_200m,w40,energy,2.2941 ± 1.1332,1.6911 ± 0.8781,+0.6030,0.6296,"[-0.1788, +1.3847]",+0.958,"[-0.542, +2.457]",0.0989,0.5936,0.1250,0.7500,0.5772,"[-0.003826, 0.513904, 0.121687, 0.813977, 1.569092]"
grid_200m,w40,completion_ratio,1.0000 ± 0.0000,1.0000 ± 0.0000,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,"[+0.000, +0.000]",1.0000,1.0000,1.0000,1.0000,1.0000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
