Geometry,Workload,Diagnostic_Metric,CoTOP_Mean,DDQN_Mean,Mean_Delta (CoTOP - DDQN)
corridor_2400m,w20,Comm Delay (s),1.9869221903321574,1.9760121701239821,0.01091002020817533
corridor_2400m,w20,Comp Delay (s),0.005050116274730082,0.005123787325460544,-7.367105073046235e-05
corridor_2400m,w20,Wait Delay (s),0.03781621512857885,0.020600847833442064,0.017215367295136785
corridor_2400m,w20,Queue Backlog (cycles),25370214.349702574,25604533.617067788,-234319.26736521348
corridor_2400m,w20,Fail Deadline Ratio,0.0,0.0,0.0
corridor_2400m,w20,Fail Coverage Ratio,0.022000000000000002,0.018000000000000002,0.004
corridor_2400m,w20,Fail Dual Ratio,0.0,0.0,0.0
corridor_2400m,w20,Fail Departure Ratio,0.0,0.0,0.0
corridor_2400m,w30,Comm Delay (s),1.9883570224838951,1.959667225283789,0.028689797200106115
corridor_2400m,w30,Comp Delay (s),0.005041346448754336,0.005251843021077668,-0.00021049657232333208
corridor_2400m,w30,Wait Delay (s),0.06853752328669219,0.04119050654419758,0.02734701674249461
corridor_2400m,w30,Queue Backlog (cycles),28265905.64141955,58695567.66286057,-30429662.021441024
corridor_2400m,w30,Fail Deadline Ratio,0.0,0.0,0.0
corridor_2400m,w30,Fail Coverage Ratio,0.018000000000000002,0.015333333333333334,0.002666666666666668
corridor_2400m,w30,Fail Dual Ratio,0.0,0.0,0.0
corridor_2400m,w30,Fail Departure Ratio,0.0,0.0,0.0
corridor_2400m,w40,Comm Delay (s),1.9787550595280554,1.9584835777033498,0.020271481824705617
corridor_2400m,w40,Comp Delay (s),0.005152831953235805,0.005218311582175688,-6.547962893988304e-05
corridor_2400m,w40,Wait Delay (s),0.07420579423577414,0.06819204718544933,0.006013747050324814
corridor_2400m,w40,Queue Backlog (cycles),68928494.35947827,75604089.19695255,-6675594.837474287
corridor_2400m,w40,Fail Deadline Ratio,0.0,0.0,0.0
corridor_2400m,w40,Fail Coverage Ratio,0.012,0.008,0.004
corridor_2400m,w40,Fail Dual Ratio,0.0,0.0,0.0
corridor_2400m,w40,Fail Departure Ratio,0.0,0.0,0.0
grid_200m,w20,Comm Delay (s),0.6158852648540616,0.6177732276621495,-0.0018879628080878952
grid_200m,w20,Comp Delay (s),0.004719267413069342,0.004676221410299064,4.304600277027764e-05
grid_200m,w20,Wait Delay (s),0.029924863769193365,0.012789469493421834,0.01713539427577153
grid_200m,w20,Queue Backlog (cycles),25385542.79108741,22117379.34946261,3268163.4416248016
grid_200m,w20,Fail Deadline Ratio,0.0,0.0,0.0
grid_200m,w20,Fail Coverage Ratio,0.0,0.0,0.0
grid_200m,w20,Fail Dual Ratio,0.0,0.0,0.0
grid_200m,w20,Fail Departure Ratio,0.0,0.0,0.0
grid_200m,w30,Comm Delay (s),0.6110190393523492,0.6102501283263126,0.0007689110260366006
grid_200m,w30,Comp Delay (s),0.004744033184720335,0.004732651355801648,1.1381828918687574e-05
grid_200m,w30,Wait Delay (s),0.04779438887752553,0.024648407553120994,0.023145981324404537
grid_200m,w30,Queue Backlog (cycles),35147006.340874895,36087939.742968395,-940933.4020934999
grid_200m,w30,Fail Deadline Ratio,0.0,0.0,0.0
grid_200m,w30,Fail Coverage Ratio,0.0,0.0,0.0
grid_200m,w30,Fail Dual Ratio,0.0,0.0,0.0
grid_200m,w30,Fail Departure Ratio,0.0,0.0,0.0
grid_200m,w40,Comm Delay (s),0.6079457506956135,0.6019160810840208,0.006029669611592681
grid_200m,w40,Comp Delay (s),0.004765720483757436,0.004945784207791877,-0.00018006372403444118
grid_200m,w40,Wait Delay (s),0.056197103338102336,0.05056661627875566,0.005630487059346677
grid_200m,w40,Queue Backlog (cycles),56936498.32955158,77494895.36821699,-20558397.038665414
grid_200m,w40,Fail Deadline Ratio,0.0,0.0,0.0
grid_200m,w40,Fail Coverage Ratio,0.0,0.0,0.0
grid_200m,w40,Fail Dual Ratio,0.0,0.0,0.0
grid_200m,w40,Fail Departure Ratio,0.0,0.0,0.0
