algorithm,geometry,workload,metric,aggregation_level,n,mean,std,median,iqr,min,max,ci_95_low,ci_95_high,cv
CoTOP,corridor_2400m,w20,delay,per_task_mean,5,0.67982,0.009250783750580268,0.6773,0.0045999999999999375,0.6728,0.6958,0.668333634861736,0.6913063651382639,0.013607695787973682
CoTOP,corridor_2400m,w20,energy,per_task_mean,5,0.14442000000000002,0.005206438321924117,0.1428,0.003500000000000003,0.1389,0.1527,0.13795535297679842,0.15088464702320162,0.03605067388120839
CoTOP,corridor_2400m,w20,completion_ratio,per_task_mean,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
CoTOP,corridor_2400m,w30,delay,per_task_mean,5,0.6878,0.013006729027699487,0.688,0.011199999999999988,0.6718,0.7066,0.6716500128319136,0.7039499871680863,0.018910626675922488
CoTOP,corridor_2400m,w30,energy,per_task_mean,5,1.5889600000000002,1.3266034837132006,2.3812,2.4591,0.1377,2.6794,-0.058235785618374614,3.236155785618375,0.8348879038573661
CoTOP,corridor_2400m,w30,completion_ratio,per_task_mean,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
CoTOP,corridor_2400m,w40,delay,per_task_mean,5,0.6878,0.014778531726798848,0.6832,0.020100000000000007,0.6687,0.7038,0.6694500292085217,0.7061499707914782,0.021486670146552558
CoTOP,corridor_2400m,w40,energy,per_task_mean,5,1.29366,1.1921460703286322,1.1396,2.2641,0.1433,2.6257,-0.18658485612715503,2.773904856127155,0.9215296680183604
CoTOP,corridor_2400m,w40,completion_ratio,per_task_mean,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
CoTOP,grid_200m,w20,delay,per_task_mean,5,0.25676,0.013634808396160178,0.2619,0.017600000000000005,0.2361,0.268,0.2398301492920815,0.2736898507079185,0.053103319816794586
CoTOP,grid_200m,w20,energy,per_task_mean,5,0.1396,0.002403122968139578,0.1404,0.0030999999999999917,0.1363,0.1422,0.13661612872720452,0.14258387127279548,0.0172143479093093
CoTOP,grid_200m,w20,completion_ratio,per_task_mean,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
