comparison,geometry,workload,metric,raw_p_value,holm_bonferroni_p,benjamini_hochberg_q,alpha,significant_raw,significant_holm,significant_fdr
CoTOP_vs_DDQN_corridor_2400m_w20_delay,corridor_2400m,w20,delay,0.20385803293309993,0.8154321317323997,0.24693600902018345,0.05,False,False,False
CoTOP_vs_DDQN_corridor_2400m_w20_energy,corridor_2400m,w20,energy,0.20578000751681955,0.8154321317323997,0.24693600902018345,0.05,False,False,False
CoTOP_vs_DDQN_corridor_2400m_w30_delay,corridor_2400m,w30,delay,0.09252094857589079,0.739181335837985,0.16120984017301065,0.05,False,False,False
CoTOP_vs_DDQN_corridor_2400m_w30_energy,corridor_2400m,w30,energy,0.09239766697974812,0.739181335837985,0.16120984017301065,0.05,False,False,False
CoTOP_vs_DDQN_corridor_2400m_w40_delay,corridor_2400m,w40,delay,0.10645140214768269,0.739181335837985,0.16120984017301065,0.05,False,False,False
CoTOP_vs_DDQN_corridor_2400m_w40_energy,corridor_2400m,w40,energy,0.1074732267820071,0.739181335837985,0.16120984017301065,0.05,False,False,False
CoTOP_vs_DDQN_grid_200m_w20_delay,grid_200m,w20,delay,1.0,1.0,1.0,0.05,False,False,False
CoTOP_vs_DDQN_grid_200m_w20_energy,grid_200m,w20,energy,1.0,1.0,1.0,0.05,False,False,False
CoTOP_vs_DDQN_grid_200m_w30_delay,grid_200m,w30,delay,0.01622599988253342,0.19465167603844497,0.04944073591794153,0.05,True,False,True
CoTOP_vs_DDQN_grid_200m_w30_energy,grid_200m,w30,energy,0.016220973003203746,0.19465167603844497,0.04944073591794153,0.05,True,False,True
CoTOP_vs_DDQN_grid_200m_w40_delay,grid_200m,w40,delay,0.01645508825164433,0.19465167603844497,0.04944073591794153,0.05,True,False,True
CoTOP_vs_DDQN_grid_200m_w40_energy,grid_200m,w40,energy,0.01648024530598051,0.19465167603844497,0.04944073591794153,0.05,True,False,True
