condition_id,geometry,workload,metric,n_pairs,mean_cotop,mean_ddqn,mean_diff,std_diff,sem,t_stat,p_value_ttest,w_stat,p_value_wilcoxon,cohens_dz,cohens_dz_ci_low,cohens_dz_ci_high,cles
corridor_2400m_w20_delay,corridor_2400m,w20,delay,5,0.67982,0.6806599999999999,-0.0008399999999999963,0.0012381437719425053,0.0005537147279962877,-1.5170266520446032,0.20385803293309993,0.0,0.125,-0.6784349435301305,-2.055583614398773,0.698713727338512,0.1
corridor_2400m_w20_energy,corridor_2400m,w20,energy,5,0.14442000000000002,0.23193999999999998,-0.08752,0.129681887709888,0.057995503273960816,-1.5090825160456063,0.20578000751681955,0.0,0.125,-0.6748822179068786,-2.050684591548294,0.7009201557345365,0.1
corridor_2400m_w30_delay,corridor_2400m,w30,delay,5,0.6878,0.675,0.012799999999999968,0.013002307487519276,0.00581480868128952,2.2012762072786507,0.09252094857589079,1.0,0.25,0.9844406473455961,-0.528434937497987,2.497316232189179,0.7
corridor_2400m_w30_energy,corridor_2400m,w30,energy,5,1.5889600000000002,0.25172,1.33724,1.357637640535942,0.6071540106101581,2.2024724808391594,0.09239766697974812,1.0,0.25,0.9849756371457925,-0.5281683520020857,2.4981196262936707,0.7
corridor_2400m_w40_delay,corridor_2400m,w40,delay,5,0.6878,0.6772,0.010599999999999988,0.011414902540100818,0.005104899607240089,2.0764365248175305,0.10645140214768269,1.0,0.25,0.9286106440910855,-0.5568050612876876,2.4140263494698586,0.7
corridor_2400m_w40_energy,corridor_2400m,w40,energy,5,1.29366,0.19125999999999999,1.1024,1.1919920322720283,0.5330750425596756,2.068001523212542,0.1074732267820071,1.0,0.25,0.9248383966952707,-0.558762016890129,2.4084388102806704,0.7
grid_200m_w20_delay,grid_200m,w20,delay,5,0.25676,0.25676,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
grid_200m_w20_energy,grid_200m,w20,energy,5,0.1396,0.1396,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
grid_200m_w30_delay,grid_200m,w30,delay,5,0.28365999999999997,0.26954,0.014119999999999999,0.007907401595973232,0.0035362974987972946,3.9928767318932445,0.01622599988253342,0.0,0.125,1.7856687596580996,-0.21426092921623452,3.7855984485324337,0.9
grid_200m_w30_energy,grid_200m,w30,energy,5,1.65368,0.13966,1.51402,0.8477938116075158,0.3791449187316111,3.993248821756579,0.016220973003203746,0.0,0.125,1.7858351633037304,-0.21420905971919457,3.7858793863266555,0.9
grid_200m_w40_delay,grid_200m,w40,delay,5,0.28344,0.2705,0.012939999999999997,0.007277224745739269,0.0032544738438033253,3.976065140187984,0.01645508825164433,0.0,0.125,1.7781503872855127,-0.21660877574269222,3.7729095503137176,0.9
grid_200m_w40_energy,grid_200m,w40,energy,5,1.52904,0.13921999999999998,1.3898199999999998,0.7819696362391573,0.3497074525943077,3.974236149929343,0.01648024530598051,0.0,0.125,1.7773324379758115,-0.2168647152668659,3.771529591218489,0.9
