run_id,algorithm,scenario,workload,seed,checkpoint_sha256
corridor_2400m_DDQN_w20_seed42,DDQN,corridor_2400m,w20,42,de20ba23342bb0ae73c8d3f178fd38b46f4b14e100371a0925090f674a656827
corridor_2400m_DDQN_w20_seed43,DDQN,corridor_2400m,w20,43,72d303cc45b87f6f977aaefe0ce39f7ea88480788659d53d8c4e79d0fe715f81
corridor_2400m_DDQN_w20_seed44,DDQN,corridor_2400m,w20,44,2e333f94fcf21dd963780b5b64b92544b0dd1cfe46a56a6d2f91d76702be8767
corridor_2400m_DDQN_w20_seed45,DDQN,corridor_2400m,w20,45,f176c0ff7ee00bcef65f53d1676e94ee7e2a7701fe11d01c16252d5655b11c6b
corridor_2400m_DDQN_w20_seed46,DDQN,corridor_2400m,w20,46,8597ebddba8abbdac22b529d924d9eb734f59acde10870b8f33ba523c4f05728
grid_200m_DDQN_w20_seed42,DDQN,grid_200m,w20,42,2c78ef50523fcc49280ad9b6574f4feea7fcd7315a7217488c1d6176748afd1a
grid_200m_DDQN_w20_seed43,DDQN,grid_200m,w20,43,72d303cc45b87f6f977aaefe0ce39f7ea88480788659d53d8c4e79d0fe715f81
grid_200m_DDQN_w20_seed44,DDQN,grid_200m,w20,44,2e333f94fcf21dd963780b5b64b92544b0dd1cfe46a56a6d2f91d76702be8767
grid_200m_DDQN_w20_seed45,DDQN,grid_200m,w20,45,f176c0ff7ee00bcef65f53d1676e94ee7e2a7701fe11d01c16252d5655b11c6b
grid_200m_DDQN_w20_seed46,DDQN,grid_200m,w20,46,8597ebddba8abbdac22b529d924d9eb734f59acde10870b8f33ba523c4f05728
