algorithm,scenario,workload,n_seeds,mean_reward,std_reward,mean_completion
CoTOP,corridor_2400m,w20,10,-1102.8635455596218,183.77279091120386,0.983
CoTOP,corridor_2400m,w30,10,-1539.3858103556458,497.08666221768493,0.9826666666666666
CoTOP,corridor_2400m,w40,10,-2008.821641878599,657.5036003966886,0.9865
CoTOP,grid_200m,w20,10,-325.00208236202053,122.7752837170805,1.0
CoTOP,grid_200m,w30,10,-431.9509128680578,183.65951406015662,1.0
CoTOP,grid_200m,w40,10,-636.0666048124973,238.4856480717149,1.0
DDQN,corridor_2400m,w20,10,-904.2330892968002,373.42844239562737,0.985
DDQN,corridor_2400m,w30,10,-1539.3858103556458,497.08666221768493,0.9826666666666666
DDQN,corridor_2400m,w40,10,-2008.821641878599,657.5036003966886,0.9865
DDQN,grid_200m,w20,10,-265.65562332474667,144.30038034646296,1.0
DDQN,grid_200m,w30,10,-431.9509128680578,183.65951406015662,1.0
DDQN,grid_200m,w40,10,-636.0666048124973,238.4856480717149,1.0
Greedy,corridor_2400m,w20,10,-1215.8137613776896,204.02294839310093,0.983
Greedy,corridor_2400m,w30,10,-1802.1844606848383,248.77356435412952,0.984
Greedy,corridor_2400m,w40,10,-2302.904681768703,253.88532622367444,0.98675
Greedy,grid_200m,w20,10,-376.2687929386099,11.55460807654373,1.0
Greedy,grid_200m,w30,10,-565.8926758584322,7.245727286775567,1.0
Greedy,grid_200m,w40,10,-757.0171224312987,10.89838772127406,1.0
Local,corridor_2400m,w20,10,-516.6512045184005,208.13848232479145,0.985
Local,corridor_2400m,w30,10,-769.3661011102367,197.25977217019897,0.9853333333333334
Local,corridor_2400m,w40,10,-918.9131099913827,294.9408139063474,0.9882500000000001
Local,grid_200m,w20,10,-93.14912009310126,1.8866858578365002,1.0
Local,grid_200m,w30,10,-143.22197606950138,2.043045056724531,1.0
Local,grid_200m,w40,10,-196.3402392928561,2.439189802210955,1.0
