algorithm,scenario,workload,num_runs,delay_mean_s,delay_median_s,delay_std_s,delay_p5_s,delay_p25_s,delay_p75_s,delay_p95_s,delay_min_s,delay_max_s,delay_ci95_s,energy_mean_j,energy_median_j,energy_std_j,energy_p5_j,energy_p25_j,energy_p75_j,energy_p95_j,energy_min_j,energy_max_j,energy_ci95_j,total_tasks,completed_tasks,failed_tasks,completion_ratio,coverage_failures,deadline_failures
CoTOP,corridor_2400m,20,10,2.0078354686565105,2.0155393117517573,0.06467187374594359,1.9057288767900555,1.977402426154934,2.0581116649056783,2.080779053703216,1.881505561406524,2.0885961722133977,0.04626347150622367,5.490217500368689,5.078347934351472,1.484873517183675,3.9224032535505944,4.368621787337214,6.542155587478662,7.780693318544343,3.8472302080975296,7.898295710676502,1.0622145250102923,2000,1966,34,0.983,34,0
CoTOP,corridor_2400m,30,10,2.055578007916136,2.053345875492946,0.06383395749356781,1.9782733131323602,1.9988636421464516,2.1049956233562273,2.144171445417002,1.975300350364665,2.1544712814666696,0.045664062328461597,7.202901965452641,7.937122919027413,2.085459960389986,3.868370146429311,7.658311013652932,8.082010563320775,8.184060590664911,1.363780730840462,8.23102744791549,1.4918481847902854,3000,2949,51,0.983,51,0
CoTOP,corridor_2400m,40,10,2.0479283434503373,2.0507688353620717,0.05704083070801097,1.9710847145304182,2.0018424519240474,2.0933378669697804,2.1210006598342477,1.9696860760929789,2.1340036556891477,0.0408045521692792,5.09798604552329,4.978634002138637,0.9714898921198798,4.083404651025248,4.309592963956948,5.497280977053636,6.683331644562853,4.0287307281293,6.766133680163481,0.694962003408652,4000,3938,62,0.9845,62,0
CoTOP,grid_200m,20,10,0.6474817863597291,0.6477167179110315,0.012432178086608436,0.6319777800603268,0.6370951211813198,0.6570941233031714,0.6646648603148345,0.630461388604193,0.6664811819956714,0.008893444450512508,1.7949075159719239,0.9680924486390612,1.2165028752578722,0.9022365238025233,0.9395534598820938,2.821211465188395,3.6832543051975257,0.8807451535015925,3.8090125251486056,0.8702337329488888,2000,2000,0,1.0,0,0
CoTOP,grid_200m,30,10,0.6695601711731599,0.6708117323557642,0.013480959673455712,0.6495364117533355,0.6627632470534192,0.6787187879510665,0.686266655368374,0.6439022006689968,0.6898276040541297,0.00964369760151858,3.0021741011429732,3.3362833137226557,0.9375550395331339,1.2967470166540043,3.269743668849726,3.400420346162675,3.6533356045806213,0.6363761338395937,3.72400282486833,0.6706864722576269,3000,3000,0,1.0,0,0
CoTOP,grid_200m,40,10,0.6794147329550104,0.6830692894077863,0.016871716088758024,0.656188398276209,0.6642907142761554,0.6905424241654194,0.7003279155073112,0.6544656745429421,0.7034457133736602,0.012069298619669424,1.624881719925991,0.9875612129334317,1.0338516077647861,0.9193506608403373,0.9614589379484338,2.3461440017280557,3.300539878089178,0.9135009753326436,3.4346889685064697,0.7395728873634145,4000,4000,0,1.0,0,0
DDQN,corridor_2400m,20,10,1.9810325188756912,1.9976263540165045,0.06356781439091184,1.8767573692053294,1.9545279334752956,2.0216267605544935,2.051653696071192,1.8560215803197293,2.054425641464148,0.045473675022000185,5.720460512253178,6.052142359737668,0.9774545678257741,4.045809256721762,5.592469652259905,6.300801817263853,6.499597720194644,3.2987430825275923,6.638190061687408,0.6992288753667389,2000,1971,29,0.9855,29,0
DDQN,corridor_2400m,30,10,1.9853153192171207,1.9810321017444543,0.058956494515440695,1.904916109771143,1.942314319993336,2.0349521704522124,2.057924467235861,1.903435597141072,2.0640973014477404,0.04217493550344212,3.637374341423512,3.6236382147324697,0.7539912738252251,2.7166277295449235,3.055774614841529,3.9648750813677425,4.7982986670693695,2.553401501506352,5.006951413764622,0.5393728647724932,3000,2954,46,0.9846666666666667,46,0
DDQN,corridor_2400m,40,10,2.0089955682330984,2.018211024,0.057381718130707915,1.9275157147585908,1.9612658487307575,2.0605600562123807,2.069436524652401,1.9273739440156248,2.0732148263841155,0.041048408341264005,4.324563719697695,4.972279890270771,1.9715955982038025,0.9030054420703948,3.8277933110485063,5.433390480751818,6.259163671941832,0.6380296854238797,6.851378163853701,1.410394526956454,4000,3951,49,0.98775,49,0
DDQN,grid_200m,20,10,0.6337431116110058,0.6343873554505963,0.012424075947568752,0.6186831434280577,0.6223949958214043,0.6404111220477446,0.6515244130423165,0.617657044103008,0.6516546574122138,0.008887648529397336,2.988965145380546,3.0861249710788856,0.24175628594292622,2.635729817299604,2.764669353034448,3.1730385304517594,3.2181366115946988,2.627452322302564,3.2411711725552976,0.172942028711091,2000,2000,0,1.0,0,0
