task_id,vehicle_id,task_size_mb,task_cpu_gcycles,deadline_s,primary_rsu,local_action,collab_action,local_case,collab_case,local_secondary_rsu,collab_secondary_rsu,local_delay_s,collab_delay_s,delay_diff_s,local_energy_j,collab_energy_j,energy_diff_j,local_completed,collab_completed,local_fail_reason,collab_fail_reason
3,veh_0,4676538.703114536,4797296.3771674335,20.86938832629416,0,0,2,1,2,NONE,1,5.815793023395388,5.85366588621377,0.0378728628183822,0.2979747761285539,4.325125876825093,4.027151100696539,True,True,NONE,NONE
7,veh_0,4428291.37003348,8252373.266495271,20.06498759678061,0,0,2,1,2,NONE,1,5.515577043600474,5.547185964526582,0.03160892092610812,0.46764393706433166,4.281019511858232,3.8133755747939,True,True,NONE,NONE
9,veh_0,4871639.216620344,1834712.590421331,23.36594545112627,0,0,2,1,2,NONE,1,6.068309034210471,6.102818441228056,0.03450940701758487,0.15226987604083042,4.347429689503524,4.195159813462693,True,True,NONE,NONE
12,veh_0,4919347.291938111,5968365.681459043,23.785343772083536,0,0,2,1,2,NONE,1,6.133558727261502,6.165494784407409,0.03193605714590664,0.3595453438664118,4.595788454234166,4.236243110367754,True,True,NONE,NONE
20,veh_0,4187380.3938510474,4415098.97581883,21.634024937619284,0,0,2,1,2,NONE,1,5.2284429130707215,5.251868166363814,0.02342525329309275,0.2727866994527351,3.878704373330124,3.605917673877389,True,True,NONE,NONE
1,veh_0,3918280.3953736513,3475263.8653220735,20.25010755222667,0,0,2,1,2,NONE,1,4.897538619625566,4.916908915237482,0.019370295611915722,0.22245114835479246,3.5966362473806277,3.3741850990258353,True,True,NONE,NONE
8,veh_0,4094418.1849646806,2399315.498306034,23.402505165179917,0,0,2,1,2,NONE,1,5.118804068317261,5.138491497846377,0.01968742952911562,0.1708423913359244,3.6967066569969798,3.5258642656610553,True,True,NONE,NONE
13,veh_0,4488213.992758985,8755362.102796994,26.18519752364246,0,0,2,1,2,NONE,1,5.616884100156326,5.6355849789581685,0.01870087880184279,0.4935379682578351,4.3585152663315885,3.8649772980737533,True,True,NONE,NONE
17,veh_0,3907053.3327932004,4331628.7040519435,23.648321789700844,0,0,2,1,2,NONE,1,4.899074349056735,4.9106048108719085,0.011530461815173254,0.2651298845225461,3.629646919131777,3.364517034609231,True,True,NONE,NONE
6,veh_0,3634824.44180965,6303391.154883179,22.204406220406966,0,0,2,1,2,NONE,1,4.567110268753984,4.573144765121275,0.00603449636729092,0.3603353323495316,3.490425379914761,3.1300900475652296,True,True,NONE,NONE
