task_index,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,5,2,5.883663047159855,7.324841971433558,5.881264398971271,0.0023986481885837165,0.0,True,NONE
1,0,1,5.513178395411891,0.46764393706433166,5.502527373956811,0.00825237326649527,0.0023986481885837165,True,NONE
2,2,2,6.096293606406225,4.347429689503524,6.0953762501110145,0.0009173562952106655,0.0,True,NONE
3,0,1,6.130242722777708,0.3595453438664118,6.11270597934596,0.0059683656814590435,0.011568377750289653,True,NONE
4,1,1,5.225126908586927,0.2727866994527351,5.20317506617936,0.0044150989758188295,0.017536743431748696,True,NONE
5,6,2,4.937221036068043,6.891240675004838,4.935483404135383,0.0017376319326610366,0.0,True,NONE
6,5,2,5.152781801349852,6.323027726320401,5.149183495412116,0.001199657749153017,0.0023986481885837165,True,NONE
7,5,2,5.652401243856646,7.23743247515519,5.644425256867511,0.004377681051398497,0.0035983059377367337,True,NONE
8,1,1,4.888443373839729,0.2651298845225461,4.854844931994896,0.004331628704051943,0.029266813140780078,True,NONE
9,1,1,4.556479293536977,0.3603353323495316,4.5165774605372615,0.0063033911548831785,0.03359844184483202,True,NONE
10,0,1,5.539673285736724,0.34624209515375454,5.493945399913916,0.005826052823092307,0.03990183299971519,True,NONE
11,5,2,4.9693956129442,6.102350943284383,4.960149502038174,0.0012701239168914366,0.007975986989135231,True,NONE
12,5,2,4.703425858236134,5.724703245490095,4.693473537603657,0.0007062097264504799,0.009246110906026667,True,NONE
13,1,1,3.404162727743743,0.2086176888580375,3.352956745849603,0.0035017624279908293,0.04770421946614941,True,NONE
14,1,1,3.387642405007781,0.11925357256884564,3.3347182953213284,0.0017181277923126474,0.051205981894140246,True,NONE
15,1,1,3.3285142544222954,0.5041561670050866,3.2661602534464302,0.009429891289412446,0.052924109686452885,True,NONE
16,1,1,3.3866886036805908,0.3876872124134893,3.317244307317919,0.0070902953868062025,0.06235400097586533,True,NONE
17,0,1,2.660382353079296,0.3682888879685516,2.5840890967766086,0.006848959940015709,0.06944429636267153,True,NONE
18,2,2,2.617930261573683,2.1026295385508313,2.6142388064820072,0.0027740987964651304,0.0009173562952106655,True,NONE
19,3,2,2.874029308597813,2.8609468914041094,2.870812541456662,0.0032167671411510094,0.0,True,NONE
20,0,1,3.4628291777170115,0.4088782455255153,3.4553426813427697,0.007486496374241752,0.0,True,NONE
21,0,1,3.504990653430884,0.3798534514733859,3.4906052090689883,0.00689894798765392,0.007486496374241752,True,NONE
22,0,1,3.7856336553826493,0.5246003549823505,3.7615085056222313,0.009739705398522563,0.014385444361895672,True,NONE
23,0,1,3.7767203413469272,0.3380932111375162,3.7465826438925376,0.006012547693971817,0.024125149760418237,True,NONE
24,0,1,2.9931278955068135,0.2752251359090612,2.9580773107964013,0.004912887256021944,0.03013769745439005,True,NONE
25,5,2,2.7144796088919656,5.3997771275487105,2.7137675852025542,0.0007120236894113056,0.0,True,NONE
26,0,1,3.612080570416038,0.22002647574081655,3.5726319588931768,0.0036860031230376957,0.0357626083998233,True,NONE
27,1,1,3.093107524735892,0.20057391034367883,3.050257486503458,0.003401426709572885,0.039448611522861,True,NONE
28,5,2,2.515121207073782,5.154502731491455,2.512191896595091,0.0022172867892794154,0.0007120236894113056,True,NONE
29,1,1,3.0009680170267963,0.14831292223321701,2.953525138588136,0.002375553416946713,0.0450673250217133,True,NONE
30,5,2,2.46759842848634,5.328557474580312,2.4596801987784214,0.0049889192292279965,0.0029293104786907212,True,NONE
31,1,1,3.1172423567605296,0.4297682257946974,3.056826559888725,0.007983999203916204,0.05243179766788802,True,NONE
32,5,2,2.076472840423967,4.249861976932979,2.066635071999783,0.0019195387162658686,0.007918229707918717,True,NONE
33,1,1,2.1856098232789787,0.49544725445339344,2.113788300261893,0.00948618742901549,0.06233533558807009,True,NONE
34,0,1,2.1851907265840764,0.3236888292770131,2.1073168903595225,0.006052313207468357,0.07182152301708558,True,NONE
35,1,1,2.621269510589939,0.4694789531492072,2.5345129979019814,0.008882676463403747,0.07787383622455395,True,NONE
36,1,1,2.1933081133179817,0.15143278357561163,2.1039437337052527,0.0026078669247711823,0.08675651268795768,True,NONE
37,0,1,2.4975935305829013,0.28051432850729824,2.403099484296886,0.0051296666732865885,0.08936437961272886,True,NONE
38,1,1,2.2060535618428405,0.4750450887171587,2.1024791096044027,0.009080405952422294,0.09449404628601545,True,NONE
39,3,2,1.785755820088739,2.9773470375623985,1.7816914629491056,0.004064357139633339,0.0,True,NONE
40,0,1,1.7245962935613979,0.28107025766601423,1.7193187521585094,0.005277541402888582,0.0,True,NONE
41,2,2,1.8473630567633146,7.728073382344594,1.8454906794352552,0.0018723773280594099,0.0,True,NONE
42,1,1,1.805129528055256,0.0940496315239236,1.7983306601539197,0.0015213264984476878,0.005277541402888582,True,NONE
43,0,1,1.6868310783681675,0.20703459872385396,1.6762267638451231,0.0038054466217080545,0.00679886790133627,True,NONE
44,0,1,2.0100946956085144,0.26709051256482924,1.9945474803302394,0.004942900755230537,0.010604314523044323,True,NONE
45,5,2,1.5485240985083562,11.001940326600046,1.5446066939953143,0.003917404513042058,0.0,True,NONE
46,5,2,1.8561017960207824,13.302244474370521,1.8441767532000652,0.008007638307675025,0.003917404513042058,True,NONE
47,0,1,1.439922924351554,0.16532733599460075,1.4213534330399948,0.003022276033284016,0.01554721527827486,True,NONE
48,5,2,1.5071319223033162,10.797853356366021,1.4873614599952838,0.007845419487315083,0.011925042820717081,True,NONE
49,1,1,1.4874552662243163,0.45719520726379564,1.4600338775429902,0.008851897369767315,0.018569491311558876,True,NONE
50,5,2,2.0147550113984978,14.033069029623018,1.9932136680218546,0.001770881068610909,0.019770462308032165,True,NONE
51,0,1,1.5210089474346224,0.41793400077018583,1.4855259839346795,0.00806157481861678,0.02742138868132619,True,NONE
52,3,2,1.385549358829895,7.474630218706833,1.37969569403088,0.0058536647990151255,0.0,True,NONE
53,0,1,1.3581908546501316,0.27333614730788236,1.3175046691378585,0.005203222012330075,0.035482963499942975,True,NONE
54,0,1,1.1118235037232467,0.3446409046874999,1.0644573915955426,0.00667992661543089,0.04068618551227305,True,NONE
55,0,1,1.1140651141171762,0.48155420199954435,1.057279373824246,0.009419628165226039,0.04736611212770394,True,NONE
56,0,1,1.265782096872891,0.16561088290832557,1.205925323986592,0.0030710325933691928,0.05678574029292998,True,NONE
57,0,1,0.9520698253750405,0.359891922758167,0.8851922524840747,0.007020800004666525,0.05985677288629917,True,NONE
58,2,2,1.1318123162089035,5.0750468318150554,1.1212032202785605,0.00873671860228372,0.0018723773280594099,True,NONE
59,3,2,0.8834216452360467,4.9671946674129,0.8686594835366228,0.00890849690040866,0.0058536647990151255,True,NONE
60,5,2,0.9307647087126957,13.922195774498224,0.9280528285367283,0.0027118801759673035,0.0,True,NONE
61,0,1,0.7915538940723043,0.08066573427726235,0.7900985991065803,0.0014552949657239312,0.0,True,NONE
62,0,1,0.8725967403241901,0.4946625205685671,0.8614204790429034,0.009720966315562761,0.0014552949657239312,True,NONE
63,1,1,0.8373907731436743,0.13307717689043083,0.8237177118669524,0.002496799995435226,0.011176261281286692,True,NONE
64,0,1,0.7452339672962828,0.5000913793058575,0.7217034191172671,0.009857486902293695,0.013673061276721918,True,NONE
65,2,2,0.6599766457679856,6.1902113356810125,0.6553672831350406,0.004609362632945074,0.0,True,NONE
66,0,1,0.6789851959042355,0.44019175310869624,0.6467801686967853,0.008674479028434568,0.023530548179015613,True,NONE
67,5,2,0.6834499637144866,10.235889560838014,0.6772311772365168,0.0035069063020024644,0.0027118801759673035,True,NONE
68,1,1,0.6666886464004128,0.12597947585098382,0.632090447765496,0.002393171427466577,0.03220502720745018,True,NONE
69,5,2,0.7417900027866952,10.98043527173326,0.734056728852558,0.0015144874561673477,0.0062187864779697675,True,NONE
70,5,2,0.5643883752945285,8.586081325405777,0.5476425155332264,0.009012585827164937,0.0077332739341371155,True,NONE
71,5,2,0.6883870820834814,10.327501322998662,0.6616824181167449,0.009958804205434425,0.01674585976130205,True,NONE
72,5,2,0.5876080933492509,8.563504094116333,0.5543289957895255,0.006574433592988928,0.026704663966736476,True,NONE
73,1,1,0.5215397168325033,0.2595722297315298,0.4818464428915343,0.0050950753060522895,0.03459819863491676,True,NONE
74,0,1,0.48757220830870013,0.3582536693356935,0.4408020213852943,0.007076912982436812,0.03969327394096905,True,NONE
75,1,1,0.5511195767810633,0.3156124985397184,0.4981367672403111,0.006212622617346306,0.046770186923405864,True,NONE
76,1,1,0.4526425423196159,0.20664223252103653,0.3956060093303091,0.004053723448554669,0.05298280954075217,True,NONE
77,0,1,0.5359099518915238,0.254147687696023,0.4738852421967358,0.004988176705481112,0.05703653298930684,True,NONE
78,2,2,0.4269877996372423,4.244655865243344,0.41251065741027965,0.009867779594017533,0.004609362632945074,True,NONE
79,3,2,0.48205237146424645,5.51133715993222,0.48033136827708117,0.0017210031871652818,0.0,True,NONE
80,0,1,0.17014317343275964,0.14759168836639175,0.16722478462235627,0.002918388810403364,0.0,True,NONE
81,5,2,0.3082665057233894,14.57876929073333,0.30622764768961747,0.00203885803377192,0.0,True,NONE
82,0,1,0.17141486244186438,0.37389681782948025,0.16105074742435627,0.007445726207104733,0.002918388810403364,True,NONE
83,1,1,0.16825936060159227,0.12254082980168306,0.1554755240928691,0.0024197214912150874,0.010364115017508098,True,NONE
84,0,1,0.1689777875146049,0.35001715626044666,0.14922345257118702,0.006970498434694696,0.012783836508723185,True,NONE
85,5,2,0.3185495214493453,14.965870242317244,0.31544025545120397,0.0010704079643694216,0.00203885803377192,True,NONE
86,5,2,0.2566212678067463,11.999416728426068,0.2481152151392606,0.005396786669344389,0.0031092659981413417,True,NONE
87,0,1,0.17715646161318874,0.32676396484445985,0.1508970267782373,0.00650509989153355,0.01975433494341788,True,NONE
88,1,1,0.1861871387036405,0.09311528064732279,0.15809701765927447,0.0018306862094146009,0.02625943483495143,True,NONE
89,0,1,0.17453215361117008,0.2438750420442655,0.14159285029597793,0.004849182270826115,0.02809012104436603,True,NONE
90,1,1,0.1808956313297271,0.16932585540198294,0.14459873065262582,0.0033575973619091337,0.032939303315192146,True,NONE
91,1,1,0.1469749517855321,0.05269202148856844,0.10964613990664078,0.0010319112017900408,0.036296900677101285,True,NONE
92,5,2,0.25384477359087143,11.606038423855237,0.24250634511243863,0.0028323758109470762,0.00850605266748573,True,NONE
93,1,1,0.15224242868698779,0.28634430771306457,0.10920857236830882,0.00570504443978763,0.037328811878891324,True,NONE
94,0,1,0.14801841563493398,0.3893111993753262,0.09721777888452539,0.007766780431729619,0.04303385631867896,True,NONE
95,1,1,0.14889754183622078,0.35317111726277883,0.09105169307917245,0.007045212006639741,0.050800636750408586,True,NONE
96,1,1,0.13481323864694014,0.44807807130856625,0.06801943235019052,0.008947957539701287,0.057845848757048325,True,NONE
97,1,1,0.1694398475294056,0.4473260607955926,0.09371826366947804,0.008927777563177957,0.06679380629674961,True,NONE
98,2,2,0.12123867731576994,4.170929169738018,0.11778754340493659,0.0034511339108333466,0.0,True,NONE
99,3,2,0.13295484419576986,5.362659539000456,0.12296875422807987,0.009986089967689982,0.0,True,NONE
100,0,1,6.1122473651223,0.5441662876555043,6.102584556280446,0.009662808841853998,0.0,False,COVERAGE_VIOLATION
101,0,1,5.5251929390092265,0.4593929667068135,5.507443759585153,0.00808637058221924,0.009662808841853998,True,NONE
102,0,1,5.805341575398196,0.3871077439916485,5.7810064423827665,0.0065859535913564155,0.01774917942407324,False,COVERAGE_VIOLATION
103,4,2,5.966620141705559,10.815681696658768,5.9581087865265845,0.008511355178974151,0.0,False,COVERAGE_VIOLATION
104,0,1,6.157493621523877,0.5078795495251607,6.124225742666478,0.008932745841969918,0.024335133015429652,False,COVERAGE_VIOLATION
105,0,1,4.692036942143265,0.1539167042130857,4.656622053612326,0.0021470096735392488,0.03326787885739957,True,NONE
106,5,2,6.046338301525677,8.752308743085704,6.0375617252703,0.008776576255377514,0.0,False,COVERAGE_VIOLATION
107,1,2,5.019871805127011,13.898845630290472,5.010041457942226,0.009830347184784342,0.0,True,NONE
108,5,2,5.784241181753031,8.093136806266527,5.772573916652595,0.0028906888450577865,0.008776576255377514,False,COVERAGE_VIOLATION
109,1,2,5.876952198330631,15.867161119592941,5.86360972621135,0.003512124934496843,0.009830347184784342,False,COVERAGE_VIOLATION
110,0,1,3.5150888544256715,0.2803013202747665,3.474762892067651,0.0049110738270818,0.03541488853093882,True,NONE
111,1,2,3.5302788360211332,9.791230001978878,3.508915317725009,0.008021046176842983,0.013342472119281183,True,NONE
112,5,2,4.559906312351017,6.361839877669997,4.546200971483919,0.002038075766662848,0.011667265100435302,True,NONE
113,1,2,3.7465022131129992,10.113071469018669,3.722090335430205,0.0030483593866699335,0.02136351829612417,True,NONE
114,0,1,3.682771969513079,0.44459784626372933,3.634280906411066,0.008165100743992374,0.04032596235802062,True,NONE
115,1,2,3.434695619249168,9.369604635049598,3.4051410124542634,0.005142729112110478,0.0244118776827941,True,NONE
116,1,2,2.677388988683649,7.272982163376696,2.6438800243279648,0.003954357560779359,0.029554606794904584,True,NONE
117,1,2,3.1874582379783063,8.855828755013755,3.1451678223566426,0.008781451265979675,0.03350896435568394,True,NONE
118,2,2,2.9666992723745302,7.450095864216683,2.95797193311249,0.008727339262040034,0.0,True,NONE
119,3,2,2.6356255840444747,5.63215172779516,2.631635914832957,0.003989669211517857,0.0,True,NONE
120,0,1,3.609395876004216,0.4097627096752996,3.6019210060119122,0.00747486999230361,0.0,True,NONE
121,0,1,2.7586970186513433,0.20658757184308943,2.7476399252072192,0.003582223451820345,0.00747486999230361,True,NONE
122,2,2,3.2884463009024865,12.932848132738444,3.281990421222731,0.006455879679755289,0.0,True,NONE
123,0,1,3.5651779075824455,0.22093156620717674,3.5504122652672314,0.003708548871090088,0.011057093444123953,True,NONE
124,0,1,2.9630640316104038,0.4476898848226425,2.9399325781143597,0.008365811180829979,0.014765642315214041,True,NONE
