run_id,algorithm,scenario,workload,seed,checkpoint_path,checkpoint_sha256,model_parameter_hash,realization_path,realization_sha256,git_commit,mean_delay_s,mean_energy_j,completion_ratio,action_sequence_sha256
phase7_CoTOP_corridor_2400m_w20_seed42,CoTOP,corridor_2400m,20,42,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.0691899424713336,3.8472302080975296,0.965,761e276d33708e9e54f9643ae86c9bdc1d6ae4d0a67cf29f25e5140ac2ccd1de
phase7_DDQN_corridor_2400m_w20_seed42,DDQN,corridor_2400m,20,42,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed42\checkpoint.pt,b04e1bba428f54bf426cdf4b53547bec3e56cae50ad9d03a610da368ce7ea131,ed7f956f937c4d7d3cee032626ad6e4114ce9dc3644765505969400e9c07278b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.054425641464148,5.5292365892175,0.97,d7ecd8dffd444a0871c0ef6300f6622a62e084b9f4834268ed2462ca244d6642
phase7_Local_corridor_2400m_w20_seed42,Local,corridor_2400m,20,42,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.04136596953117,0.3000039329119527,0.965,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_Greedy_corridor_2400m_w20_seed42,Greedy,corridor_2400m,20,42,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.0639223869258982,7.219614589600078,0.965,ac8f7b6e261c932c6dbf5b9b53b7463e3b69a19285c6efc1779f205979d1e38c
phase7_wo_md_corridor_2400m_w20_seed42,wo_md,corridor_2400m,20,42,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.0691899424713336,3.8472302080975296,0.965,761e276d33708e9e54f9643ae86c9bdc1d6ae4d0a67cf29f25e5140ac2ccd1de
phase7_wo_tp_corridor_2400m_w20_seed42,wo_tp,corridor_2400m,20,42,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.0691899424713336,3.8472302080975296,0.965,761e276d33708e9e54f9643ae86c9bdc1d6ae4d0a67cf29f25e5140ac2ccd1de
phase7_wo_co_corridor_2400m_w20_seed42,wo_co,corridor_2400m,20,42,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265,2.04136596953117,0.3000039329119527,0.965,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_CoTOP_corridor_2400m_w20_seed43,CoTOP,corridor_2400m,20,43,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed43\checkpoint.pt,cc54ac677618b563bab6a70322a093d26be3e7ba839ea5d7a36f1f2e1a6337b3,11b97bef36c0e22cd27b9bc075524fe1bf699b0ef1b2186465d3acd5326d72c9,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265,2.0885961722133977,6.953622868294181,0.985,8fe7b34e916990c991b7a9683ca325785645c7d81dff50c80c97d60db356e171
phase7_DDQN_corridor_2400m_w20_seed43,DDQN,corridor_2400m,20,43,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed43\checkpoint.pt,407ee7f4b5fef5626b657e1ca2c3e8ad8ed923031d6f346d1968a4bf75a024fb,e2806e97aebffcf867452fad3750e99dae051bc4e152ea3f52a0066854f74459,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265,2.010068166772154,3.2987430825275923,0.985,2377acd2ee4f8f15e435321791b7493aa9e6b735704122101211842f4a4f7b03
phase7_Local_corridor_2400m_w20_seed43,Local,corridor_2400m,20,43,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265,2.0142848110771028,0.28772091847867637,0.985,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
