algorithm,scenario,workload,seed,total_tasks,completed_tasks,failed_tasks,completion_ratio,mean_delay_s,median_delay_s,std_delay_s,p5_delay_s,p95_delay_s,max_delay_s,mean_energy_j,median_energy_j,std_energy_j,p5_energy_j,p95_energy_j,max_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,action_0_count,collab_count,collaboration_ratio,coverage_failures,deadline_failures,action_sequence_sha256,run_id,checkpoint_path,checkpoint_sha256,realization_path,realization_sha256,git_commit
CoTOP,corridor_2400m,20,42,200,193,7,0.965,2.0691899424713336,1.7154531912713504,1.6191166866347286,0.17029046637523398,5.673870650299156,6.324109215859376,3.8472302080975296,0.40383325709193285,5.457622906810858,0.11547182614200281,14.683305618138649,17.284584349363026,2.019675379865554,0.005566832413412393,0.043947730192367127,2,198,0.99,7,0,761e276d33708e9e54f9643ae86c9bdc1d6ae4d0a67cf29f25e5140ac2ccd1de,phase7_CoTOP_corridor_2400m_w20_seed42,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
DDQN,corridor_2400m,20,42,200,194,6,0.97,2.054425641464148,1.6862351138141478,1.6036352576423956,0.19222036221340555,5.651608759785654,6.241228647661901,5.5292365892175,6.013475413338496,4.599582007728895,0.12580754354851878,13.861849148026682,15.513980100734981,2.036495443676754,0.005261881091545108,0.01266831669584908,33,167,0.835,6,0,d7ecd8dffd444a0871c0ef6300f6622a62e084b9f4834268ed2462ca244d6642,phase7_DDQN_corridor_2400m_w20_seed42,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed42\checkpoint.pt,b04e1bba428f54bf426cdf4b53547bec3e56cae50ad9d03a610da368ce7ea131,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
Local,corridor_2400m,20,42,200,193,7,0.965,2.04136596953117,1.6305563305886566,1.5967544429408904,0.17098072420272617,5.62399395088518,6.166004976702852,0.3000039329119527,0.30173643346028656,0.13052684227404338,0.10327026655527348,0.49846248143669425,0.5441662876555043,1.9842031171136982,0.005603238034816316,0.05155961438265527,200,0,0.0,7,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_Local_corridor_2400m_w20_seed42,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
Greedy,corridor_2400m,20,42,200,193,7,0.965,2.0639223869258982,1.7184755399996439,1.5980930618412148,0.23654048393652755,5.667304780612381,6.279421574432536,7.219614589600078,7.18397129774341,4.236150632762038,0.24272420763048994,13.788616733494768,17.261587218679182,2.0533992236805796,0.005077889436744444,0.005445273808574382,30,170,0.85,7,0,ac8f7b6e261c932c6dbf5b9b53b7463e3b69a19285c6efc1779f205979d1e38c,phase7_Greedy_corridor_2400m_w20_seed42,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
wo_md,corridor_2400m,20,42,200,193,7,0.965,2.0691899424713336,1.7154531912713504,1.6191166866347286,0.17029046637523398,5.673870650299156,6.324109215859376,3.8472302080975296,0.40383325709193285,5.457622906810858,0.11547182614200281,14.683305618138649,17.284584349363026,2.019675379865554,0.005566832413412393,0.043947730192367127,2,198,0.99,7,0,761e276d33708e9e54f9643ae86c9bdc1d6ae4d0a67cf29f25e5140ac2ccd1de,phase7_wo_md_corridor_2400m_w20_seed42,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
wo_tp,corridor_2400m,20,42,200,193,7,0.965,2.0691899424713336,1.7154531912713504,1.6191166866347286,0.17029046637523398,5.673870650299156,6.324109215859376,3.8472302080975296,0.40383325709193285,5.457622906810858,0.11547182614200281,14.683305618138649,17.284584349363026,2.019675379865554,0.005566832413412393,0.043947730192367127,2,198,0.99,7,0,761e276d33708e9e54f9643ae86c9bdc1d6ae4d0a67cf29f25e5140ac2ccd1de,phase7_wo_tp_corridor_2400m_w20_seed42,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
wo_co,corridor_2400m,20,42,200,193,7,0.965,2.04136596953117,1.6305563305886566,1.5967544429408904,0.17098072420272617,5.62399395088518,6.166004976702852,0.3000039329119527,0.30173643346028656,0.13052684227404338,0.10327026655527348,0.49846248143669425,0.5441662876555043,1.9842031171136982,0.005603238034816316,0.05155961438265527,200,0,0.0,7,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_wo_co_corridor_2400m_w20_seed42,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed42.json,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,4e25265
CoTOP,corridor_2400m,20,43,200,197,3,0.985,2.0885961722133977,1.7013417348545081,1.4798811802885494,0.3227733373725146,5.002401162723217,6.1930887995493515,6.953622868294181,7.157292592794875,5.400208071233068,0.14156939818839784,16.384597434865388,17.320566325207377,2.0127390155409692,0.004519536290160264,0.07133762038226762,0,200,1.0,3,0,8fe7b34e916990c991b7a9683ca325785645c7d81dff50c80c97d60db356e171,phase7_CoTOP_corridor_2400m_w20_seed43,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed43\checkpoint.pt,cc54ac677618b563bab6a70322a093d26be3e7ba839ea5d7a36f1f2e1a6337b3,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
DDQN,corridor_2400m,20,43,200,197,3,0.985,2.010068166772154,1.6347669184815286,1.5219347104560716,0.1429258863511157,4.997480455293721,6.177262350578799,3.2987430825275923,0.4497201912064361,4.114871915676614,0.10596773019863336,12.494272930543437,16.946042940006205,1.9761902176833035,0.004995030139158487,0.028882918949691506,100,100,0.5,3,0,2377acd2ee4f8f15e435321791b7493aa9e6b735704122101211842f4a4f7b03,phase7_DDQN_corridor_2400m_w20_seed43,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed43\checkpoint.pt,407ee7f4b5fef5626b657e1ca2c3e8ad8ed923031d6f346d1968a4bf75a024fb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
Local,corridor_2400m,20,43,200,197,3,0.985,2.0142848110771028,1.6584751911821283,1.5141209142516106,0.1577445479463544,4.990647591340477,6.121114894333584,0.28772091847867637,0.2827499760215617,0.12480948796915883,0.08968026231140759,0.4978984100258053,0.5253248691794097,1.9460799960428148,0.005365202370364963,0.06283961266392332,200,0,0.0,3,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_Local_corridor_2400m_w20_seed43,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
Greedy,corridor_2400m,20,43,200,196,4,0.98,2.027646799359078,1.6256628624009386,1.518731933649834,0.1764556876341474,5.050272710963934,6.162981760251114,6.972160994082484,6.76781813215225,4.013226448826266,0.22616730200334745,13.928391229755023,16.74552105886913,2.012924396798853,0.004542068131136639,0.010180334429088438,23,177,0.885,4,0,07f47d6316777b6991c3b9bb69d7220c0ab680f4f1c5e811859d2445ce552dc9,phase7_Greedy_corridor_2400m_w20_seed43,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
wo_md,corridor_2400m,20,43,200,197,3,0.985,2.0885961722133977,1.7013417348545081,1.4798811802885494,0.3227733373725146,5.002401162723217,6.1930887995493515,6.953622868294181,7.157292592794875,5.400208071233068,0.14156939818839784,16.384597434865388,17.320566325207377,2.0127390155409692,0.004519536290160264,0.07133762038226762,0,200,1.0,3,0,8fe7b34e916990c991b7a9683ca325785645c7d81dff50c80c97d60db356e171,phase7_wo_md_corridor_2400m_w20_seed43,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed43\checkpoint.pt,cc54ac677618b563bab6a70322a093d26be3e7ba839ea5d7a36f1f2e1a6337b3,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
wo_tp,corridor_2400m,20,43,200,197,3,0.985,2.0885961722133977,1.7013417348545081,1.4798811802885494,0.3227733373725146,5.002401162723217,6.1930887995493515,6.953622868294181,7.157292592794875,5.400208071233068,0.14156939818839784,16.384597434865388,17.320566325207377,2.0127390155409692,0.004519536290160264,0.07133762038226762,0,200,1.0,3,0,8fe7b34e916990c991b7a9683ca325785645c7d81dff50c80c97d60db356e171,phase7_wo_tp_corridor_2400m_w20_seed43,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed43\checkpoint.pt,cc54ac677618b563bab6a70322a093d26be3e7ba839ea5d7a36f1f2e1a6337b3,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
wo_co,corridor_2400m,20,43,200,197,3,0.985,2.0142848110771028,1.6584751911821283,1.5141209142516106,0.1577445479463544,4.990647591340477,6.121114894333584,0.28772091847867637,0.2827499760215617,0.12480948796915883,0.08968026231140759,0.4978984100258053,0.5253248691794097,1.9460799960428148,0.005365202370364963,0.06283961266392332,200,0,0.0,3,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_wo_co_corridor_2400m_w20_seed43,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265
CoTOP,corridor_2400m,20,44,200,198,2,0.99,2.0100165564915193,1.718375714968842,1.490745741207327,0.26134804026113373,5.1763129775069725,6.162001310052947,7.898295710676502,7.375308194164116,3.1369495155762785,3.4893726489862735,14.15870554741018,14.926065126356846,1.9742874150562477,0.0047102100434753685,0.031018931391796113,0,200,1.0,2,0,fdb92536950ce2ca5143c2f42f5143071dc879ae29568e41610c00ca2cf7bbf1,phase7_CoTOP_corridor_2400m_w20_seed44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed44\checkpoint.pt,4e53f8d6d9a2359c9792c166ea287a1d196bbdbfe5ae16f9f0e5acf6832ca83d,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265
DDQN,corridor_2400m,20,44,200,198,2,0.99,1.9690100225936806,1.6475913735941552,1.5115956024130615,0.21161926763977948,5.1596549721358,6.222288081548659,4.958890136292414,5.257496215003233,4.10910405214437,0.11576361409056948,12.38010024469587,14.809357330896534,1.9448933593124067,0.0049171674797772605,0.01919949580149648,41,159,0.795,2,0,0a056496dc3ef4d35514e59c6d9e81606b2feeef055fde33ca35d692949a941c,phase7_DDQN_corridor_2400m_w20_seed44,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed44\checkpoint.pt,c985f9dd50bdf9186a872ab76cb0f65e047765a64c7af9a85b62323a560be04b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265
Local,corridor_2400m,20,44,200,198,2,0.99,1.9523747220594847,1.6575163638071606,1.4957812422516747,0.17124839168450723,5.094485621534351,6.075384752089534,0.27932087710099596,0.27275659202527813,0.13261781556966845,0.07526607422510523,0.47800847360940246,0.5424156677141804,1.8980976667204925,0.005206798008675819,0.04907025733031627,200,0,0.0,2,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_Local_corridor_2400m_w20_seed44,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265
Greedy,corridor_2400m,20,44,200,198,2,0.99,1.9795849138682236,1.6822099778211377,1.5006218831678053,0.19757065763457068,5.159576764248891,6.222288081548659,7.095644216818511,7.065167650184211,4.067547919255323,0.23446398663333287,13.85590584363439,17.087709648614542,1.9662609001176679,0.004722459862617795,0.008601553887937683,27,173,0.865,2,0,065c2b7630489fc16ae7b0af66f56b79a364e6338a959fce9ac3c27c1c155bd5,phase7_Greedy_corridor_2400m_w20_seed44,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265
wo_md,corridor_2400m,20,44,200,198,2,0.99,2.0100165564915193,1.718375714968842,1.490745741207327,0.26134804026113373,5.1763129775069725,6.162001310052947,7.898295710676502,7.375308194164116,3.1369495155762785,3.4893726489862735,14.15870554741018,14.926065126356846,1.9742874150562477,0.0047102100434753685,0.031018931391796113,0,200,1.0,2,0,fdb92536950ce2ca5143c2f42f5143071dc879ae29568e41610c00ca2cf7bbf1,phase7_wo_md_corridor_2400m_w20_seed44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed44\checkpoint.pt,4e53f8d6d9a2359c9792c166ea287a1d196bbdbfe5ae16f9f0e5acf6832ca83d,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265
