algorithm,scenario,workload,num_seeds,delay_mean_s,delay_std_s,delay_median_s,delay_min_s,delay_max_s,delay_p5_s,delay_p95_s,energy_mean_j,energy_std_j,energy_median_j,energy_min_j,energy_max_j,energy_p5_j,energy_p95_j,completion_ratio_mean,completion_ratio_std,collab_ratio_mean,delay_ci95_s,energy_ci95_j
CoTOP,corridor_2400m,20,10,2.0078354686565105,0.06467187374594355,2.0155393117517577,1.8815055614065241,2.0885961722133977,1.9057288767900555,2.080779053703216,5.490217500368689,1.484873517183675,5.078347934351472,3.8472302080975296,7.898295710676502,3.9224032535505944,7.780693318544343,0.983,0.009775252199076795,0.962,0.04626347150622364,1.0622145250102923
CoTOP,corridor_2400m,30,10,2.055578007916136,0.06383395749356781,2.053345875492946,1.975300350364665,2.1544712814666696,1.9782733131323604,2.1441714454170024,7.202901965452641,2.085459960389986,7.937122919027413,1.3637807308404621,8.23102744791549,3.868370146429311,8.184060590664911,0.9829999999999999,0.00792713732521642,0.9166666666666666,0.045664062328461597,1.4918481847902854
CoTOP,corridor_2400m,40,10,2.0479283434503373,0.05704083070801091,2.0507688353620717,1.9696860760929789,2.1340036556891473,1.9710847145304182,2.1210006598342472,5.09798604552329,0.9714898921198798,4.978634002138637,4.0287307281293,6.766133680163481,4.083404651025248,6.683331644562853,0.9845,0.006213783960769087,0.9984999999999999,0.040804552169279154,0.694962003408652
CoTOP,grid_200m,20,10,0.6474817863597291,0.012432178086608436,0.6477167179110315,0.630461388604193,0.6664811819956714,0.6319777800603268,0.6646648603148345,1.7949075159719239,1.2165028752578722,0.9680924486390612,0.8807451535015925,3.8090125251486056,0.9022365238025233,3.6832543051975257,1.0,0.0,0.944,0.008893444450512508,0.8702337329488888
CoTOP,grid_200m,30,10,0.6695601711731599,0.013480959673455712,0.6708117323557642,0.6439022006689968,0.6898276040541297,0.6495364117533355,0.686266655368374,3.0021741011429732,0.9375550395331339,3.3362833137226557,0.6363761338395937,3.72400282486833,1.2967470166540043,3.6533356045806213,1.0,0.0,0.8396666666666667,0.00964369760151858,0.6706864722576269
CoTOP,grid_200m,40,10,0.6794147329550104,0.016871716088758024,0.6830692894077863,0.6544656745429421,0.7034457133736602,0.656188398276209,0.7003279155073112,1.624881719925991,1.0338516077647861,0.9875612129334317,0.9135009753326435,3.4346889685064697,0.9193506608403372,3.300539878089178,1.0,0.0,0.9960000000000001,0.012069298619669424,0.7395728873634145
DDQN,corridor_2400m,20,10,1.9810325188756912,0.06356781439091182,1.9976263540165045,1.8560215803197295,2.054425641464148,1.8767573692053294,2.051653696071192,5.720460512253178,0.9774545678257741,6.052142359737668,3.2987430825275923,6.638190061687408,4.045809256721762,6.499597720194644,0.9855,0.008316649966583106,0.8210000000000001,0.045473675022000164,0.6992288753667389
DDQN,corridor_2400m,30,10,1.9853153192171207,0.05895649451544065,1.9810321017444543,1.903435597141072,2.0640973014477404,1.904916109771143,2.057924467235861,3.6373743414235116,0.7539912738252251,3.6236382147324693,2.5534015015063516,5.006951413764622,2.716627729544923,4.7982986670693695,0.9846666666666666,0.006516834799384525,0.6063333333333334,0.042174935503442076,0.5393728647724932
DDQN,corridor_2400m,40,10,2.0089955682330984,0.05738171813070794,2.018211024,1.9273739440156246,2.0732148263841155,1.9275157147585906,2.069436524652401,4.324563719697695,1.9715955982038025,4.972279890270771,0.6380296854238797,6.851378163853701,0.9030054420703948,6.259163671941832,0.9877499999999999,0.007678432999859643,0.6484999999999999,0.041048408341264025,1.410394526956454
DDQN,grid_200m,20,10,0.6337431116110058,0.012424075947568752,0.6343873554505963,0.617657044103008,0.6516546574122138,0.6186831434280577,0.6515244130423165,2.988965145380546,0.24175628594292634,3.086124971078886,2.627452322302564,3.2411711725552976,2.635729817299604,3.2181366115946988,1.0,0.0,0.9015000000000001,0.008887648529397336,0.17294202871109104
DDQN,grid_200m,30,10,0.6399441125874006,0.009819030711558837,0.6383291748474176,0.6267473807986372,0.6544276327200478,0.6279020938160119,0.6530029715366206,2.428203936957215,0.34215992451582217,2.3421456479799927,2.0659312180316025,3.3081759158050517,2.110721532197527,2.9713718402789104,1.0,0.0,0.8876666666666667,0.007024111429451664,0.24476646494879473
DDQN,grid_200m,40,10,0.6629487915354684,0.012032288435113147,0.6633106326182747,0.6453076792844741,0.679435241315156,0.6454193096357209,0.6786282290447911,1.3890309933733516,0.6667349108378798,1.1045947867969763,0.9646814293227893,2.920784566520928,1.0047753577884873,2.6516028095822115,1.0,0.0,0.5907499999999999,0.008607380626689152,0.4769534229196127
Greedy,corridor_2400m,20,10,1.985204606736729,0.06644856915229003,2.0023187825212814,1.8585277370927147,2.0639223869258982,1.8786226196866034,2.0552310339356428,7.0827338789524985,0.23392859219577097,7.090141531414796,6.66648020626578,7.463506249964748,6.7343367629603765,7.381397811027402,0.983,0.010327955589886454,0.8520000000000001,0.047534442834959945,0.1673424339312401
Greedy,corridor_2400m,30,10,1.9920055661657965,0.05979288950534739,1.9861291788810251,1.9053074096288731,2.064162609782818,1.9078043067179493,2.0620590739454685,7.1128511599233475,0.26096678171880017,7.101652412205651,6.7476583444078395,7.4864304339481,6.8046094466862375,7.477924678807181,0.984,0.00843274042711568,0.8583333333333334,0.042773256435591135,0.1866843895314827
Greedy,corridor_2400m,40,10,1.999362953512744,0.05737951436055114,2.018044401910636,1.9205688899304914,2.068648091208271,1.9206317313492633,2.064894637503828,7.09931725021363,0.1080564997992612,7.1198681731342335,6.883615919339275,7.222761730657208,6.934139069556075,7.219497365237721,0.98675,0.006566962768281837,0.86,0.04104683185906319,0.07729896336641924
Greedy,grid_200m,20,10,0.6279204275214145,0.012037461968335262,0.6283813976866628,0.6123693063198853,0.6449875259215986,0.6131195654177919,0.6449402198254647,3.134767501864685,0.10550200495596017,3.1322558246974905,2.9894721004595795,3.274915328175602,2.9957702779447866,3.2748614689803053,1.0,0.0,0.8795,0.008611081549407859,0.07547158783899739
Greedy,grid_200m,30,10,0.6289316275407246,0.00822865565285844,0.6285715036239208,0.6179937420634654,0.6439045938036014,0.6181423816382153,0.6399982741964242,3.143686211515488,0.043074511008712915,3.13611413136937,3.048432268708541,3.1954659887177144,3.0835412041188994,3.193556742231239,1.0,0.0,0.8893333333333334,0.005886425648126834,0.030813648921392205
Greedy,grid_200m,40,10,0.6329091848618621,0.00738642381482329,0.6313886209033033,0.6247414898926947,0.645760509070475,0.624879162960146,0.6439297961484293,3.152176427294631,0.0488473466802553,3.149580624579929,3.0858542209328097,3.2344642712871687,3.088777682691898,3.2159373068549666,1.0,0.0,0.8940000000000001,0.005283929286360022,0.03494328678606385
Local,corridor_2400m,20,10,1.9640970493688115,0.06562705313522982,1.9817221098263402,1.8388560623367396,2.04136596953117,1.8590139872658034,2.032422205022048,0.29671709791329315,0.010166601286384754,0.29672266689839555,0.27932087710099596,0.31433697452170045,0.28310089572095215,0.31226641231053837,0.985,0.010540925533894607,0.0,0.046946765678790414,0.007272748440465576
Local,corridor_2400m,30,10,1.9931179721755978,0.05929161622586598,1.9913714399326394,1.9077061626650353,2.075603248523065,1.9113462018810172,2.0661903156674346,0.29567306745928057,0.008331497470453838,0.2947961327162497,0.2844911862426961,0.30931695931304526,0.28517396615594903,0.3070815688313121,0.9853333333333334,0.006703601390665934,0.0,0.04241466713333555,0.005959994252566277
Local,corridor_2400m,40,10,2.023629964967744,0.05675776690885589,2.0416528372884652,1.943207806074379,2.084910773743733,1.945579931600473,2.084691523027244,0.2949494942769424,0.00670082263315091,0.2948958080537495,0.286589916666603,0.31020116966029065,0.2874468553424927,0.3049171533737842,0.9882500000000001,0.007550754193382874,0.0,0.04060206052572333,0.004793479746309037
Local,grid_200m,20,10,0.6479255248642535,0.011770896783976354,0.6496900093714826,0.632162622676328,0.6644230876307554,0.6326895717267537,0.6640545977905694,0.283565676066759,0.0102305907451419,0.28345886941208004,0.2661304660860628,0.3009330800544729,0.2697213460339801,0.29918790005842083,1.0,0.0,0.0,0.008420392303885372,0.007318523741696827
Local,grid_200m,30,10,0.672332937654875,0.008205287130133075,0.6742132509948643,0.6584622257419317,0.6867405134553046,0.6599070345182593,0.6829381201859622,0.2824802361418005,0.008472535386555591,0.2815153007577472,0.2713886193468348,0.29599815902413174,0.27173964728079925,0.2940356448264819,1.0,0.0,0.0,0.005869708814012911,0.006060886699853377
Local,grid_200m,40,10,0.6999680083090298,0.007377717186970519,0.699147803730916,0.6884186886081008,0.7133075561301959,0.6901051961598791,0.710321926888778,0.2817331881552508,0.00683285989856022,0.28139824128159313,0.27273618874121636,0.29683573174232014,0.2737324334523373,0.29175393082278067,1.0,0.0,0.0,0.005277700939997826,0.004887933515965069
wo_co,corridor_2400m,20,10,1.9640970493688115,0.06562705313522982,1.9817221098263402,1.8388560623367396,2.04136596953117,1.8590139872658034,2.032422205022048,0.29671709791329315,0.010166601286384754,0.29672266689839555,0.27932087710099596,0.31433697452170045,0.28310089572095215,0.31226641231053837,0.985,0.010540925533894607,0.0,0.046946765678790414,0.007272748440465576
wo_co,corridor_2400m,30,10,1.9931179721755978,0.05929161622586598,1.9913714399326394,1.9077061626650353,2.075603248523065,1.9113462018810172,2.0661903156674346,0.29567306745928057,0.008331497470453838,0.2947961327162497,0.2844911862426961,0.30931695931304526,0.28517396615594903,0.3070815688313121,0.9853333333333334,0.006703601390665934,0.0,0.04241466713333555,0.005959994252566277
wo_co,corridor_2400m,40,10,2.023629964967744,0.05675776690885589,2.0416528372884652,1.943207806074379,2.084910773743733,1.945579931600473,2.084691523027244,0.2949494942769424,0.00670082263315091,0.2948958080537495,0.286589916666603,0.31020116966029065,0.2874468553424927,0.3049171533737842,0.9882500000000001,0.007550754193382874,0.0,0.04060206052572333,0.004793479746309037
wo_co,grid_200m,20,10,0.6479255248642535,0.011770896783976354,0.6496900093714826,0.632162622676328,0.6644230876307554,0.6326895717267537,0.6640545977905694,0.283565676066759,0.0102305907451419,0.28345886941208004,0.2661304660860628,0.3009330800544729,0.2697213460339801,0.29918790005842083,1.0,0.0,0.0,0.008420392303885372,0.007318523741696827
wo_co,grid_200m,30,10,0.672332937654875,0.008205287130133075,0.6742132509948643,0.6584622257419317,0.6867405134553046,0.6599070345182593,0.6829381201859622,0.2824802361418005,0.008472535386555591,0.2815153007577472,0.2713886193468348,0.29599815902413174,0.27173964728079925,0.2940356448264819,1.0,0.0,0.0,0.005869708814012911,0.006060886699853377
wo_co,grid_200m,40,10,0.6999680083090298,0.007377717186970519,0.699147803730916,0.6884186886081008,0.7133075561301959,0.6901051961598791,0.710321926888778,0.2817331881552508,0.00683285989856022,0.28139824128159313,0.27273618874121636,0.29683573174232014,0.2737324334523373,0.29175393082278067,1.0,0.0,0.0,0.005277700939997826,0.004887933515965069
wo_md,corridor_2400m,20,10,2.0078354686565105,0.06467187374594355,2.0155393117517577,1.8815055614065241,2.0885961722133977,1.9057288767900555,2.080779053703216,5.490217500368689,1.484873517183675,5.078347934351472,3.8472302080975296,7.898295710676502,3.9224032535505944,7.780693318544343,0.983,0.009775252199076795,0.962,0.04626347150622364,1.0622145250102923
wo_md,corridor_2400m,30,10,2.055578007916136,0.06383395749356781,2.053345875492946,1.975300350364665,2.1544712814666696,1.9782733131323604,2.1441714454170024,7.202901965452641,2.085459960389986,7.937122919027413,1.3637807308404621,8.23102744791549,3.868370146429311,8.184060590664911,0.9829999999999999,0.00792713732521642,0.9166666666666666,0.045664062328461597,1.4918481847902854
wo_md,corridor_2400m,40,10,2.0479283434503373,0.05704083070801091,2.0507688353620717,1.9696860760929789,2.1340036556891473,1.9710847145304182,2.1210006598342472,5.09798604552329,0.9714898921198798,4.978634002138637,4.0287307281293,6.766133680163481,4.083404651025248,6.683331644562853,0.9845,0.006213783960769087,0.9984999999999999,0.040804552169279154,0.694962003408652
wo_md,grid_200m,20,10,0.6474817863597291,0.012432178086608436,0.6477167179110315,0.630461388604193,0.6664811819956714,0.6319777800603268,0.6646648603148345,1.7949075159719239,1.2165028752578722,0.9680924486390612,0.8807451535015925,3.8090125251486056,0.9022365238025233,3.6832543051975257,1.0,0.0,0.944,0.008893444450512508,0.8702337329488888
wo_md,grid_200m,30,10,0.6695601711731599,0.013480959673455712,0.6708117323557642,0.6439022006689968,0.6898276040541297,0.6495364117533355,0.686266655368374,3.0021741011429732,0.9375550395331339,3.3362833137226557,0.6363761338395937,3.72400282486833,1.2967470166540043,3.6533356045806213,1.0,0.0,0.8396666666666667,0.00964369760151858,0.6706864722576269
