task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,veh_0,2,2,1.1933307935169335,2.6987380293976395,1.19093214532835,0.0023986481885837165,0.0,True,NONE
1,veh_0,2,2,1.1342380595494888,2.74096612487487,1.1277132247276573,0.004126186633247635,0.0023986481885837165,True,NONE
2,veh_0,2,2,1.2480588334323175,2.6531905690862034,1.2406166423152754,0.0009173562952106655,0.006524834821831352,True,NONE
3,veh_0,3,2,1.2596246219721483,3.272398550634044,1.2566404391314188,0.0029841828407295217,0.0,True,NONE
4,veh_0,2,2,1.1897437548967078,2.7788793695063587,1.178852089785839,0.00344947399382696,0.007442191117042018,True,NONE
5,veh_0,2,2,1.0794618029023189,2.422434038054225,1.0663625883035406,0.0022075494879094147,0.010891665110868979,True,NONE
6,veh_0,2,2,1.012670153064874,2.233952428768196,0.9978333065334346,0.0017376319326610366,0.013099214598778393,True,NONE
7,veh_0,1,1,1.263134454266982,0.3130203934705993,1.2393008772008411,0.006012547693971817,0.01782102937216895,True,NONE
8,veh_0,1,1,1.047495749933925,0.13017840348899648,1.0212628573694782,0.002399315498306034,0.023833577066140768,True,NONE
9,veh_0,4,2,1.1508857171925853,3.151107711888743,1.1465080361411868,0.004377681051398497,0.0,True,NONE
10,veh_0,3,2,0.9050667850687565,2.20439674177657,0.9013705785386157,0.0007120236894113056,0.0029841828407295217,True,NONE
11,veh_0,2,2,1.0119768721386406,2.2708676032514608,0.9949742112551753,0.0021658143520259716,0.01483684653143943,True,NONE
12,veh_0,3,2,0.9353587617102058,2.5125944437795953,0.9285108596026235,0.0031516955774415893,0.0036962065301408276,True,NONE
13,veh_0,1,1,1.1452836766475556,0.30233081632051273,1.1028175165897391,0.005826052823092307,0.03664010723472416,True,NONE
14,veh_0,2,2,1.0226829059717388,2.200780531234902,1.0044101211713818,0.0012701239168914366,0.0170026608834654,True,NONE
15,veh_0,2,2,0.837718984029488,2.180471511462913,0.8144572799999031,0.0049889192292279965,0.01827278480035684,True,NONE
16,veh_0,2,2,1.059609459268204,2.530666409597209,1.032355755636661,0.003991999601958102,0.023261704029584836,True,NONE
17,veh_0,2,2,0.9783692352306635,2.032895674664438,0.9504093218726701,0.0007062097264504799,0.027253703631542937,True,NONE
18,veh_0,2,2,0.7141903557150199,1.6048250878773402,0.6843109036407606,0.0019195387162658686,0.027959913357993416,True,NONE
19,veh_0,2,2,0.7188006837949173,1.5938631310134244,0.6871703505066628,0.0017508812139954146,0.029879452074259284,True,NONE
20,veh_0,2,2,0.7502449781751771,1.948213354838515,0.7138715511724146,0.004743093714507745,0.0316303332882547,True,NONE
21,veh_0,0,1,0.7649510471682656,0.3095862784512547,0.6970618077836837,0.006052313207468357,0.06183692617711351,True,NONE
22,veh_0,2,2,0.7206649696129536,1.496963954661933,0.6834324787140347,0.0008590638961563237,0.03637342700276244,True,NONE
23,veh_0,1,1,0.7338051579444761,0.47805083410436555,0.6556269633743255,0.009429891289412446,0.0687483032807382,True,NONE
