task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,veh_0,0,1,5.815793023395388,0.2979747761285539,5.810995727018221,0.004797296377167433,0.0,True,NONE
1,veh_0,2,2,5.544787316337998,4.281019511858232,5.54066112970475,0.004126186633247635,0.0,True,NONE
2,veh_0,3,2,6.107752397849897,5.493308833870742,6.106835041554686,0.0009173562952106655,0.0,True,NONE
3,veh_0,4,2,6.17980245267658,6.77077439285549,6.1768182698358505,0.0029841828407295217,0.0,True,NONE
4,veh_0,5,2,5.268301299317249,6.564655064450767,5.26609374982934,0.0022075494879094147,0.0,True,NONE
5,veh_0,6,2,4.937221036068043,6.891240675004838,4.935483404135383,0.0017376319326610366,0.0,True,NONE
6,veh_0,3,2,5.134667955299678,4.659772310640301,5.132550941255315,0.001199657749153017,0.0009173562952106655,True,NONE
7,veh_0,6,2,5.659489609939594,8.132336483957488,5.653374296955534,0.004377681051398497,0.0017376319326610366,True,NONE
8,veh_0,3,2,4.901962878372877,4.548641682681621,4.897680049976487,0.0021658143520259716,0.002117014044363683,True,NONE
9,veh_0,5,2,4.576552801506694,5.821944922757641,4.571193556441343,0.0031516955774415893,0.0022075494879094147,True,NONE
10,veh_0,4,2,5.5574651129484804,6.108492473382605,5.5515679036962045,0.0029130264115461535,0.0029841828407295217,True,NONE
11,veh_0,2,2,4.940246762446084,3.5724459290614803,4.934850451895945,0.0012701239168914366,0.004126186633247635,True,NONE
12,veh_0,3,2,4.683302025929183,4.208648265758647,4.6783129878063425,0.0007062097264504799,0.0042828283963896535,True,NONE
13,veh_0,3,2,3.3892803696728806,3.1669881375022526,3.382540450336045,0.0017508812139954146,0.004989038122840133,True,NONE
14,veh_0,5,2,3.381261229692603,4.151716113545583,3.375042920731096,0.0008590638961563237,0.005359245065351004,True,NONE
15,veh_0,2,2,3.2989067368512384,2.767678888001373,3.2887954806563933,0.004714945644706223,0.005396310550139071,True,NONE
16,veh_0,4,2,3.3614791328323967,3.8669340692933725,3.352036775886718,0.0035451476934031012,0.005897209252275676,True,NONE
