task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,veh_0,0,1,1.1712573556060475,0.2515294194506605,1.16646005922888,0.004797296377167433,0.0,True,NONE
1,veh_0,0,1,1.1175898737762322,0.42366406536608925,1.1045402041325696,0.00825237326649527,0.004797296377167433,True,NONE
2,veh_0,0,1,1.2300079875142358,0.10388686557386807,1.215123605280152,0.001834712590421331,0.013049669643662705,True,NONE
3,veh_0,0,1,1.247876086715231,0.31068851746094905,1.2270233387996878,0.0059683656814590435,0.014884382234084037,True,NONE
4,veh_0,0,1,1.1823799288110903,0.356493681711775,1.1546282329078932,0.00689894798765392,0.02085274791554308,True,NONE
5,veh_0,0,1,1.076617037314167,0.231199451215293,1.0444502424351512,0.0044150989758188295,0.027751695903197,True,NONE
6,veh_0,0,1,1.012971205837461,0.18353648473703488,0.977329147093123,0.0034752638653220732,0.032166794879015824,True,NONE
7,veh_0,0,1,1.280955483639151,0.3130203934705993,1.2393008772008411,0.006012547693971817,0.0356420587443379,True,NONE
8,veh_0,0,1,1.0653167793060938,0.13017840348899648,1.0212628573694782,0.002399315498306034,0.04165460643830971,True,NONE
9,veh_0,0,1,1.1722958727719839,0.4489629710271754,1.1194865887325711,0.008755362102796994,0.04405392193661575,True,NONE
10,veh_0,0,1,0.9343599788932442,0.08000363541588065,0.8801266474750088,0.0014240473788226112,0.05280928403941274,True,NONE
11,veh_0,0,1,1.0330937625772194,0.22632672322714648,0.9745288024549321,0.004331628704051943,0.05423333141823535,True,NONE
12,veh_0,0,1,0.9714956247467865,0.3242358304788551,0.906627273469616,0.0063033911548831785,0.0585649601222873,True,NONE
13,veh_0,0,1,1.1735119206900018,0.30233081632051273,1.1028175165897391,0.005826052823092307,0.06486835127717047,True,NONE
14,veh_0,0,1,1.0570054687916557,0.13685009985771976,0.98377081685761,0.0025402478337828733,0.07069440410026277,True,NONE
15,veh_0,0,1,0.8809337466326277,0.506869135485201,0.797721256240126,0.009977838458455993,0.07323465193404564,True,NONE
16,veh_0,0,1,1.102338694959601,0.409311382249442,1.0111422053631833,0.007983999203916204,0.08321249039250164,True,NONE
17,veh_0,0,1,1.0234885718680768,0.07992976927323557,0.9308796628187581,0.0014124194529009598,0.09119648959641784,True,NONE
18,veh_0,0,1,0.7666972028817437,0.1986563637905858,0.6702492163998931,0.003839077432531737,0.0926089090493188,True,NONE
19,veh_0,0,1,0.7729996543109054,0.1818186204535521,0.673049905401064,0.0035017624279908293,0.09644798648185055,True,NONE
