task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,veh_0,0,1,5.815793023395388,0.2979747761285539,5.810995727018221,0.004797296377167433,0.0,True,NONE
1,veh_0,0,1,5.515577043600474,0.46764393706433166,5.502527373956811,0.00825237326649527,0.004797296377167433,True,NONE
2,veh_0,0,1,6.068309034210471,0.15226987604083042,6.053424651976387,0.001834712590421331,0.013049669643662705,True,NONE
3,veh_0,0,1,6.133558727261502,0.3595453438664118,6.11270597934596,0.0059683656814590435,0.014884382234084037,True,NONE
4,veh_0,0,1,5.779804391267572,0.40246792633633977,5.752052695364374,0.00689894798765392,0.02085274791554308,True,NONE
5,veh_0,0,1,5.235341861058375,0.2727866994527351,5.20317506617936,0.0044150989758188295,0.027751695903197,True,NONE
6,veh_0,0,1,4.90443756761322,0.22245114835479246,4.868795508868882,0.0034752638653220732,0.032166794879015824,True,NONE
7,veh_0,0,1,6.215524037222606,0.3623660790064338,6.173869430784296,0.006012547693971817,0.0356420587443379,True,NONE
8,veh_0,0,1,5.1317155639988865,0.1708423913359244,5.087661642062271,0.002399315498306034,0.04165460643830971,True,NONE
9,veh_0,0,1,5.629795595837951,0.4935379682578351,5.576986311798538,0.008755362102796994,0.04405392193661575,True,NONE
10,veh_0,0,1,4.4387916771992035,0.11504795239894025,4.3845583457809685,0.0014240473788226112,0.05280928403941274,True,NONE
11,veh_0,0,1,4.913409892117183,0.2651298845225461,4.854844931994896,0.004331628704051943,0.05423333141823535,True,NONE
12,veh_0,0,1,4.581445811814432,0.3603353323495316,4.5165774605372615,0.0063033911548831785,0.0585649601222873,True,NONE
13,veh_0,0,1,5.564639804014179,0.34624209515375454,5.493945399913916,0.005826052823092307,0.06486835127717047,True,NONE
14,veh_0,0,1,4.974120857076781,0.176021253740571,4.9008862051427355,0.0025402478337828733,0.07069440410026277,True,NONE
15,veh_0,0,1,4.0572489562681,0.5386322875815557,3.9740364658755984,0.009977838458455993,0.07323465193404564,True,NONE
16,veh_0,0,1,5.128439718188024,0.4495723924817262,5.037243228591606,0.007983999203916204,0.08321249039250164,True,NONE
17,veh_0,0,1,4.730005363569977,0.11699493719025458,4.637396454520658,0.0014124194529009598,0.09119648959641784,True,NONE
18,veh_0,0,1,3.435452439932115,0.2253439161610895,3.3390044534502645,0.003839077432531737,0.0926089090493188,True,NONE
19,veh_0,0,1,3.452906494759444,0.2086176888580375,3.352956745849603,0.0035017624279908293,0.09644798648185055,True,NONE
20,veh_0,0,1,3.592677655672118,0.5091417886441071,3.4832417193332614,0.00948618742901549,0.09994974890984137,True,NONE
21,veh_0,0,1,3.588065946871304,0.33734143734666766,3.4725776973249785,0.006052313207468357,0.10943593633885686,True,NONE
22,veh_0,0,1,3.4519246726599664,0.11925357256884564,3.3347182953213284,0.0017181277923126474,0.11548824954632522,True,NONE
23,veh_0,0,1,3.3927965220744807,0.5041561670050866,3.2661602534464302,0.009429891289412446,0.11720637733863787,True,NONE
24,veh_0,0,1,4.0917539711770505,0.29608321402308657,3.959988035875714,0.0051296666732865885,0.12663626862805033,True,NONE
25,veh_0,0,1,3.605452019927138,0.48866635440784845,3.4646056786733785,0.009080405952422294,0.1317659353013369,True,NONE
26,veh_0,0,1,3.465180943958485,0.3876872124134893,3.317244307317919,0.0070902953868062025,0.1408463412537592,True,NONE
27,veh_0,0,1,2.7388746933571895,0.3682888879685516,2.5840890967766086,0.006848959940015709,0.1479366366405654,True,NONE
28,veh_0,0,1,2.7565800286899274,0.3033723419916772,2.596246234516416,0.005548197592930261,0.1547855965805811,True,NONE
29,veh_0,0,1,3.0124717385805977,0.3501337582163488,2.8457044101247844,0.006433534282302019,0.16033379417351135,True,NONE
30,veh_1,0,1,3.4628291777170115,0.4088782455255153,3.4553426813427697,0.007486496374241752,0.0,True,NONE
31,veh_1,0,1,3.2533244127701364,0.2962826738943592,3.240560374993006,0.005277541402888582,0.007486496374241752,True,NONE
32,veh_1,0,1,3.3494445842885585,0.1269669480948042,3.3348081691833684,0.0018723773280594099,0.012764037777130333,True,NONE
33,veh_1,0,1,3.7858846261259433,0.5246003549823505,3.7615085056222313,0.009739705398522563,0.014636415105189744,True,NONE
34,veh_1,0,1,3.415378932685707,0.10996113977921987,3.3894814856835467,0.0015213264984476878,0.02437612050371231,True,NONE
35,veh_1,0,1,3.1890437800068017,0.22186573994923206,3.159340886382934,0.0038054466217080545,0.025897447002159995,True,NONE
36,veh_1,0,1,3.793955417848168,0.28473813399621756,3.7593096234690693,0.004942900755230537,0.02970289362386805,True,NONE
37,veh_1,0,1,2.997635992431522,0.2752251359090612,2.9580773107964013,0.004912887256021944,0.034645794379098586,True,NONE
38,veh_1,0,1,2.7513390602702663,0.22294885539332393,2.707862974122104,0.003917404513042058,0.03955868163512053,True,NONE
39,veh_1,0,1,3.2845254865695024,0.43271233300488793,3.233041762113665,0.008007638307675025,0.04347608614816259,True,NONE
40,veh_1,0,1,2.7334633539101363,0.17790337519841096,2.6789573534210147,0.003022276033284016,0.05148372445583761,True,NONE
41,veh_1,0,1,2.6698572933581057,0.4183460330995709,2.607505873381669,0.007845419487315083,0.05450600048912163,True,NONE
42,veh_1,0,1,3.6386693819926514,0.22002647574081655,3.5726319588931768,0.0036860031230376957,0.062351419976436714,True,NONE
43,veh_1,0,1,2.8267513145138508,0.47011348842881184,2.751861994044609,0.008851897369767315,0.06603742309947441,True,NONE
44,veh_1,0,1,3.1285482336822725,0.20057391034367883,3.050257486503458,0.003401426709572885,0.07488932046924172,True,NONE
45,veh_1,0,1,2.545835787873541,0.2463597835991032,2.4631104671161674,0.004434573578558831,0.07829074717881461,True,NONE
46,veh_1,0,1,3.578815831627395,0.12348724972855957,3.4943196298014105,0.001770881068610909,0.08272532075737343,True,NONE
47,veh_1,0,1,2.892467120690078,0.43107783437129377,2.7999093440454765,0.00806157481861678,0.08449620182598434,True,NONE
48,veh_1,0,1,3.048458468649684,0.14831292223321701,2.953525138588136,0.002375553416946713,0.09255777664460112,True,NONE
49,veh_1,0,1,2.5661098036361145,0.3173364680385118,2.4653228087755514,0.0058536647990151255,0.09493333006154783,True,NONE
50,veh_1,0,1,2.589214121292218,0.284993339660697,2.483223904419325,0.005203222012330075,0.10078699486056295,True,NONE
51,veh_1,0,1,2.118952247805717,0.3540591518147184,2.006282104317393,0.00667992661543089,0.10599021687289302,True,NONE
52,veh_1,0,1,2.114842796542561,0.490908938510192,1.992753024889011,0.009419628165226039,0.11267014348832391,True,NONE
53,veh_1,0,1,2.398080712324135,0.17628082874923182,2.272919908077216,0.0030710325933691928,0.12208977165354995,True,NONE
54,veh_1,0,1,2.668556478612304,0.4694789531492072,2.5345129979019814,0.008882676463403747,0.12516080424691914,True,NONE
55,veh_1,0,1,2.240595081340347,0.15143278357561163,2.1039437337052527,0.0026078669247711823,0.13404348071032288,True,NONE
56,veh_1,0,1,1.8120765281825952,0.3677240440387546,1.6684043805428346,0.007020800004666525,0.13665134763509407,True,NONE
57,veh_1,0,1,2.178427041226177,0.4570961118640274,2.0260181749841326,0.00873671860228372,0.1436721476397606,True,NONE
58,veh_1,0,1,1.9166955460309771,0.42399729361843047,1.756157965509666,0.008128714279266676,0.15240886624204433,True,NONE
59,veh_1,0,1,1.721618811660967,0.46094657236282544,1.5521727342392473,0.00890849690040866,0.160537580521311,True,NONE
60,veh_2,0,1,1.9986025884456187,0.16587628251652034,1.9956841996352153,0.002918388810403364,0.0,True,NONE
61,veh_2,0,1,1.9323664826693,0.3915063340317546,1.9220023676517917,0.007445726207104733,0.002918388810403364,True,NONE
62,veh_2,0,1,1.8474217131800474,0.15393746597823088,1.834345717986572,0.0027118801759673035,0.010364115017508098,True,NONE
63,veh_2,0,1,1.870962581616516,0.13954074321007262,1.8554668649318256,0.0024197214912150874,0.0130759951934754,True,NONE
64,veh_2,0,1,2.0016122991225234,0.07337085996320572,1.9850461744734635,0.0010704079643694216,0.015495716684690488,True,NONE
65,veh_2,0,1,1.8519789480209488,0.09110432357025822,1.833957528406165,0.0014552949657239312,0.01656612464905991,True,NONE
66,veh_2,0,1,2.0272505162451933,0.5060433970812865,1.9995081303148465,0.009720966315562761,0.018021419614783842,True,NONE
67,veh_2,0,1,1.9422325759509131,0.14395993367201262,1.9119933900251314,0.002496799995435226,0.0277423859303466,True,NONE
68,veh_2,0,1,1.837570717098605,0.3432632588894904,1.8008264312812898,0.00650509989153355,0.030239185925781828,True,NONE
69,veh_2,0,1,1.7218020834950474,0.5096263482224391,1.6752003107754383,0.009857486902293695,0.03674428581731538,True,NONE
70,veh_2,0,1,1.4342358330748284,0.24429837862447643,1.3830246977222742,0.004609362632945074,0.04660177271960907,True,NONE
71,veh_2,0,1,1.5611759102333813,0.4487368543802523,1.5012902958523926,0.008674479028434568,0.05121113535255415,True,NONE
72,veh_2,0,1,1.4019759200887354,0.18873114909418065,1.3385833994057441,0.0035069063020024644,0.059885614380988716,True,NONE
73,veh_2,0,1,1.5329785673085337,0.13433050012530962,1.4671928751980758,0.002393171427466577,0.06339252068299119,True,NONE
74,veh_2,0,1,1.5182023005730165,0.09023339401843129,1.4509021210063913,0.0015144874561673477,0.06578569211045776,True,NONE
75,veh_2,0,1,1.1587572906043635,0.4614537366103526,1.0824445252105734,0.009012585827164937,0.06730017956662512,True,NONE
76,veh_2,0,1,1.3853283378294126,0.2982853272693398,1.3033105279958348,0.00570504443978763,0.07631276539379005,True,NONE
77,veh_2,0,1,1.2499952951654434,0.39994112863548237,1.160210704900136,0.007766780431729619,0.08201780983357768,True,NONE
78,veh_2,0,1,1.1834535682316176,0.3631268379915838,1.0866237659596705,0.007045212006639741,0.08978459026530729,True,NONE
79,veh_2,0,1,1.4146390574621515,0.5110187147815689,1.3078504509847702,0.009958804205434425,0.09682980227194703,True,NONE
80,veh_2,0,1,1.2090237487237367,0.3396782867359801,1.0956607086533663,0.006574433592988928,0.10678860647738145,True,NONE
81,veh_2,0,1,1.2369082840970178,0.2659382669898204,1.118450168720595,0.0050950753060522895,0.11336304007037037,True,NONE
82,veh_2,0,1,1.148713890554469,0.3640774377437967,1.0231788621956095,0.007076912982436812,0.11845811537642267,True,NONE
83,veh_2,0,1,1.2880105218246114,0.3221937595757994,1.1562628708484057,0.006212622617346306,0.1255350283588595,True,NONE
84,veh_2,0,1,1.0540723597352537,0.21186888228083836,0.9182709853104933,0.004053723448554669,0.13174765097620578,True,NONE
85,veh_2,0,1,1.2631761480166603,0.45757334811918504,1.118446996028722,0.008927777563177957,0.13580137442476045,True,NONE
86,veh_2,0,1,1.2496881532335693,0.2604085435194571,1.0999708245401498,0.004988176705481112,0.1447291519879384,True,NONE
87,veh_2,0,1,1.0301083125324568,0.5020942117433268,0.8705232042450197,0.009867779594017533,0.14971732869341953,True,NONE
88,veh_2,0,1,1.0567867418238612,0.5081766538201864,0.8872155435687342,0.009986089967689982,0.15958510828743705,True,NONE
89,veh_2,0,1,1.1603940923736813,0.09594117826757798,0.989101890931389,0.0017210031871652818,0.16957119825512704,True,NONE
90,veh_3,0,1,0.8322525926605877,0.11024503903486414,0.8302137346268158,0.00203885803377192,0.0,True,NONE
91,veh_3,0,1,0.8581880624551789,0.49160530604849545,0.846486395579553,0.009662808841853998,0.00203885803377192,True,NONE
92,veh_3,0,1,0.7837227562501458,0.41195787629888503,0.7639347187923006,0.00808637058221924,0.01170166687562592,True,NONE
93,veh_3,0,1,0.7939791718335776,0.35619712809414517,0.7672206359410377,0.006970498434694696,0.01978803745784516,True,NONE
94,veh_3,0,1,0.8352249486736989,0.3373164841597188,0.8018804591898027,0.0065859535913564155,0.026758535892539854,True,NONE
95,veh_3,0,1,0.853971217219638,0.43368891267427523,0.8121153725567676,0.008511355178974151,0.03334448948389627,True,NONE
96,veh_3,0,1,0.90027682402552,0.4551321744337027,0.8494882335206797,0.008932745841969918,0.04185584466287042,True,NONE
97,veh_3,0,1,0.6988532734831929,0.11380966041001057,0.6459176733048134,0.0021470096735392488,0.050788590504840345,True,NONE
98,veh_3,0,1,0.7309975133724359,0.2765659847324666,0.6726651265247119,0.005396786669344389,0.052935600178379595,True,NONE
99,veh_3,0,1,0.8931270910556388,0.4470889940484011,0.8260181279525373,0.008776576255377514,0.05833238684772398,True,NONE
100,veh_3,0,1,0.8817830217111418,0.0996627441947163,0.8128433723986257,0.0018306862094146009,0.0671089631031015,True,NONE
101,veh_3,0,1,0.8017773265349718,0.249738998490822,0.7279884949516296,0.004849182270826115,0.06893964931251609,True,NONE
102,veh_3,0,1,0.820589421156217,0.17531429801756634,0.7434429922109658,0.0033575973619091337,0.07378883158334221,True,NONE
103,veh_3,0,1,0.7633874793156947,0.49828146627107367,0.676410703185659,0.009830347184784342,0.07714642894525135,True,NONE
104,veh_3,0,1,0.8796317633910322,0.1524320852370487,0.7897642984159388,0.0028906888450577865,0.08697677613003568,True,NONE
105,veh_3,0,1,0.8850313978652733,0.183522764804399,0.791651807955683,0.003512124934496843,0.08986746497509347,True,NONE
106,veh_3,0,1,0.6581484991380289,0.057232930069768526,0.5637369980266486,0.0010319112017900408,0.09337958990959032,True,NONE
107,veh_3,0,1,0.7547027966687276,0.14819337974481783,0.6574589197464002,0.0028323758109470762,0.09441150111138036,True,NONE
108,veh_3,0,1,0.5841375417112769,0.25037351726370866,0.4819825909618677,0.0049110738270818,0.09724387692232743,True,NONE
109,veh_3,0,1,0.5839181600212773,0.4057897304730994,0.47374216309502515,0.008021046176842983,0.10215495074940922,True,NONE
110,veh_3,0,1,0.7341943664998546,0.1081235912712118,0.6219802938069395,0.002038075766662848,0.11017599692625221,True,NONE
111,veh_3,0,1,0.6177855673158689,0.15744320068585954,0.5025231352362839,0.0030483593866699335,0.11221407269291507,True,NONE
112,veh_3,0,1,0.6275367863079002,0.41329612973446195,0.5041092534843229,0.008165100743992374,0.115262432079585,True,NONE
113,veh_3,0,1,0.482092047947726,0.4508950425609088,0.3497165575844473,0.008947957539701287,0.12342753282357738,True,NONE
114,veh_3,0,1,0.5972497099262764,0.26173377051003277,0.4597314904508871,0.005142729112110478,0.13237549036327867,True,NONE
115,veh_3,0,1,0.49842546084099115,0.20128740687701618,0.3569528838048227,0.003954357560779359,0.13751821947538911,True,NONE
116,veh_3,0,1,0.5449859268461958,0.17655731770065927,0.40006221589919405,0.0034511339108333466,0.14147257703616847,True,NONE
117,veh_3,0,1,0.5783374125079646,0.44331888580193357,0.42463225029498297,0.008781451265979675,0.14492371094700185,True,NONE
118,veh_3,0,1,0.5630426351143105,0.44037306443839463,0.400610133639289,0.008727339262040034,0.15370516221298153,True,NONE
119,veh_3,0,1,0.5239551748821437,0.2030587906178489,0.35753300419560435,0.003989669211517857,0.16243250147502153,True,NONE
120,veh_4,0,1,0.14931713087334864,0.24276069542550902,0.14449081512786402,0.0048263157454846075,0.0,True,NONE
121,veh_4,0,1,0.1456119722918556,0.38926428424088083,0.13302697625680474,0.007758680289566256,0.0048263157454846075,True,NONE
122,veh_4,0,1,0.18853505793264064,0.47918182085363614,0.16639970542160137,0.009550356475988403,0.012584996035050863,True,NONE
123,veh_4,0,1,0.18974265214724012,0.3753448239116195,0.16013242964389723,0.00747486999230361,0.022135352511039263,True,NONE
124,veh_4,0,1,0.1553456681595463,0.18033270481306107,0.12215322220438307,0.003582223451820345,0.029610222503342873,True,NONE
125,veh_4,0,1,0.17996535490139492,0.3241971542804292,0.14031702926647643,0.006455879679755289,0.03319244595516322,True,NONE
126,veh_4,0,1,0.20119935392901642,0.18700586834873448,0.1578424794230078,0.003708548871090088,0.03964832563491851,True,NONE
127,veh_4,0,1,0.20752836642662292,0.3752402628368765,0.15669802626913062,0.007473465651483704,0.04335687450600859,True,NONE
128,veh_4,0,1,0.1898982255750781,0.41959757978386647,0.1307020742367558,0.008365811180829979,0.050830340157492306,True,NONE
129,veh_4,0,1,0.1994715972660581,0.1611637936700128,0.13707958597152986,0.0031958599562059496,0.05919615133832228,True,NONE
130,veh_4,0,1,0.20800300178445133,0.15251419194373922,0.1425892244959475,0.0030217659939755946,0.06239201129452823,True,NONE
131,veh_4,0,1,0.21135694800825744,0.21531631407630608,0.14166517747372223,0.0042779932460313775,0.06541377728850382,True,NONE
132,veh_4,0,1,0.19436204138398214,0.31064942935804957,0.11848097845797755,0.006189292391469396,0.0696917705345352,True,NONE
133,veh_4,0,1,0.18554317561228625,0.10835467480156645,0.10751652249474929,0.002145590191532379,0.07588106292600459,True,NONE
134,veh_4,0,1,0.19476096986857883,0.1473037404865165,0.11381100414213995,0.0029233126089019024,0.07802665311753697,True,NONE
135,veh_4,0,1,0.17122707617246394,0.16104988011075078,0.08707352754931992,0.0032035828967051515,0.08094996572643887,True,NONE
136,veh_4,0,1,0.20132687759142598,0.3457203404499318,0.11028097835495433,0.006892350613327645,0.08415354862314402,True,NONE
137,veh_4,0,1,0.19297191863376206,0.23474931371084476,0.09725048321971745,0.004675536177572951,0.09104589923647165,True,NONE
138,veh_4,0,1,0.21946498156275626,0.2977205047608049,0.11781269859321421,0.005930847555497456,0.0957214354140446,True,NONE
139,veh_4,0,1,0.21312965320045685,0.13858313106387174,0.1087274531002574,0.0027499171306573835,0.10165228296954205,True,NONE
140,veh_4,0,1,0.1941541497588295,0.2827945332775413,0.08411288156939312,0.005639068089236947,0.10440220010019945,True,NONE
141,veh_4,0,1,0.23000297183902255,0.35153951470442196,0.11295350405630897,0.007008199593277178,0.1100412681894364,True,NONE
142,veh_4,0,1,0.2335365300936716,0.08392101921553909,0.1148316082482969,0.0016554540626611222,0.11704946778271356,True,NONE
143,veh_4,0,1,0.24150462469475606,0.4093574968571335,0.11463548000824035,0.008164222841141022,0.11870492184537469,True,NONE
