task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,veh_0,4,2,1.1970139702512854,3.067055702832823,1.1946153220627016,0.0023986481885837165,0.0,True,NONE
1,veh_0,4,2,1.1377257201426056,3.089732184186554,1.1312008853207742,0.004126186633247635,0.0023986481885837165,True,NONE
2,veh_0,4,2,1.251895668613188,3.036874087173247,1.2444534774961458,0.0009173562952106655,0.006524834821831352,True,NONE
3,veh_0,4,2,1.2670668130891902,3.272398550634044,1.2566404391314188,0.0029841828407295217,0.007442191117042018,True,NONE
4,veh_0,4,2,1.1963737546778679,3.143461063549401,1.1824979067262695,0.00344947399382696,0.01042637395777154,True,NONE
5,veh_0,4,2,1.0857439082074218,2.7522262844915675,1.069660510767914,0.0022075494879094147,0.0138758479515985,True,NONE
6,veh_0,4,2,1.0187403189599713,2.542550734204987,1.0009192895878025,0.0017376319326610366,0.016083397439507912,True,NONE
7,veh_0,4,2,1.2900416280787546,3.3043651593464434,1.2692143248595995,0.0030062738469859083,0.01782102937216895,True,NONE
8,veh_0,4,2,1.0679404044801577,2.595237017726153,1.0459134435118498,0.001199657749153017,0.020827303219154856,True,NONE
9,veh_0,4,2,1.1729126781608932,3.151107711888743,1.1465080361411868,0.004377681051398497,0.022026960968307877,True,NONE
10,veh_0,4,2,0.9284872442477333,2.20439674177657,0.9013705785386157,0.0007120236894113056,0.02640464201970637,True,NONE
11,veh_0,4,2,1.0273338320926013,2.578581680879683,0.9980513520314575,0.0021658143520259716,0.027116665709117676,True,NONE
12,veh_0,4,2,0.9609450352412087,2.5125944437795953,0.9285108596026235,0.0031516955774415893,0.02928248006114365,True,NONE
13,veh_0,4,2,1.1647838187039166,2.9642408227251096,1.129436616653785,0.0029130264115461535,0.032434175638585236,True,NONE
14,veh_0,0,1,1.0216582667415244,0.13685009985771976,0.98377081685761,0.0025402478337828733,0.035347202050131386,True,NONE
15,veh_0,4,2,0.8573122602391003,2.4323574074466894,0.8169761389597409,0.0049889192292279965,0.035347202050131386,True,NONE
16,veh_0,0,1,1.0620025736802416,0.409311382249442,1.0111422053631833,0.007983999203916204,0.04287636911314226,True,NONE
17,veh_0,0,1,0.9831524505887175,0.07992976927323557,0.9308796628187581,0.0014124194529009598,0.05086036831705846,True,NONE
18,veh_0,0,1,0.7263610816023842,0.1986563637905858,0.6702492163998931,0.003839077432531737,0.05227278776995942,True,NONE
19,veh_0,4,2,0.7313825537156509,1.806383202576756,0.689295551222296,0.0017508812139954146,0.040336121279359385,True,NONE
20,veh_0,4,2,0.7629094264707215,2.168991263882944,0.7160793302628589,0.004743093714507745,0.0420870024933548,True,NONE
21,veh_0,4,2,0.7637432902757056,1.9921092464937893,0.713887037464109,0.0030261566037341784,0.04683009620786254,True,NONE
22,veh_0,4,2,0.7362614360813116,1.7083280206143157,0.6855461193735586,0.0008590638961563237,0.049856252811596724,True,NONE
23,veh_0,0,1,0.7315479152946227,0.47805083410436555,0.6556269633743255,0.009429891289412446,0.06649106063088482,True,NONE
24,veh_0,4,2,0.8673682349567463,2.1831139149985366,0.8140880849123499,0.0025648333366432943,0.05071531670775305,True,NONE
25,veh_0,4,2,0.770068515483537,2.1396353025967976,0.7122481624629295,0.004540202976211147,0.05328015004439634,True,NONE
26,veh_0,4,2,0.7433193452370895,1.968434879788871,0.681953844523079,0.0035451476934031012,0.057820353020607486,True,NONE
