scenario,workload,seed,realization_file,total_mobility_eval_steps,gat_activation_count,fallback_count,gat_activation_ratio,fallback_ratio,max_trajectory_history_len,history_threshold_satisfied
corridor_2400m,20,42,realization_corridor_2400m_w20_seed42.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,43,realization_corridor_2400m_w20_43.json,200,140,60,0.7,0.3,5,True
corridor_2400m,20,44,realization_corridor_2400m_w20_44.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,45,realization_corridor_2400m_w20_45.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,46,realization_corridor_2400m_w20_46.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,47,realization_corridor_2400m_w20_seed47.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,48,realization_corridor_2400m_w20_seed48.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,49,realization_corridor_2400m_w20_seed49.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,50,realization_corridor_2400m_w20_seed50.json,200,160,40,0.8,0.2,5,True
corridor_2400m,20,51,realization_corridor_2400m_w20_seed51.json,200,160,40,0.8,0.2,5,True
corridor_2400m,30,42,realization_corridor_2400m_w30_42.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,43,realization_corridor_2400m_w30_43.json,300,210,90,0.7,0.3,5,True
corridor_2400m,30,44,realization_corridor_2400m_w30_44.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,45,realization_corridor_2400m_w30_45.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,46,realization_corridor_2400m_w30_46.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,47,realization_corridor_2400m_w30_seed47.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,48,realization_corridor_2400m_w30_seed48.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,49,realization_corridor_2400m_w30_seed49.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,50,realization_corridor_2400m_w30_seed50.json,300,240,60,0.8,0.2,5,True
corridor_2400m,30,51,realization_corridor_2400m_w30_seed51.json,300,240,60,0.8,0.2,5,True
corridor_2400m,40,42,realization_corridor_2400m_w40_42.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,43,realization_corridor_2400m_w40_43.json,400,280,120,0.7,0.3,5,True
corridor_2400m,40,44,realization_corridor_2400m_w40_44.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,45,realization_corridor_2400m_w40_45.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,46,realization_corridor_2400m_w40_46.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,47,realization_corridor_2400m_w40_seed47.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,48,realization_corridor_2400m_w40_seed48.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,49,realization_corridor_2400m_w40_seed49.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,50,realization_corridor_2400m_w40_seed50.json,400,320,80,0.8,0.2,5,True
corridor_2400m,40,51,realization_corridor_2400m_w40_seed51.json,400,320,80,0.8,0.2,5,True
grid_200m,20,42,realization_grid_200m_w20_42.json,200,120,80,0.6,0.4,5,True
grid_200m,20,43,realization_grid_200m_w20_43.json,200,120,80,0.6,0.4,5,True
grid_200m,20,44,realization_grid_200m_w20_44.json,200,120,80,0.6,0.4,5,True
grid_200m,20,45,realization_grid_200m_w20_45.json,200,120,80,0.6,0.4,5,True
grid_200m,20,46,realization_grid_200m_w20_46.json,200,120,80,0.6,0.4,5,True
