episode,reward,loss,epsilon,buffer_size
1,-4654.110363103847,326368.15625,0.0,0
2,-3898.7218939997833,969579.0,0.0,0
3,-4086.1150409517086,660684.8125,0.0,0
4,-4096.342000114021,118858.609375,0.0,0
5,-3549.6840228221313,206999.3125,0.0,0
6,-3725.8233668634234,274078.9375,0.0,0
7,-4287.97009353664,172413.453125,0.0,0
8,-3777.300940260542,58437.0859375,0.0,0
9,-4588.219517290966,90673.1171875,0.0,0
10,-3573.2536878622655,71075.3828125,0.0,0
11,-3491.6376973858946,42675.40234375,0.0,0
12,-4629.20793098236,70508.96875,0.0,0
13,-3944.514283520354,43805.1484375,0.0,0
14,-3884.2834165620334,55404.5234375,0.0,0
15,-3856.876409823199,47374.703125,0.0,0
16,-3475.9186869712744,28951.845703125,0.0,0
17,-4484.882543620467,55089.47265625,0.0,0
18,-4768.269438221488,101226.1875,0.0,0
19,-3669.204699777191,36189.97265625,0.0,0
20,-3973.314746446798,36104.4453125,0.0,0
