Config,Vehicles,Tasks/Veh,RSU CPU (GHz),Init Queue (s),Delay (s),Energy (J),Completion,Violation,Reward,Collab Rate,Mean Queue (Gcyc),Max Queue (Gcyc)
A. Table III Nominal,20,20,2.0,0.0,4.418,0.316,100%,0%,-47.34,0%,0.0,0.0
B. 10 Veh / 20 Tasks,10,20,2.0,0.0,4.382,0.312,100%,0%,-46.94,0%,0.0,0.0
C. 20 Veh / 30 Tasks,20,30,2.0,0.0,4.421,0.318,100%,0%,-71.09,0%,0.0,0.0
D. 30 Veh / 40 Tasks,30,40,2.0,0.0,4.487,0.325,100%,0%,-96.24,0%,0.0,0.0
E. RSU CPU = 1.0 GHz,20,20,1.0,0.0,4.423,0.566,100%,0%,-49.89,0%,0.0,0.0
F. RSU CPU = 2.0 GHz,20,20,2.0,0.0,4.418,0.316,100%,0%,-47.34,0%,0.0,0.0
G. RSU CPU = 4.0 GHz,20,20,4.0,0.0,4.415,0.191,100%,0%,-46.06,0%,0.0,0.0
H. High Queue Init (10s),20,20,2.0,10.0,14.418,0.316,100%,0%,-147.34,35%,20.0,25.0
I. High Task Load (80t),20,80,2.0,0.0,4.512,0.329,100%,0%,-193.68,0%,0.0,0.0
"J. Combined High-Load (30v, 40t, 1GHz, 10s)",30,40,1.0,10.0,14.523,0.584,100%,0%,-302.14,58%,20.0,30.0
