seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,1,cotop,-48.43994178520832,4.546829914896827,0.29716426362400544,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,1,local,-49.199536240979455,4.571008729933797,0.34894489416414853,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,1,greedy,-89.40327368248052,4.465643890645168,4.474683477602882,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,1,wo_md,-45.79323683623208,4.258549684114534,0.32077399950867486,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,1,wo_tp,-107.66531646033079,4.785593271401608,5.980938374631468,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,1,wo_co,-48.94520946701652,4.535580438398431,0.35894050830322033,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,2,cotop,-46.36574208282546,4.348772431068836,0.2878017772137108,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,2,local,-48.62490654271414,4.518434437011879,0.34405621725953545,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,2,greedy,-85.60182886914147,4.215498043174732,4.3446848437394125,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,2,wo_md,-49.55614479023741,4.561834640201749,0.3937798388219919,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,2,wo_tp,-94.62349606562358,4.204550968004241,5.257798638558116,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,2,wo_co,-47.75044016462758,4.4238499302352325,0.3511940862275251,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,3,cotop,-49.29597875681317,4.584876678978043,0.3447211967032763,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,3,local,-51.0634115789569,4.7356872632600755,0.3706538946356155,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,3,greedy,-79.46593498363904,3.94486773371539,4.0017257646485165,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,3,wo_md,-50.041699760766086,4.661345814617006,0.34282416145960304,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,3,wo_tp,-107.68555000562374,4.786603556798596,5.981951443763778,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,3,wo_co,-44.47741049661693,4.1931426635216,0.25459838614009356,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,4,cotop,-46.856488665813686,4.3840263668805415,0.3016224997008278,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,4,local,-44.81763546881873,4.182405875436282,0.2993576714455897,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,4,greedy,-97.99242219575888,4.805563130549059,4.993679089026827,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,4,wo_md,-48.31844754385896,4.5225366663011854,0.3093080880847107,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
