Method,Seed,Mean Delay (s),Mean Energy (J),Completion Ratio (%),Violation Ratio (%),Mean Reward
cotop,42,4.416873959692182,0.32224457984491495,100.0,0.0,-47.39118539537097
cotop,43,4.329793873789225,0.31469864536742387,100.0,0.0,-46.4449251915665
cotop,44,4.411210226718902,0.3242405376578006,100.0,0.0,-47.35450764376703
cotop,45,4.488609763059771,0.319722471082921,100.0,0.0,-48.08332234142691
cotop,46,4.362122918229181,0.31387750204632014,100.0,0.0,-46.76000420275503
local,42,4.420350036338837,0.312057404004151,100.0,0.0,-47.324074403429876
local,43,4.4318879305860435,0.32364378534857985,100.0,0.0,-47.555317159346224
local,44,4.459214177741902,0.3200360920916006,100.0,0.0,-47.792502698335035
local,45,4.415037973847451,0.31862083489348386,100.0,0.0,-47.33658808740934
local,46,4.398173217856376,0.324609371084473,100.0,0.0,-47.22782588940851
greedy,42,4.4184412013124055,4.544698031379236,100.0,0.0,-89.63139232691643
greedy,43,4.458571984237995,4.622945103976875,100.0,0.0,-90.8151708821487
greedy,44,4.328623667112482,4.437775622348414,100.0,0.0,-87.66399289460897
greedy,45,4.396142760705164,4.52117888121715,100.0,0.0,-89.17321641922314
greedy,46,4.363656415247524,4.498401573288899,100.0,0.0,-88.62057988536422
wo_md,42,4.472077822755416,0.3203910252308729,100.0,0.0,-47.92468847986289
wo_md,43,4.3948179325569185,0.32067413447597176,100.0,0.0,-47.15492067032891
wo_md,44,4.384311064407786,0.32129346981959533,100.0,0.0,-47.056045342273826
wo_md,45,4.404542682014853,0.32070424949527876,100.0,0.0,-47.25246931510132
wo_md,46,4.40589140162933,0.31954748280724155,100.0,0.0,-47.25438884436572
wo_tp,42,4.445685654551945,5.596056754487966,100.0,0.0,-100.41742409039911
wo_tp,43,4.409877207923793,5.555675206275796,100.0,0.0,-99.6555241419959
wo_tp,44,4.458713770002546,5.605317737032021,100.0,0.0,-100.64031507034564
wo_tp,45,4.398000825515511,5.53419923559964,100.0,0.0,-99.32200061115151
wo_tp,46,4.445520349722917,5.601544709824443,100.0,0.0,-100.4706505954736
wo_co,42,4.479031944515462,0.31862235474841816,100.0,0.0,-47.976542992638805
wo_co,43,4.364927530638653,0.3198135210013795,100.0,0.0,-46.84741051640032
wo_co,44,4.452149465332548,0.31732296369889196,100.0,0.0,-47.69472429031439
wo_co,45,4.362497396806206,0.3109675995877403,100.0,0.0,-46.734649963939475
wo_co,46,4.414240380796535,0.3166170352812762,100.0,0.0,-47.308574160778115
