Configuration,Method,Seed,Evaluation Episodes,Mean Delay (s),Mean Energy (J),Completion Ratio (%),Violation Ratio (%),Mean Reward,Collaboration Rate (%)
Config A (Idle Baseline),cotop,42,50,4.4169,0.3222,100.0,0.0,-47.3912,0.0
Config A (Idle Baseline),cotop,43,50,4.3298,0.3147,100.0,0.0,-46.4449,0.0
Config A (Idle Baseline),cotop,44,50,4.4112,0.3242,100.0,0.0,-47.3545,0.0
Config A (Idle Baseline),cotop,45,50,4.4886,0.3197,100.0,0.0,-48.0833,0.0
Config A (Idle Baseline),cotop,46,50,4.3621,0.3139,100.0,0.0,-46.76,2.0
Config A (Idle Baseline),local,42,50,4.4204,0.3121,100.0,0.0,-47.3241,0.0
Config A (Idle Baseline),local,43,50,4.4319,0.3236,100.0,0.0,-47.5553,0.0
Config A (Idle Baseline),local,44,50,4.4592,0.32,100.0,0.0,-47.7925,0.0
Config A (Idle Baseline),local,45,50,4.415,0.3186,100.0,0.0,-47.3366,0.0
Config A (Idle Baseline),local,46,50,4.3982,0.3246,100.0,0.0,-47.2278,0.0
Config A (Idle Baseline),greedy,42,50,4.4184,4.5447,100.0,0.0,-89.6314,95.0
Config A (Idle Baseline),greedy,43,50,4.4586,4.6229,100.0,0.0,-90.8152,95.0
Config A (Idle Baseline),greedy,44,50,4.3286,4.4378,100.0,0.0,-87.664,95.0
Config A (Idle Baseline),greedy,45,50,4.3961,4.5212,100.0,0.0,-89.1732,95.0
Config A (Idle Baseline),greedy,46,50,4.3637,4.4984,100.0,0.0,-88.6206,95.0
Config A (Idle Baseline),wo_md,42,50,4.4721,0.3204,100.0,0.0,-47.9247,0.0
Config A (Idle Baseline),wo_md,43,50,4.3948,0.3207,100.0,0.0,-47.1549,0.0
Config A (Idle Baseline),wo_md,44,50,4.3843,0.3213,100.0,0.0,-47.056,0.0
Config A (Idle Baseline),wo_md,45,50,4.4045,0.3207,100.0,0.0,-47.2525,0.0
Config A (Idle Baseline),wo_md,46,50,4.4059,0.3195,100.0,0.0,-47.2544,0.0
Config A (Idle Baseline),wo_tp,42,50,4.4457,5.5961,100.0,0.0,-100.4174,100.0
Config A (Idle Baseline),wo_tp,43,50,4.4099,5.5557,100.0,0.0,-99.6555,100.0
Config A (Idle Baseline),wo_tp,44,50,4.4587,5.6053,100.0,0.0,-100.6403,100.0
Config A (Idle Baseline),wo_tp,45,50,4.398,5.5342,100.0,0.0,-99.322,100.0
Config A (Idle Baseline),wo_tp,46,50,4.4455,5.6015,100.0,0.0,-100.4707,100.0
Config A (Idle Baseline),wo_co,42,50,4.479,0.3186,100.0,0.0,-47.9765,0.0
Config A (Idle Baseline),wo_co,43,50,4.3649,0.3198,100.0,0.0,-46.8474,0.0
Config A (Idle Baseline),wo_co,44,50,4.4521,0.3173,100.0,0.0,-47.6947,0.0
Config A (Idle Baseline),wo_co,45,50,4.3625,0.311,100.0,0.0,-46.7346,0.0
Config A (Idle Baseline),wo_co,46,50,4.4142,0.3166,100.0,0.0,-47.3086,0.0
