Seed,Epoch,Total Episodes Equivalent,Mean Reward,Mean Delay (s),Mean Energy (J),Critic Value Loss (MSE),Policy Loss,Action Entropy
42,1,10,-73.5546,4.7317,0.3676,11.185796,-0.248958,1.0129
42,2,20,-71.8333,4.7229,0.3628,10.009326,-0.236637,0.9683
42,3,30,-70.8482,4.6791,0.3579,8.956529,-0.225646,0.9311
42,4,40,-69.8578,4.6681,0.362,8.01471,-0.212049,0.8835
42,5,50,-68.5493,4.6682,0.3546,7.171993,-0.202568,0.8524
42,6,60,-67.4107,4.6713,0.3548,6.417502,-0.189488,0.8129
42,7,70,-66.1428,4.6196,0.3502,5.742862,-0.179975,0.787
42,8,80,-65.1874,4.6234,0.3481,5.13876,-0.173216,0.7603
42,9,90,-64.1236,4.5967,0.35,4.598416,-0.164987,0.7286
42,10,100,-63.0757,4.6121,0.346,4.114851,-0.154776,0.7026
42,11,110,-62.4959,4.5901,0.3439,3.681946,-0.146062,0.6781
42,12,120,-61.5985,4.5917,0.3454,3.294835,-0.139631,0.6541
42,13,130,-60.815,4.5876,0.338,2.948628,-0.133244,0.6213
42,14,140,-60.0588,4.5429,0.3415,2.638473,-0.123901,0.5979
42,15,150,-59.507,4.5491,0.3426,2.361011,-0.121709,0.582
42,16,160,-58.7063,4.5556,0.3382,2.112601,-0.115562,0.5521
42,17,170,-58.0555,4.5407,0.3385,1.89045,-0.112055,0.5385
42,18,180,-57.5593,4.5227,0.3371,1.691772,-0.100197,0.5236
42,19,190,-56.9187,4.5231,0.3326,1.513786,-0.098879,0.5181
42,20,200,-56.4529,4.5202,0.3354,1.354367,-0.092013,0.4936
42,21,210,-55.8282,4.5019,0.3374,1.211869,-0.088677,0.4856
42,22,220,-55.5806,4.4994,0.3339,1.084578,-0.088745,0.4607
42,23,230,-55.1395,4.5043,0.3311,0.970924,-0.08323,0.4452
42,24,240,-54.4964,4.482,0.3326,0.868805,-0.081114,0.435
42,25,250,-54.1627,4.4971,0.329,0.776942,-0.073294,0.4234
42,26,260,-53.7873,4.488,0.3294,0.695521,-0.070383,0.4069
42,27,270,-53.2603,4.4848,0.3278,0.62247,-0.069732,0.4036
42,28,280,-53.001,4.4677,0.3315,0.556975,-0.063124,0.3989
42,29,290,-52.8252,4.4643,0.3272,0.498166,-0.062071,0.3814
42,30,300,-52.4716,4.4764,0.3285,0.446216,-0.059748,0.3841
42,31,310,-52.1535,4.456,0.3258,0.399128,-0.057114,0.3654
42,32,320,-51.8987,4.4604,0.3258,0.356766,-0.055146,0.3579
42,33,330,-51.6674,4.4455,0.3273,0.319596,-0.053738,0.3467
42,34,340,-51.4396,4.4435,0.3273,0.28603,-0.047644,0.3438
42,35,350,-51.334,4.4427,0.3272,0.255954,-0.046737,0.3509
42,36,360,-50.9515,4.4607,0.3277,0.229076,-0.046464,0.3288
42,37,370,-50.858,4.4444,0.3244,0.204886,-0.039376,0.3095
42,38,380,-50.5458,4.4283,0.3241,0.183543,-0.042147,0.3075
42,39,390,-50.4739,4.4489,0.3233,0.16409,-0.040549,0.3041
42,40,400,-50.079,4.4463,0.3204,0.146833,-0.040416,0.3064
42,41,410,-50.1403,4.4367,0.3251,0.131531,-0.040029,0.2955
42,42,420,-49.9605,4.4294,0.3274,0.117626,-0.038765,0.297
42,43,430,-49.6237,4.4444,0.3205,0.105087,-0.032399,0.2844
42,44,440,-49.6079,4.4401,0.3215,0.09411,-0.040176,0.2786
42,45,450,-49.5262,4.4183,0.3264,0.083938,-0.033401,0.2804
42,46,460,-49.2841,4.4148,0.3252,0.075369,-0.033375,0.2783
42,47,470,-49.2531,4.4217,0.3228,0.067365,-0.030136,0.2757
42,48,480,-49.0487,4.4139,0.3267,0.059959,-0.029674,0.272
42,49,490,-49.0317,4.4188,0.3219,0.053904,-0.029611,0.2701
42,50,500,-48.9275,4.4168,0.3239,0.048385,-0.025918,0.266
42,51,510,-48.9105,4.417,0.3234,0.043364,-0.026746,0.2606
42,52,520,-48.6862,4.4156,0.3229,0.038654,-0.026345,0.2628
42,53,530,-48.6315,4.4286,0.3242,0.03463,-0.023794,0.2532
42,54,540,-48.5838,4.4181,0.3217,0.031103,-0.026083,0.2628
42,55,550,-48.5908,4.4063,0.3237,0.027884,-0.022526,0.2532
42,56,560,-48.4582,4.4086,0.3214,0.024675,-0.021188,0.2471
42,57,570,-48.44,4.4135,0.3219,0.022089,-0.02418,0.247
42,58,580,-48.3116,4.4109,0.3201,0.019913,-0.024863,0.2368
42,59,590,-48.3086,4.4131,0.3215,0.018072,-0.019713,0.2413
42,60,600,-48.21,4.4045,0.3207,0.01585,-0.020273,0.2362
42,61,610,-48.1245,4.4291,0.3205,0.014315,-0.019056,0.2367
42,62,620,-48.0908,4.4133,0.3208,0.012583,-0.019932,0.2396
42,63,630,-47.972,4.4222,0.3248,0.011245,-0.017805,0.2366
42,64,640,-47.8847,4.4039,0.3187,0.01008,-0.023389,0.2317
42,65,650,-48.0097,4.413,0.321,0.009502,-0.016855,0.2301
42,66,660,-47.9764,4.4159,0.3176,0.008534,-0.016032,0.2294
42,67,670,-47.9831,4.424,0.32,0.007556,-0.021234,0.2276
42,68,680,-47.8502,4.4105,0.3192,0.006665,-0.019854,0.2287
42,69,690,-47.8092,4.4147,0.3215,0.005627,-0.020478,0.2348
42,70,700,-47.7648,4.4017,0.3231,0.00526,-0.014758,0.2277
42,71,710,-47.6391,4.4263,0.3195,0.00488,-0.01555,0.2333
42,72,720,-47.7755,4.4153,0.322,0.003842,-0.018945,0.2154
42,73,730,-47.7098,4.4152,0.3229,0.003767,-0.013074,0.2178
42,74,740,-47.7611,4.4072,0.3206,0.003351,-0.020232,0.2235
42,75,750,-47.7144,4.4141,0.3205,0.002817,-0.016904,0.2179
42,76,760,-47.624,4.4167,0.3178,0.002789,-0.016727,0.2185
42,77,770,-47.6042,4.3965,0.3186,0.002166,-0.011539,0.222
42,78,780,-47.6147,4.4087,0.3194,0.002109,-0.014053,0.2249
42,79,790,-47.5858,4.4006,0.3191,0.001466,-0.018134,0.2274
