Method,Seed,Evaluation Episodes,Mean Delay (s),Delay Std (s),Mean Energy (J),Energy Std (J),Mean Reward,Completion Ratio (%),Violation Ratio (%)
COTOP,42,50,4.4905,1.695,0.3007,0.0343,-2.3956,100.0,0.0
COTOP,123,50,4.7422,1.3996,0.2952,0.0314,-2.5187,100.0,0.0
COTOP,456,50,4.2979,1.5057,0.2901,0.0317,-2.294,100.0,0.0
COTOP,789,50,4.2172,1.4523,0.2969,0.0292,-2.257,100.0,0.0
COTOP,2026,50,4.4712,1.5132,0.2997,0.0332,-2.3854,100.0,0.0
LOCAL,42,50,4.4911,1.6954,0.3007,0.0343,-2.3959,100.0,0.0
LOCAL,123,50,4.7421,1.3995,0.2952,0.0314,-2.5187,100.0,0.0
LOCAL,456,50,4.298,1.5055,0.2901,0.0317,-2.294,100.0,0.0
LOCAL,789,50,4.217,1.4524,0.2969,0.0292,-2.2569,100.0,0.0
LOCAL,2026,50,4.4712,1.5137,0.2997,0.0332,-2.3854,100.0,0.0
GREEDY,42,50,4.5193,1.7011,3.3803,0.7911,-3.9498,100.0,0.0
GREEDY,123,50,4.7702,1.4044,3.3507,0.7474,-4.0605,100.0,0.0
GREEDY,456,50,4.3263,1.5106,3.3642,0.7479,-3.8453,100.0,0.0
GREEDY,789,50,4.2452,1.4567,3.3767,0.6647,-3.811,100.0,0.0
GREEDY,2026,50,4.4987,1.519,3.3066,0.7367,-3.9026,100.0,0.0
