episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
1,0,corridor_2400m,-4025.639741366655,-4025.639741366655,-5.4161553382873535,333499.5,-0.0,166744.328125,600,1,3.6336
2,0,corridor_2400m,-4881.375830456861,-4453.507785911758,-0.14789001643657684,347978.71875,5.2660796289326626e-42,173989.21875,600,2,3.0723
3,0,corridor_2400m,-3371.328727847941,-4092.7814332238195,-1.9726758003234863,348834.46875,-0.0,174415.265625,600,3,2.9818
4,0,corridor_2400m,-4625.2780389563395,-4225.90558465695,-3.5872957706451416,257429.578125,-0.0,128711.203125,600,4,2.9939
5,0,corridor_2400m,-3744.956768290272,-4129.715821383614,-2.007359743118286,125025.8671875,-0.0,62510.92578125,600,5,2.9984
6,0,corridor_2400m,-3693.40934333,-4056.998075041345,-1.3825393915176392,113654.453125,-0.0,56825.84375,600,6,3.0737
7,0,corridor_2400m,-3977.6110717488673,-4045.657074570991,-0.7429707646369934,161041.734375,-0.0,80520.125,600,7,2.9963
8,0,corridor_2400m,-4041.196413739613,-4045.0994919670684,-0.10209274291992188,155820.40625,-0.0,77910.1015625,600,8,3.0101
9,0,corridor_2400m,-3764.621999566424,-4013.935326144774,-0.6523376703262329,112997.46875,-0.0,56498.08203125,600,9,3.064
10,0,corridor_2400m,-4121.019242811709,-4024.6437178114675,-1.8081449270248413,124380.1328125,-0.0,62188.2578125,600,10,3.0317
11,0,corridor_2400m,-4144.436957355804,-4035.5340123154983,-0.17296673357486725,101331.078125,-0.0,50665.3671875,600,11,3.1318
12,0,corridor_2400m,-4192.406239173442,-4048.6066978869935,-0.11797270178794861,115982.921875,-0.0,57991.34375,600,12,2.9903
13,0,corridor_2400m,-3907.424575014405,-4037.7465345891023,-0.048172950744628906,122054.5859375,-0.0,61027.24609375,600,13,3.0043
14,0,corridor_2400m,-3560.250214620497,-4003.639654591345,0.1170719563961029,125750.5859375,-0.0,62875.41015625,600,14,3.0379
15,0,corridor_2400m,-4714.629448423365,-4051.0389741801464,-1.1156913042068481,112442.6171875,-0.0,56220.19140625,600,15,3.0619
16,0,corridor_2400m,-4423.776211413526,-4074.3350515072325,0.03636319190263748,97138.1953125,-0.0,48569.1328125,600,16,3.0721
17,0,corridor_2400m,-3624.3010054090837,-4047.8624605602827,0.07227538526058197,69905.015625,-0.0,34952.58203125,600,17,3.0698
18,0,corridor_2400m,-3965.0625601588044,-4043.2624660935344,-0.07237739861011505,86644.75,1.7892680740564564e-27,43322.30078125,600,18,3.0076
19,0,corridor_2400m,-3895.5831962009465,-4035.4898729412926,0.0013175260974094272,82785.8671875,-0.0,41392.93359375,600,19,2.9907
20,0,corridor_2400m,-3702.281821630644,-4018.82947037576,-0.07814209908246994,85759.6875,-0.0,42879.765625,600,20,3.0397
21,0,corridor_2400m,-3798.7010748395273,-4008.3471658264157,0.017565641552209854,62800.69921875,-0.0,31400.3671875,600,21,3.1565
22,0,corridor_2400m,-4194.656799794681,-4016.815785552246,-0.004915124271064997,93478.15625,-0.0,46739.07421875,600,22,3.147
23,0,corridor_2400m,-3501.0127200684797,-3994.3895653138215,0.0021261130459606647,67445.4296875,-0.0,33722.71875,600,23,3.1602
24,0,corridor_2400m,-4177.291463251452,-4002.010477727889,0.0007573760813102126,117273.7734375,-0.0,58636.88671875,600,24,3.2423
25,0,corridor_2400m,-4285.082704667531,-4013.3333668054747,0.02132326178252697,87752.15625,-0.0,43876.09765625,600,25,3.9071
26,0,corridor_2400m,-4235.5293352649605,-4021.879365592378,-0.24904870986938477,82903.84375,-0.0,41451.671875,600,26,3.6792
27,0,corridor_2400m,-3814.663855657194,-4014.2047170762603,0.17058292031288147,73182.0390625,-0.0,36591.19140625,600,27,5.0266
