episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
1,2,grid_200m,-1495.9207432193775,-1495.9207432193775,-0.7236809730529785,320944.375,-0.0,160471.46875,600,1,3.5294
2,2,grid_200m,-1509.3703521899165,-1502.645547704647,-0.001290415064431727,127830.734375,-0.0,63915.3671875,600,2,2.9356
3,2,grid_200m,-1481.5506881884312,-1495.6139278659084,-0.03181596100330353,160346.859375,-0.0,80173.3984375,600,3,2.9608
4,2,grid_200m,-1489.870599997995,-1494.17809589893,1.442121982574463,177240.578125,-0.0,88621.734375,600,4,2.8611
5,2,grid_200m,-1484.3663201879433,-1492.2157407567327,-6.169830885482952e-05,114291.5625,-0.0,57145.78125,600,5,2.8167
6,2,grid_200m,-1493.3047043386146,-1492.3972346870462,0.03660353645682335,64732.0078125,-0.0,32366.041015625,600,6,2.6853
7,2,grid_200m,-1507.3541684169193,-1494.5339395055996,0.003503815270960331,50189.02734375,-0.0,25094.517578125,600,7,2.6684
8,2,grid_200m,-1502.6946292226041,-1495.5540257202251,-0.018216950818896294,51707.69921875,-0.0,25853.83203125,600,8,2.9319
9,2,grid_200m,-1497.8635202331861,-1495.8106362216652,0.012058379128575325,64821.0,-0.0,32410.51171875,600,9,2.934
10,2,grid_200m,-1498.514160074597,-1496.0809886069585,-0.04585939273238182,59927.6875,-0.0,29963.798828125,600,10,2.8356
11,2,grid_200m,-1488.0351520981499,-1495.3495489243396,-0.16524885594844818,55882.88671875,-0.0,27941.27734375,600,11,2.8102
12,2,grid_200m,-1458.085769785739,-1492.2442339961228,-0.004014821723103523,33932.109375,-0.0,16966.05078125,600,12,2.834
13,2,grid_200m,-1522.0164738108547,-1494.5344062895638,0.0022683811839669943,28715.189453125,2.693828141848742e-40,14357.5966796875,600,13,3.4997
14,2,grid_200m,-1479.4822064942036,-1493.4592491613237,0.001208831905387342,24496.6484375,-0.0,12248.3251953125,600,14,3.2313
15,2,grid_200m,-1494.830513704598,-1493.550666797542,0.21062982082366943,30000.216796875,-0.0,15000.3193359375,600,15,3.0842
16,2,grid_200m,-1473.5739179846823,-1492.3021199967382,0.0001121887908084318,31163.32421875,-0.0,15581.662109375,600,16,2.6688
17,2,grid_200m,-1471.8117954715506,-1491.096806789374,0.07900030165910721,27959.6796875,-0.0,13979.9189453125,600,17,2.6798
18,2,grid_200m,-1482.1891761767486,-1490.601938422006,0.03396262601017952,28605.552734375,-0.0,14302.810546875,600,18,3.0706
19,2,grid_200m,-1487.9625025341286,-1490.4630207436967,0.015144014731049538,23036.51953125,-0.0,11518.275390625,600,19,3.0987
20,2,grid_200m,-1479.077242131554,-1489.8937318130895,0.04803609475493431,15689.134765625,-0.0,7844.615234375,600,20,2.7511
21,2,grid_200m,-1475.5803628654023,-1489.2121428155806,0.012476171366870403,18099.00390625,-0.0,9049.5146484375,600,21,3.528
22,2,grid_200m,-1489.0479727270545,-1489.2046805388293,0.8683066964149475,19863.71875,-0.0,9932.7275390625,600,22,2.6663
23,2,grid_200m,-1495.3521486545242,-1489.471961761251,-0.05133546516299248,22516.85546875,-0.0,11258.3759765625,600,23,2.8372
24,2,grid_200m,-1474.7129549844742,-1488.8570031455522,0.002273211721330881,23458.783203125,2.4836892862367677e-06,11729.3935546875,600,24,2.7855
25,2,grid_200m,-1493.5112674498312,-1489.0431737177234,-0.07722830772399902,19412.6171875,-0.0,9706.2314453125,600,25,2.7847
26,2,grid_200m,-1469.257348979828,-1488.2821804585737,-0.076701320707798,15426.650390625,8.242915672598368e-24,7713.24853515625,600,26,2.801
27,2,grid_200m,-1485.1556526407392,-1488.1663831319872,0.1826249212026596,15046.078125,-0.0,7523.2216796875,600,27,2.8841
28,2,grid_200m,-1481.5421571264196,-1487.9298036317882,0.014274545945227146,14958.6064453125,-0.0,7479.3173828125,600,28,2.8058
29,2,grid_200m,-1508.063811115766,-1488.6240797519254,1.316719889640808,15969.033203125,-0.0,7985.83349609375,600,29,2.779
30,2,grid_200m,-1484.609214060296,-1488.4902508955377,0.4576154947280884,16989.6640625,-0.0,8495.2900390625,600,30,2.7349
