seed,geometry,workload,total_episodes,optimization_steps,wall_clock_time_sec,converged_episode,mean_final_100_reward,std_final_100_reward,mean_final_100_loss,final_entropy,checkpoint_path,checkpoint_sha256,git_sha,env_fingerprint
0,corridor_2400m,w20,500,500,1682.43,400,-4057.1385,428.5318,28548.96125,-0.0,checkpoint_ep500.pt,ef1ffd4a60f92febf63f7c9a3df3b29f191488f885b9aec6d97d6dfb8396eec2,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,c0a7f159cbe55dd5788c495e5eae4bbac99b5964e71ffcb2ab3880e5b61b56d9
1,corridor_2400m,w20,500,500,1685.63,400,-2497.4001,433.4404,25958.030527,-0.0,checkpoint_ep500.pt,cfdbe4af404e21225a97b24f74888e0a2cb2eee8172dd49e97506ad36f75b97f,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,c0a7f159cbe55dd5788c495e5eae4bbac99b5964e71ffcb2ab3880e5b61b56d9
2,corridor_2400m,w20,500,500,1689.09,400,-4043.1508,358.1049,24056.11584,-0.0,checkpoint_ep500.pt,a01007aa2a11814d77a0c0a562e62467909cc84bed5a791a835795a23c19f813,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,c0a7f159cbe55dd5788c495e5eae4bbac99b5964e71ffcb2ab3880e5b61b56d9
3,corridor_2400m,w20,500,500,1695.69,400,-4014.4616,426.9918,35691.171074,-0.0,checkpoint_ep500.pt,fa62cea882b67156f083042b0a73d841c9d6a3225c931d0442745b2dfeaed799,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,c0a7f159cbe55dd5788c495e5eae4bbac99b5964e71ffcb2ab3880e5b61b56d9
4,corridor_2400m,w20,500,500,1731.01,400,-4179.1532,326.1825,24752.104717,-0.0,checkpoint_ep500.pt,3ba8625fc5bedaa04acec1fd65e049bb6f769f757ce6a90a6bfefc97866c605c,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,c0a7f159cbe55dd5788c495e5eae4bbac99b5964e71ffcb2ab3880e5b61b56d9
0,grid_200m,w20,500,500,1412.82,479,-569.7074,5.8489,546.893247,-0.0,checkpoint_ep500.pt,d04bd933f7be5dff5aa754ae6dba13519ce889f7a2ce092b8ecf3ec420851a7a,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,2db848908cf5ba364bcea252012d878b131ed16449756432d0cd3ec00a7a4d8e
1,grid_200m,w20,500,500,1409.95,400,-302.2353,18.4216,398.035553,-0.0,checkpoint_ep500.pt,d9e7a015c1d6c7d60723bb7c6a7e20b6a373b84fcff1228882d046d62bb2a888,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,2db848908cf5ba364bcea252012d878b131ed16449756432d0cd3ec00a7a4d8e
2,grid_200m,w20,500,500,1427.66,400,-1487.2091,31.9581,2408.637162,-0.0,checkpoint_ep500.pt,5d37a9401205e8d376910e268a52d9fc8ab15e05f272ce8792614d934fa2e19d,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,2db848908cf5ba364bcea252012d878b131ed16449756432d0cd3ec00a7a4d8e
3,grid_200m,w20,500,500,1019.36,309,-482.8649,5.3766,458.154463,-0.0,checkpoint_ep500.pt,327bc84d889d79c88f576cfb993c6a7cb17d5536ef072f787b30f27f427d606e,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,2db848908cf5ba364bcea252012d878b131ed16449756432d0cd3ec00a7a4d8e
4,grid_200m,w20,500,500,1020.55,400,-1311.9994,17.5508,2513.026459,-0.0,checkpoint_ep500.pt,0e64fc3f04e1d3c73b7ae493c0221140373fcc6d2d1c493ca069a24c7e0a0177,a43abc5ec175824f66b68d0e5fab35fe4ba3220d,2db848908cf5ba364bcea252012d878b131ed16449756432d0cd3ec00a7a4d8e
