Method,Seed,Episode,Average Delay (s),Average Energy (J),Completion Ratio,Violation Ratio,Episode Reward
CoTOP (Proposed),42,1,4.5468,0.2972,1.0,0.0,-48.4399
CoTOP (Proposed),42,2,4.571,0.3489,1.0,0.0,-49.1995
CoTOP (Proposed),42,3,4.47,0.3287,1.0,0.0,-47.9864
CoTOP (Proposed),42,4,4.2585,0.3208,1.0,0.0,-45.7932
CoTOP (Proposed),42,5,4.7445,0.2982,1.0,0.0,-50.4275
CoTOP (Proposed),43,1,4.3776,0.3708,1.0,0.0,-47.4842
CoTOP (Proposed),43,2,4.7728,0.3175,1.0,0.0,-50.9032
CoTOP (Proposed),43,3,4.2417,0.2895,1.0,0.0,-45.3125
CoTOP (Proposed),43,4,4.8035,0.3068,1.0,0.0,-51.1037
CoTOP (Proposed),43,5,4.3121,0.288,1.0,0.0,-46.0011
CoTOP (Proposed),44,1,4.2056,0.2829,1.0,0.0,-44.8844
CoTOP (Proposed),44,2,4.3365,0.2982,1.0,0.0,-46.3466
CoTOP (Proposed),44,3,4.3244,0.293,1.0,0.0,-46.1741
CoTOP (Proposed),44,4,4.24,0.2822,1.0,0.0,-45.2222
CoTOP (Proposed),44,5,4.4321,0.2956,1.0,0.0,-47.2777
CoTOP (Proposed),45,1,4.249,0.2769,1.0,0.0,-45.2596
CoTOP (Proposed),45,2,4.2745,0.3697,1.0,0.0,-46.4418
CoTOP (Proposed),45,3,4.7437,0.3319,1.0,0.0,-50.7555
CoTOP (Proposed),45,4,4.3611,0.3651,1.0,0.0,-47.2628
CoTOP (Proposed),45,5,4.254,0.3121,1.0,0.0,-45.6613
CoTOP (Proposed),46,1,4.2016,0.3012,1.0,0.0,-45.0281
CoTOP (Proposed),46,2,4.4715,0.3343,1.0,0.0,-48.058
CoTOP (Proposed),46,3,4.1008,0.2849,1.0,0.0,-43.8569
CoTOP (Proposed),46,4,4.3622,0.3386,1.0,0.0,-47.0073
CoTOP (Proposed),46,5,4.7939,0.3726,1.0,0.0,-51.6649
Local Baseline,42,1,4.5468,0.2972,1.0,0.0,-48.4399
Local Baseline,42,2,4.571,0.3489,1.0,0.0,-49.1995
Local Baseline,42,3,4.47,0.3287,1.0,0.0,-47.9864
Local Baseline,42,4,4.2585,0.3208,1.0,0.0,-45.7932
Local Baseline,42,5,4.7445,0.2982,1.0,0.0,-50.4275
Local Baseline,43,1,4.3776,0.3708,1.0,0.0,-47.4842
Local Baseline,43,2,4.7728,0.3175,1.0,0.0,-50.9032
Local Baseline,43,3,4.2417,0.2895,1.0,0.0,-45.3125
Local Baseline,43,4,4.8035,0.3068,1.0,0.0,-51.1037
Local Baseline,43,5,4.3121,0.288,1.0,0.0,-46.0011
Local Baseline,44,1,4.2056,0.2829,1.0,0.0,-44.8844
Local Baseline,44,2,4.3365,0.2982,1.0,0.0,-46.3466
Local Baseline,44,3,4.3244,0.293,1.0,0.0,-46.1741
Local Baseline,44,4,4.24,0.2822,1.0,0.0,-45.2222
Local Baseline,44,5,4.4321,0.2956,1.0,0.0,-47.2777
Local Baseline,45,1,4.249,0.2769,1.0,0.0,-45.2596
Local Baseline,45,2,4.2745,0.3697,1.0,0.0,-46.4418
Local Baseline,45,3,4.7437,0.3319,1.0,0.0,-50.7555
Local Baseline,45,4,4.3611,0.3651,1.0,0.0,-47.2628
Local Baseline,45,5,4.254,0.3121,1.0,0.0,-45.6613
Local Baseline,46,1,4.2016,0.3012,1.0,0.0,-45.0281
Local Baseline,46,2,4.4715,0.3343,1.0,0.0,-48.058
Local Baseline,46,3,4.1008,0.2849,1.0,0.0,-43.8569
Local Baseline,46,4,4.3622,0.3386,1.0,0.0,-47.0073
Local Baseline,46,5,4.7939,0.3726,1.0,0.0,-51.6649
Greedy Baseline,42,1,4.5442,4.5758,1.0,0.0,-91.2004
Greedy Baseline,42,2,4.561,4.849,1.0,0.0,-94.1
Greedy Baseline,42,3,4.4656,4.4747,1.0,0.0,-89.4033
Greedy Baseline,42,4,4.2488,4.3718,1.0,0.0,-86.206
Greedy Baseline,42,5,4.7512,4.9496,1.0,0.0,-97.0078
Greedy Baseline,43,1,4.3597,4.5905,1.0,0.0,-89.5015
Greedy Baseline,43,2,4.768,4.7599,1.0,0.0,-95.2787
Greedy Baseline,43,3,4.237,4.3289,1.0,0.0,-85.6593
Greedy Baseline,43,4,4.8029,4.8933,1.0,0.0,-96.962
Greedy Baseline,43,5,4.3024,4.3617,1.0,0.0,-86.6412
Greedy Baseline,44,1,4.1998,4.3298,1.0,0.0,-85.2955
Greedy Baseline,44,2,4.3366,4.3515,1.0,0.0,-86.8814
Greedy Baseline,44,3,4.3169,4.5026,1.0,0.0,-88.1949
Greedy Baseline,44,4,4.2359,4.3072,1.0,0.0,-85.4313
Greedy Baseline,44,5,4.4275,4.3859,1.0,0.0,-88.1339
Greedy Baseline,45,1,4.2497,4.2536,1.0,0.0,-85.0325
Greedy Baseline,45,2,4.2561,4.5234,1.0,0.0,-87.7947
Greedy Baseline,45,3,4.7393,5.0054,1.0,0.0,-97.4471
Greedy Baseline,45,4,4.3455,4.4575,1.0,0.0,-88.0301
Greedy Baseline,45,5,4.245,4.4179,1.0,0.0,-86.6295
Greedy Baseline,46,1,4.1959,4.351,1.0,0.0,-85.469
Greedy Baseline,46,2,4.4596,4.5379,1.0,0.0,-89.9742
Greedy Baseline,46,3,4.0966,4.2867,1.0,0.0,-83.8324
Greedy Baseline,46,4,4.3489,4.3764,1.0,0.0,-87.2527
Greedy Baseline,46,5,4.7831,5.1074,1.0,0.0,-98.9051
CoTOP w/o MD,42,1,4.5468,0.2972,1.0,0.0,-48.4399
CoTOP w/o MD,42,2,4.571,0.3489,1.0,0.0,-49.1995
CoTOP w/o MD,42,3,4.47,0.3287,1.0,0.0,-47.9864
CoTOP w/o MD,42,4,4.2585,0.3208,1.0,0.0,-45.7932
CoTOP w/o MD,42,5,4.7445,0.2982,1.0,0.0,-50.4275
CoTOP w/o MD,43,1,4.3776,0.3708,1.0,0.0,-47.4842
CoTOP w/o MD,43,2,4.7728,0.3175,1.0,0.0,-50.9032
CoTOP w/o MD,43,3,4.2417,0.2895,1.0,0.0,-45.3125
CoTOP w/o MD,43,4,4.8035,0.3068,1.0,0.0,-51.1037
CoTOP w/o MD,43,5,4.3121,0.288,1.0,0.0,-46.0011
CoTOP w/o MD,44,1,4.2056,0.2829,1.0,0.0,-44.8844
CoTOP w/o MD,44,2,4.3365,0.2982,1.0,0.0,-46.3466
CoTOP w/o MD,44,3,4.3244,0.293,1.0,0.0,-46.1741
CoTOP w/o MD,44,4,4.24,0.2822,1.0,0.0,-45.2222
CoTOP w/o MD,44,5,4.4321,0.2956,1.0,0.0,-47.2777
CoTOP w/o MD,45,1,4.249,0.2769,1.0,0.0,-45.2596
CoTOP w/o MD,45,2,4.2745,0.3697,1.0,0.0,-46.4418
CoTOP w/o MD,45,3,4.7437,0.3319,1.0,0.0,-50.7555
CoTOP w/o MD,45,4,4.3611,0.3651,1.0,0.0,-47.2628
CoTOP w/o MD,45,5,4.254,0.3121,1.0,0.0,-45.6613
CoTOP w/o MD,46,1,4.2016,0.3012,1.0,0.0,-45.0281
CoTOP w/o MD,46,2,4.4715,0.3343,1.0,0.0,-48.058
CoTOP w/o MD,46,3,4.1008,0.2849,1.0,0.0,-43.8569
CoTOP w/o MD,46,4,4.3622,0.3386,1.0,0.0,-47.0073
CoTOP w/o MD,46,5,4.7939,0.3726,1.0,0.0,-51.6649
CoTOP w/o TP,42,1,4.5778,5.7337,1.0,0.0,-103.1151
CoTOP w/o TP,42,2,4.5982,5.8017,1.0,0.0,-103.9992
CoTOP w/o TP,42,3,4.501,5.6714,1.0,0.0,-101.7243
CoTOP w/o TP,42,4,4.2808,5.4019,1.0,0.0,-96.8273
CoTOP w/o TP,42,5,4.7856,5.9809,1.0,0.0,-107.6653
CoTOP w/o TP,43,1,4.3948,5.5826,1.0,0.0,-99.7735
CoTOP w/o TP,43,2,4.8016,6.0217,1.0,0.0,-108.2334
CoTOP w/o TP,43,3,4.2669,5.3575,1.0,0.0,-96.2443
CoTOP w/o TP,43,4,4.8361,6.052,1.0,0.0,-108.8816
CoTOP w/o TP,43,5,4.3328,5.434,1.0,0.0,-97.6675
CoTOP w/o TP,44,1,4.2301,5.3052,1.0,0.0,-95.3526
CoTOP w/o TP,44,2,4.3681,5.4867,1.0,0.0,-98.5483
CoTOP w/o TP,44,3,4.3474,5.4554,1.0,0.0,-98.0275
CoTOP w/o TP,44,4,4.2665,5.3495,1.0,0.0,-96.1601
CoTOP w/o TP,44,5,4.4599,5.593,1.0,0.0,-100.5285
CoTOP w/o TP,45,1,4.2807,5.3617,1.0,0.0,-96.4239
CoTOP w/o TP,45,2,4.2905,5.4569,1.0,0.0,-97.4742
CoTOP w/o TP,45,3,4.7727,5.9985,1.0,0.0,-107.7125
CoTOP w/o TP,45,4,4.3824,5.5612,1.0,0.0,-99.4362
CoTOP w/o TP,45,5,4.2758,5.3881,1.0,0.0,-96.638
CoTOP w/o TP,46,1,4.2302,5.3195,1.0,0.0,-95.4968
CoTOP w/o TP,46,2,4.4923,5.6684,1.0,0.0,-101.6075
CoTOP w/o TP,46,3,4.1258,5.1834,1.0,0.0,-93.093
CoTOP w/o TP,46,4,4.3829,5.5401,1.0,0.0,-99.2305
CoTOP w/o TP,46,5,4.8196,6.0906,1.0,0.0,-109.1014
CoTOP w/o CO,42,1,4.5468,0.2972,1.0,0.0,-48.4399
CoTOP w/o CO,42,2,4.571,0.3489,1.0,0.0,-49.1995
CoTOP w/o CO,42,3,4.47,0.3287,1.0,0.0,-47.9864
CoTOP w/o CO,42,4,4.2585,0.3208,1.0,0.0,-45.7932
CoTOP w/o CO,42,5,4.7445,0.2982,1.0,0.0,-50.4275
CoTOP w/o CO,43,1,4.3776,0.3708,1.0,0.0,-47.4842
CoTOP w/o CO,43,2,4.7728,0.3175,1.0,0.0,-50.9032
CoTOP w/o CO,43,3,4.2417,0.2895,1.0,0.0,-45.3125
CoTOP w/o CO,43,4,4.8035,0.3068,1.0,0.0,-51.1037
CoTOP w/o CO,43,5,4.3121,0.288,1.0,0.0,-46.0011
CoTOP w/o CO,44,1,4.2056,0.2829,1.0,0.0,-44.8844
CoTOP w/o CO,44,2,4.3365,0.2982,1.0,0.0,-46.3466
CoTOP w/o CO,44,3,4.3244,0.293,1.0,0.0,-46.1741
CoTOP w/o CO,44,4,4.24,0.2822,1.0,0.0,-45.2222
CoTOP w/o CO,44,5,4.4321,0.2956,1.0,0.0,-47.2777
CoTOP w/o CO,45,1,4.249,0.2769,1.0,0.0,-45.2596
CoTOP w/o CO,45,2,4.2745,0.3697,1.0,0.0,-46.4418
CoTOP w/o CO,45,3,4.7437,0.3319,1.0,0.0,-50.7555
CoTOP w/o CO,45,4,4.3611,0.3651,1.0,0.0,-47.2628
CoTOP w/o CO,45,5,4.254,0.3121,1.0,0.0,-45.6613
CoTOP w/o CO,46,1,4.2016,0.3012,1.0,0.0,-45.0281
CoTOP w/o CO,46,2,4.4715,0.3343,1.0,0.0,-48.058
CoTOP w/o CO,46,3,4.1008,0.2849,1.0,0.0,-43.8569
CoTOP w/o CO,46,4,4.3622,0.3386,1.0,0.0,-47.0073
CoTOP w/o CO,46,5,4.7939,0.3726,1.0,0.0,-51.6649
